title,content,date,url
‘식약처 사망 인턴’ 직장 내 괴롭힘 피해 정황 드러나,"[KBS 청주] [앵커] 지난해 9월 식약처에서 일하던 30대 인턴이 투신해 숨지는 일이 있었습니다. 유족들은 직장 내 괴롭힘으로 숨졌다고 주장했는데, 생전 녹취와 상담일지가 공개되면서 관련 정황이 확인됐습니다. 이자현 기자의 보도입니다. [리포트] 식품의약품안전처에서 인턴으로 일하던 32살 박 모 씨. 지난해 9월 충북 청주의 식약처 청사에서 투신해 숨졌습니다. 6개월의 인턴 기간 만료를 2주 앞둔 시점이었습니다. 유족들은 박씨의 사망 원인이 직장 내 괴롭힘 때문이라고 주장하며 폭언이 담긴 대화 내용을 공개했습니다. [직장 상사-박 씨 통화/음성변조/지난해 5월 : ""선생님이 보내준 (보고서) 파일 그대로 사진찍어서 보내줄테니까. (네, 감사합니다.) XXX야 진짜, 미친 거야?""] 박씨는 식약처 재직 동안 정신적 고통을 호소하며 5차례 심리 상담을 받았습니다. 당시 상담일지에는 '부서원들이 따돌리고 식사 시간에 함께하지 않으려 했다', '상사가 욕설과 폭언을 해 너무 충격을 받았다'고 기록돼 있습니다. 식약처는 상담일지를 공개해 달라는 유족의 거듭된 요청을 개인정보 보호 등을 이유로 거부해 왔습니다. 정보공개 청구를 통해 6개월 만에 관련 사실을 확인한 유족은 명백한 직장 내 괴롭힘 증거라고 주장했습니다. [박 씨 아버지/음성변조 : ""장례 치르고 지금 이 시각까지 식약처에서 누구 하나 저희한테 전화 온 사람 없었고요. 미안하다는 사죄의 말 한마디도 없었고.""] 식약처는 직장 내 괴롭힘 사실은 인정하면서도, 사망과의 직접적인 인과관계는 확인하지 못했다고 밝혔습니다. 그러면서 가해자로 지목된 직원은 견책 징계했다고 말했습니다. KBS 뉴스 이자현입니다. 촬영기자:최승원/그래픽:박소현 이자현 기자 (interest@kbs.co.kr)",2025. 4. 21. 19:30,http://v.daum.net/v/20250421193056888
"“앞으로 개·고양이, 음식점 출입 가능”…식약처 입법 예고","[이데일리 이로원 기자] 앞으로 집에서 키우는 개·고양이와 함께 식당에 갈 수 있는 법적 근거가 마련된다. 입구 표시·음식 덮개 등 일정 기준을 갖춘 곳에 출입을 허용하도록 법이 바뀌면서다.  지난 2023년 4월부터 2년간 진행한 반려동물 동반출입 음식점 시범사업을 법제화하는 것이다. 식약처 관계자는 “해당 음식점의 위생·안전수준 개선, 업계와 소비자 만족도 향상 등 긍정적 효과를 확인했다”고 밝혔다. 법이 바뀌어도 모든 음식점에 반려동물 출입이 가능해지는 건 아니고, 시설 기준 등을 준수하고 희망하는 곳에만 적용된다. 개정안에 따르면 동반 출입할 수 있는 반려동물은 예방 접종률이 높아 위생을 확보하기 쉬운 개·고양이에 한정된다. 음식점에선 반려동물이 조리장과 식재료 창고에 드나들 수 없도록 칸막이·울타리 등을 설치해야 한다. 출입구엔 손 소독 장치나 용품을 구비해야 한다. 또 영업자는 영업장 입구에 반려동물 동반 출입 가능 업소임을 게시해야 한다.가게 내부에선 반려동물이 보호자에게서 벗어나 자유롭게 이동할 수 없다는 걸 안내문으로 알리게 된다. 예방접종을 하지 않은 반려동물은 출입이 어렵다는 걸 표시하고, 동물 전용 의자나 목줄 걸이 고정장치 등도 설치하도록 규정했다. 음식을 진열·판매할 때는 동물의 털 등 이물 혼입에 따른 오염을 막을 수 있는 뚜껑이나 덮개를 의무적으로 써야 한다. 개와 고양이의 분변을 담을 수 있는 전용 쓰레기통도 둬야 한다. 이러한 기준을 위반한 영업자는 영업정지·시정명령 등의 처분을 받을 수 있다. 식약처 관계자는 “이번 개정이 반려동물과 일상을 함께 하는 반려인의 편의와 음식점 선택권을 보장하고, 관련 산업 발전에 도움이 될 것으로 기대한다”고 밝혔다. 이로원 (bliss243@edaily.co.kr)",2025. 4. 25. 19:00,http://v.daum.net/v/20250425190011456
‘식용 불가’라더니…식약처 오판에 날벼락 맞은 업체들,"[앵커] 식품의약품안전처가 갑오징어 뼈는 식품에 사용할 수 없다며 관련 제품 판매 중단과 회수를 명령했다가 보름여 만에 철회하는 일이 벌어졌습니다. 업체 측은 식약처가 처음부터 관련 규정을 꼼꼼히 검토하지 않아 막대한 피해를 봤다며 항의하고 있습니다. 문그린 기자가 보도합니다. [리포트] 갑오징어 뼈로 음료를 만드는 업체입니다. 20여 년간 제품을 만들어 팔았는데, 이달 초 갑자기 식약처로부터 판매 중단과 회수 명령을 받았습니다. 갑오징어 뼈는 식품 원료로 쓸 수 없다는 게 근거였습니다. 하지만, 식약처 고시에는 갑오징어의 경우 내장을 제외한 전체를 원료로 쓸 수 있다고 적혀있습니다. 업체는 이의 신청을 냈고, 식약처는 16일 만에 조치를 철회했습니다. 하지만 업체는 매출 중단과 이미지 손상 등 심각한 피해를 봤습니다. [화세경/갑오징어 뼈 사용 식품 업체 대표 : ""못 먹는 거를 만들어 팔았냐, 예전에 내 배 아팠던 게 이것 때문이냐, 똑바로 했으면 (처분이) 이렇게 났겠냐, 온갖 말을 들었어요.""] 식약처가 또 다른 처분 근거로 들었던 중국 통관 거부 사례도 확인 결과, 단순한 상표 표기 문제로 확인됐습니다. 이후 식약처가 다른 갑오징어 뼈 식품업체들에 보냈던 회수 조치 사전 통보도 없던 일이 됐습니다. [식약처 담당자/음성변조 : ""회수조치를 할 당시에는 식품으로 사용할 수 없는 비가식 부위로 판단을 했던 부분인데 그 이후에 업체에서 그런 자료들을 소명을 해주셨기 때문에….""] 업체 피해가 잇따랐지만 식약처의 공식 사과나 보상은 아직 나오지 않고 있습니다. KBS 뉴스 문그린입니다. 문그린 기자 (green@kbs.co.kr)",2025. 4. 23. 19:39,http://v.daum.net/v/20250423193904055
"“유재석 보고 샀는데”…고려은단 비타민, 식약처 ‘회수’ 조처"," (☞한겨레 뉴스레터 H:730 구독하기. 검색창에 ’h:730’을 쳐보세요.) 건강기능식품 브랜드 고려은단의 ‘멀티비타민 올인원’이 성분 표시와 달리 요오드를 과다하게 함유해 식품의약품안전처(식약처)로부터 회수 조처를 받았다. 이 제품은 인기 연예인 유재석을 광고 모델로 앞세우며 2022~2023년 멀티비타민 제품 중 판매량 1위를 한 제품이다. 식약처는 2025년 2월11일 제조돼 소비기한이 2027년 2월10일까지인 ‘멀티비타민 올인원’ 1560㎍ 60정 제품을 보관하고 있는 소비자는 구입한 업소에 되돌려주는 등 회수에 협조해달라고 ‘식품안전나라’ 누리집에 지난 16일 공지했다. 바코드 번호는 ‘8809497531729’다. 식약처는 “해당 회수 제품을 보관하고 있는 판매자는 판매를 중단하고 반품해주기 바란다”고 덧붙였다. 해당 제품엔 요오드가 60㎍ 포함됐다고 적혀있으나, 실제로는 129.7㎍ 함유돼 있었다. 표시량의 80~150%가 적합 기준 규격인데, 216%가 검출된 것이다. 요오드는 미역·다시마·김과 같은 해조류와 유제품, 달걀 등의 음식에 많이 포함된 영양소로, 1일 권장섭취량은 성인 기준 150㎍다. 고려은단은 23일 누리집을 통해 “자체적으로 실시한 품질 검사 과정에서 제품 중 일부에서 요오드 함량이 제품의 표시 기준을 초과한 사실을 확인했다”며 “신속하게 해당 제조번호 제품의 판매를 중단했으며, 관련 법령에 따라 회수 조치를 시행하고 있다”고 밝혔다. 고려은단은 “제품을 믿고 구매해주신 고객 여러분께 심려를 끼쳐드린 점 진심으로 사과의 말씀을 드린다”고 덧붙였다.  요오드 함량의 경우 특히 갑상선 관련 환자들에게 더 예민한 이슈다. 요오드의 결핍 또는 과다가 갑상선 질환과 연관이 있기 때문이다. 삼성서울병원이 누리집에 올린 요오드 관련 정보를 보면 “요오드의 섭취가 부족하거나 많다고 해서 무조건 갑상선 기능 저하증 혹은 갑상선 기능 항진증을 유발하는 것은 아니”지만 “갑상선염 환자의 경우 (요오드 관련) 자동조절기능에 장애가 있어 요오드를 과도하게 섭취할 경우 갑상선 질환이 나타날 수 있어 주의가 필요하다”고 한다. 온라인 카페 등에는 “유재석이 광고하고 원료 좋은 거 쓴다고 해서 먹었는데 황당하다”, “이미 다 먹었는데…” 등의 반응이 올라왔다. 또 해당 제품 판매 누리집에는 “문의글 남겼고 답변을 받았으나 정말 이 사태에 대해 (고려은단이) 안일하단 생각이 드는 답변이었다”, “믿고 구매했는데 더이상 먹는 건 어렵겠다” 등의 글이 올라왔다. 송경화 기자 freehwa@hani.co.kr",2025. 4. 24. 13:40,http://v.daum.net/v/20250424134010676
"식약처 규제에 '에토미데이트' 공급중단…응급의들 ""의료진 선택지 축소"" 반발"," 응급환자를 상대로 기관삽관 시술 시 진정유도약물로 사용하는 '에토미데이트'의 국내 공급이 중단된 가운데, 응급의들 사이에선 응급처치 선택지가 줄어 환자들이 피해를 볼 수 있단 우려가 나온다. 에토미데이트는 프로포폴 등 다른 진정유도약물보다 안전성이 높은 약물로 꼽혀왔는데, 이를 사용하지 못하게 될 경우 적확한 처치가 어려워질 수 있단 이유에서다. 24일 식품의약품안전처(식약처)의 '공급중단·부족 품목' 명단에 따르면 에토미데이트는 오는 11월1일부터 국내 공급이 중단된다. 해당 의약품은 추후 향정신성의약품으로 지정될 예정으로, 현재 국내 판매원과의 판매계약은 연내 종료된다. 식약처는 추후 재계약과 신규 계약 진행 여부가 불투명해 향후 수입과 공급 재개 역시 미정이라고 밝혔다. 에토미데이트는 수입업체인 비브라운코리아를 통해 국내에 유통돼왔다. 에토미데이트는 지난해 12월 국내 마약류안전관리심의위원회(이하 심의위)에서 마약류로 지정된 바 있다. 이후 식약처는 올해 2월 에토미데이트를 마약류로 지정하는 내용의 '마약류 관리에 관한 법률 시행령' 개정안을 입법 예고하는 한편, 이달 8일 '오·남용우려의약품 지정에 관한 규정' 개정 고시로 에토미데이트 함유제제를 오·남용우려의약품으로 지정하는 등 관련 규제를 강화해왔다. 외상·뇌출혈·호흡부전 등 인공호흡이 필요한 응급상황일 경우 기관 안에 삽관을 넣어 기도를 확보하는 기관삽관 시술이 진행되는데, 이때 삽관에 따른 생리적 반응을 완화하는 진정유도약물로 에토미데이트와 프로포폴, 케타민 등이 사용된다. 응급의들은 이 중 응급실에서 가장 많이 쓰는 약물로 에토미데이트를 꼽는다. 투여 시 혈압을 낮추거나 높이지 않아(Neutral BP·평균동맥압), 혈역학적으로 불안정한 중증외상환자 등을 대상으로 가장 먼저 고려돼서다. 반면 프로포폴과 케타민의 경우 각각 혈압을 낮추고 높이기 때문에 환자 혈압 수준에 따라 적절히 구분해 투여해야 한다. 의료진 입장에선 환자가 어떤 부작용을 보일지 모르는 상황에서 비교적 안전성이 높은 에토미데이트를 쓰는 것이 부담이 덜하단 설명이다. 응급의학계에선 에토미데이트의 공급중단 조치를 두고 ""의료진 선택지를 축소한 판단""이란 목소리가 나온다. 이형민 대한응급의학의사회 회장은 ""환자 상태에 따라 약물을 투여하는 '선택의 폭' 개념에서 볼 때, 선택지를 줄인다면 세밀한 처치는 불가능할 수 있다""고 우려했다. 세브란스병원에서 응급의학과 전공의로 근무한 박단 대한전공의협의회 비상대책위원장도 ""에토미데이트는 혈압에 큰 영향을 주지 않고 부작용도 적어, 응급처치 시 선호되는 약물""이라며 ""에토미데이트 공급이 중단된다면 제한된 상황에서 제한된 약물로 최대한 신속하게 조치해야 하는 응급의 입장에선 주요 선택지가 하나 줄어든 셈""이라고 말했다. 식약처는 약물 오·남용 방지를 위해선 이 같은 조치가 필요하단 입장이다. 실제 해외에서도 에토미데이트를 위험 약물로 지정, 감시 체계를 강화한 사례가 있다. 지난 2월 홍콩 당국은 현지에서 유행 중인 향정신성 약물 '우주 오일'(Space Oil)의 단속을 위해 에토미데이트를 위험 약물 목록에 추가했다. 우주오일은 주로 전자담배로 흡입하는 형태의 신종 마약으로, 표준화된 성분은 없지만 대체로 에토미데이트를 포함해 제조되는 것으로 알려졌다. 식약처 관계자는 ""에토미데이트의 불법 사용과 오·남용 사례가 확인돼, 이를 규제하기 위한 결정""이라며 ""심의위 이전에도 의료계에서 여러 의견을 수렴했지만 (에토미데이트 공급 중단이) 우려된단 의견은 받아보지 못했다""고 전했다. 식약처는 프로포폴이 에토미데이트를 충분히 대체할 수 있다고 보고 있다. 식약처 관계자는 ""심의위 이후인 올 초 생후 1개월 이상 환자에게 사용할 수 있도록 허가지침을 변경해 투여 범위를 넓혔다""고 덧붙였다. 기존에는 3세 미만 환자에게는 프로포폴 투여가 불가했다. 이와 관련 이형민 회장은 ""약물을 선택할 때 작용 시간과 반감기 등 여러 요소를 고려해 사용해야 하는 만큼 프로포폴을 대체제로 보는 (식약처의) 입장은 위험할 수 있다""며 ""모든 약은 오·남용 가능성이 다 존재하는데, 단순히 (약물) 개수를 줄여 단순화한다고 해서 이를 방지할 수 있는 게 아니다. 환자를 위한 선택이라고 보기 어렵다""고 지적했다. 홍효진 기자 hyost@mt.co.kr",2025. 4. 24. 16:52,http://v.daum.net/v/20250424165227777
"[기업] 비티진 ""사포닌 혈압 조절 기능, 식약처 인정받아""","건강기능식품 기업 '비티진'이 자사의 '홍삼추출효소처리분말'이 식약처로부터 혈압 조절에 도움을 줄 수 있다는 개별인정형 기능성을 인정받았다고 밝혔습니다. 비티진은 홍삼의 사포닌 성분이 혈압 조절 및 심혈관 질환에 도움을 줄 수 있다는 연구 결과가 국내 처음으로 식약처 인정을 받은 사례라고 설명했습니다. 비티진 관계자는 특허 기술로 사포닌 Rg3 함량의 체내 흡수율을 높였고, 이 성분이 혈관 내피 세포의 산화질소(NO) 생성을 촉진해 혈압을 낮추는 기전을 가지게 된다고 말했습니다. YTN 오동건 (odk79829@ytn.co.kr) ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr [저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]",2025. 4. 25. 15:19,http://v.daum.net/v/20250425151909661
투신 사망 인턴 유족 “자료 비공개 식약처 상대 소송”,"[KBS 청주] [앵커] 청주 오송에 있는 식약처에서 30대 인턴이 투신해 숨진 일과 관련해 '직장 내 괴롭힘' 정황이 담긴 자료가 공개됐단 소식, 어제(21일) 전해드렸는데요. 진실 규명에 나선 유족들은 관련 자료 공개 등을 두고 식약처와 소송까지 이어가야 할 처지입니다. 이자현 기자가 보도합니다. [리포트] 지난해 9월, 식약처에서 투신해 숨진 30대 박 모 씨의 유족이 식약처를 상대로 소송을 제기했습니다. 식약처의 '직장 내 괴롭힘' 관련 내부 조사가 적정하게 이뤄졌는지 확인하기 위해 정보 공개를 청구했지만 거부당해서입니다. 관련 감사 업무에 지장을 초래할 수 있고, 개인 정보 등 민감한 내용이 포함됐다는 게 식약처의 거부 이유였습니다. 이의 신청마저 기각당하자, 유족 측이 거부 처분이 위법하다면서 식약처를 상대로 행정 소송을 제기한 겁니다. 앞서 유족 측은 직장 내 괴롭힘 내용이 담긴 박 씨의 상담 일지도 즉시 제공받지 못했다고 말합니다. 두 번의 정보 공개 청구와 이의 신청을 거쳐 겨우 상담 자료를 받아 박 씨가 숨진 지 반 년 만에 산업 재해를 신청했습니다. [고 박○○ 씨 아버지/음성변조 : ""식약처가 대응하는 행위 자체가 유족들을 엄청나게 힘들게 해요. 그런데 내가 버티는 이유는요, 진짜 우리 아이가 편하게 눈을 감을 수 있도록….""] 스스로 목숨을 끊은 노동자가 '산업 재해'로 인정 받으려면 유족들은 가족을 잃은 슬픔과 함께 직접 증거를 구해 업무 관련성을 입증해야 하는 부담까지 떠안게 됩니다. 특히 '직장 내 괴롭힘'으로 숨지면 회사 측의 협조를 얻기도 쉽지 않다고 말합니다. 각고 끝에 자료를 구해도, 관련 진료기록 등으로 '업무상 사유로 정신적 이상 상태에서 자해 행위를 했다'는 사실을 입증해야 산업 재해를 인정받을 수 있습니다. [김은지/노무사 : ""입증 책임이 유가족에게 있기 때문에 입증한다는 게 굉장히 어렵고, 회사 도움이 절실히 필요한데 회사에서는 소극적으로 대응하는 측면이 많아서 산재 인정률이 낮은 편입니다.""] 실제로 자살 산업재해 승인률은 2019년 78%에서 2023년 49%로 감소하고 있는 상황. 자살만으로 정신적 이상 상태에 있었다는 사실을 인정하고, 산재 심의 과정에 유가족 등을 참여시키는 등 진전된 대책이 필요하다는 목소리가 나옵니다. KBS 뉴스 이자현입니다. 촬영기자:최승원/그래픽:김선영 이자현 기자 (interest@kbs.co.kr)",2025. 4. 22. 22:02,http://v.daum.net/v/20250422220213385
"식약처, ‘유재석 광고’ 고려은단 비타민 회수 조처… “즉시 복용 중단”","건강기능식품 제조·판매사 고려은단의 ‘멀티비타민 올인원’에 기준치의 216%를 초과하는 요오드가 검출돼 식품의약품안전처가 회수 조처했다. 요오드를 과잉 섭취할 경우 갑상선 이상 등 부작용이 발생할 수 있다. 식약처는 해당 제품의 복약을 즉시 중단하고 구입처에 반품해줄 것을 당부했다.  22일 식약처에 따르면 회수 대상은 소비기한이 2027년 2월 10일로 표시된 1560㎎ 60정 제품이며, 바코드 번호는 ‘8809497531729’다. 해당 제품의 영양성분표에는 요오드 함량이 60㎍으로 표시됐으나, 실측 결과 129.6㎍이 검출됐다. 이는 표시 기준 허용 범위(표시량의 80~150%)를 넘어선 216%에 해당하는 수치다. 제조사인 고려은단헬스케어는 자체 전수조사를 통해 문제를 확인한 뒤 식약처에 자진신고했다. 요오드는 갑상선 호르몬 합성에 중요한 필수 미네랄이지만, 과잉 섭취 시 갑상선 기능 이상 등의 부작용이 발생할 수 있어 주의가 필요하다. 식약처는 소비자들에게 해당 제품을 보관 중일 경우 즉시 복용을 중단하고, 구입처에 반품해줄 것을 당부했다. 판매자에 대해서도 즉각적인 판매 중단 조치를 요청한 상태다. 제조사는 기준치를 초과한 요오드가 들어가 원인을 조사하고 있다. 한편 해당 제품은 유명 희극인 유재석이 광고해 2022년 생산실적 기준 국내 판매량 1위를 기록하기도 했다.",2025. 4. 23. 16:52,http://v.daum.net/v/20250423165255918
"식약처, 전국 어린이집 식중독 예방 집중점검 실시","【베이비뉴스 이유주 기자】  식품의약품안전처(처장 오유경)는 여름철을 앞두고 식중독 예방을 위해 어린이집 집단급식소 6200여 곳을 대상으로 5월 7일부터 27일까지 지방자치단체와 함께 지도·점검을 실시한다고 24일 밝혔다. 식약처는 올해 전국 어린이집 집단급식소 1만 300여 곳을 전수 점검할 계획으로, 5월에는 전체 어린이집의 약 60%를 점검하고 나머지 40%는 10월에 점검한다. 주요 점검 내용은 ▲소비기한 경과 제품 사용‧보관 ▲보존식 보관 ▲식품과 조리실 등 급식시설 위생관리 여부 등이며, 점검과 함께 급식용 조리도구, 조리식품 등을 수거·검사해 식중독균 오염 여부를 확인한다. 아울러 점검 기간에는 대량 음식 조리 시 주의사항, 노로바이러스 환자 구토물 소독·처리 방법 등 식중독 예방 교육·홍보도 실시한다. 식약처는 기온과 습도가 높아지는 계절에는 노로바이러스뿐만 아니라 세균성 식중독도 많이 발생하므로 면역력이 약한 영유아가 주로 이용하는 집단급식소는 위생관리를 철저히 하고 조리 종사자는 식중독 예방 수칙을 실천해야 한다고 당부했다. 【Copyrightsⓒ베이비뉴스 pr@ibabynews.com】",2025. 4. 24. 12:16,http://v.daum.net/v/20250424121657357
"식약처, 한국정책학회 '최우수정책상' 수상"," (서울=뉴스1) 구교운 기자 = 식품의약품안전처는 2025 한국정책학회 춘계학술대회에서 '수입 규제행정의 디지털 전환으로 업무 효율화 및 규제비용 절감'(전자심사24) 정책이 최우수정책상을 수상했다고 25일 밝혔다. 최우수정책상은 중앙부처, 지자체, 공공기관의 우수 정책사례를 발굴하고 국민에게 알리기 위해 한국정책학회 주최로 지난 2010년부터 시행되는 상이다. '수입식품 전자심사24'는 사람이 하던 서류검사 업무를 디지털 심사로 전환해 수입식품 검사 행정의 효율성을 높이고 통관 시간·비용을 대폭 절감해 영업자의 부담을 해소하는 정책이다. 식약처는 ‘수입식품 전자심사24’를 ’23년부터 단계적으로 도입*해 올해 초 모든 수입식품에 적용했으며 작년 한 해 약 8만 건을 자동 심사했다. 올해는 위생용품인 구강관리용품까지 확대할 계획이다. 아울러 식약처는 합리적인 제도 개선을 위해 법제처와 협력해 지난 2023년 6월 '수입식품안전관리 특별법'에 법률 근거를 마련했으며 전담조직 신설과 정부혁신 실행계획 수립 등 규제행정의 디지털 혁신을 지속 추진해 왔다. 오유경 식약처장은 ""앞으로도 AI 기술을 적극 도입해 위해도가 높은 수입식품을 집중적으로 관리하겠다""며 ""디지털 행정 수준을 한 단계 더 도약시켜 국민이 수입식품을 안심하고 소비할 수 있는 환경 조성에 최선을 다하겠다""고 말했다. kukoo@news1.kr",2025. 4. 25. 10:21,http://v.daum.net/v/20250425102110278
