title,content,date,url
"""하나의 교회 되는 길 모색해야"" 분열된 가톨릭 '가교 역할' 주목","[이데일리 김현식 기자] “교황은 성 베드로부터 시작돼 그의 부족한 후계자인 저에 이르기까지 오직 하느님과 형제들을 섬기는 겸손한 종일 뿐, 그 이상도 그 이하도 아니다.” 제267대 교황에 선출된 레오 14세(69·로버트 프랜시스 프레보스트)는 10일(현지시간) 바티칸 시노드홀에서 추기경들과 만난 자리에서 교황이라는 직책이 권위나 특권이 아닌 봉사의 자리라는 점을 강조했다. 레오 14세 교황은 “이러한 자세는 많은 전임자가 보여주셨다. 특히 프란치스코 교황께서는 본질만을 추구하는 삶의 방식을 잘 드러내 주셨다”면서 “프란치스코 교황이 남긴 소중한 유산을 이어받아 여정을 계속하자”고 덧붙였다.   ",2025. 5. 12. 05:00,http://v.daum.net/v/20250512050030909
"유비케어, 대구가톨릭 약대와 재학생 대상 실무교육 맞손"," 유비케어의 대표 약국 솔루션인 ‘유팜’은 처방 조제, 보험 청구, 복약지도 등 약국 운영에 필요한 전반적인 기능을 지원하는 청구 관리 프로그램이다. 유비케어는 유팜을 기반으로 △약국 전용 신용카드 단말기 ‘VAN 플러스(Plus)’ △처방전 자동 입력 솔루션 ‘2D 바코드’ 등 약국 운영에 필요한 전반의 아이템을 통합 제공한다. 이번 협약에 따라 유비케어는 전국 6000여 약국에 도입된 약품 자동 조제기 ‘오토팩’을 제조사 크레템의 협조를 받아 대학에 기증했다. 이를 통해 학생들이 실제 조제 환경을 체험할 수 있는 실습 기반이 마련됐다. 김진태 유비케어 대표는 “이번 협약은 대구 지역 약학 명문인 대구가톨릭대학교 재학생들이 약국 실습에 빠르게 적응할 수 있도록 지원하는 차원”이라며 “앞으로도 동문 약사 및 미래 약사들을 위한 실질적 교육 협력과 지원을 지속해 나가겠다”고 말했다. vrdw88@fnnews.com 강중모 기자",2025. 5. 16. 13:49,http://v.daum.net/v/20250516134951468
"유비케어, 대구가톨릭대학교 약학대학과 실무 교육 MOU"," (서울=뉴스1) 장도민 기자 = 헬스케어 플랫폼 기업 유비케어는 지난 15일 대구가톨릭대학교 약학대학 재학생을 위한 약국 실무 교육 지원 업무협약(MOU)을 맺었다고 16일 밝혔다. MOU는 약국 실무에 익숙하지 않은 약대생들이 실제 환경에 빠르게 적응할 수 있도록 소프트웨어 및 조제기기 등 교육용 아이템을 제공하는 것이 목적이다. 유비케어의 대표 약국 솔루션인 '유팜'은 처방 조제, 보험 청구, 복약지도 등 약국 운영에 필요한 전반적인 기능을 지원하는 청구 관리 프로그램이다. 회사는 유팜을 기반으로 약국 전용 신용카드 단말기 'VAN Plus, 처방전 자동 입력 솔루션 '2D 바코드' 등 약국 운영에 필요한 전반의 아이템을 통합 제공한다. 유비케어는 전국 약 6000여 약국에 도입된 약품 자동 조제기 '오토팩'을 제조사 크레템의 협조를 받아 기증했다. 김진태 유비케어 대표는 ""이번 협약은 대구 지역 약학 명문인 대구가톨릭대학교 재학생들이 약국 실습에 빠르게 적응할 수 있도록 지원하는 차원""이라며 ""앞으로도 동문 약사 및 미래 약사들을 위한 실질적 교육 협력과 지원을 지속할 것""이라고 말했다. 민병선 대구가톨릭대학교 약학장은 ""이번 협력이 단순한 상생을 넘어, 약사와 약대생이 함께 미래 약국 환경을 함께 만들어가는 계기가 되기를 기대한다""고 말했다. jdm@news1.kr",2025. 5. 16. 13:46,http://v.daum.net/v/20250516134642351
"가톨릭관동대 국제성모병원, 외국인 환자 진료 지원 솔루션 개발"," 【파이낸셜뉴스 인천=한갑수 기자】 가톨릭관동대학교 국제성모병원은 외국인 환자 진료의 효율성을 높이는 다국어 의료 통역 솔루션 ‘메디카복스(MedicaVox)’를 자체 개발했다고 16일 밝혔다. MedicaVox는 라틴어 Medica(치유·의료)와 Vox(목소리)를 결합한 명칭으로 ‘치유의 목소리’라는 의미를 담고 있다. 이 솔루션은 의료 현장에서 외국인 환자와 의료진이 실시간으로 다국어 의사소통을 가능하게 하는 인공지능 기반 번역 플랫폼이다. MedicaVox는 페이스북 운영사인 메타의 최신 인공지능 대규모 언어모델인 라마4(LlaMa4, Large Language Model Meta AI 4)를 기반으로 설계됐다. MedicaVox는 영어, 러시아어, 인도네시아어 등의 언어를 높은 정확도로 번역해 의사가 외래 진료 현장에서 외국인 환자와 실시간으로 소통할 수 있도록 설계됐다. 국제성모병원은 지속적인 업데이트를 통해 적용 외국어 확대, 외국어 번역 시 실제 의료진의 음성으로 구현되는 기능과 대화 기록이 차트와 연동되는 기능 등을 추가할 예정이다. 솔루션 개발은 외국인 환자 임상 진료 경험과 언어 데이터를 기반으로 국제성모병원 국제진료센터가 참여해 주도했다. 국제성모병원 국제진료센터는 MedicaVox의 상표권을 출원하고 본격적인 실증 및 확산에 나설 예정이다. 고동현 국제성모병원장(신부)은 “최근 증가하고 있는 외국인 환자를 대상으로 진료 만족도와 신뢰도를 높일 수 있을 것으로 기대한다”고 말했다. 김혜윤 국제진료센터장(교수)은 “앞으로 MedicaVox의 지속적인 업데이트로 해외 의료기관 또는 협력기관으로 확대 적용해 글로벌 헬스케어 네트워크를 강화할 계획”이라고 했다. #페이스북 #헬스케어 #외국인환자 #메타 #국제성모병원 #실시간소통 # 가톨릭관동대학교 #다국어의료통역솔루션 #메디카복스(MedicaVox) #라마4 #국제진료센터 kapsoo@fnnews.com 한갑수 기자",2025. 5. 16. 11:32,http://v.daum.net/v/20250516113256730
가톨릭목포성지 [한국의 아름다운 성당㉚],"목포에 가면 꼭 들르는 곳 중 하나가 산정동성당이다. 산정동성당은 남편 집안의 신앙 본거지였으며, 한국 레지오마리에의 발상지다. 작고하신 작은아버님은 한국 최초 레지오마리에 서기를 맡아 첫 주회를 시작하셨다는 기록과 사진을 남기셨다.  이번 목포방문에서는 목포의 명물로 자리한 케이블카를 탔다. 유달산에서 탄 케이블카는 바다를 가로지르며 고하도에 당도한다. 목포와 바다를 한눈에 담을 수 있다. 고공에서의 짜릿함과 아름다운 바다를 바라보는 눈은 두 배의 즐거움을 준다. 고하도에 내려 해안산책길을 걷고 가톨릭목포성지로 이동했다. 1898년에 목포본당이 설립되었고, 1933년에 아일랜드의 성골롬반외방선교회가 한국에 파견되어 광주교구 설정을 준비하였다. 1937년 대구대목구로부터 지목구로 설정되어 오웬 신부가 임명되고, 교구청은 목포시 산정동 97번지로 하였다. 일제 강점기에 모 파트리치오 주임신부와 임 오웬 몬시뇰 교구장이 체포, 감금, 투옥되었으며 교구청은 일본군 사령부로 징발되었다. 한국전쟁 때 인민군 막사로의 징발에 저항하던 세 분의 사제가 체포되어, 대전에서 순교하였다. 광주교구 제5대 교구장인 하롤드 헨리 신부에 의해 레지오마리에가 도입되어 1953년에 한국 최초로 레지오 마리애 첫 주회가 시작되었다. 이를 기념하여 2020년 700석 규모의 성당을 새로 건립한 산정동성당은 우리나라의 첫 번째 준대성전이다. 준대성전이란 역사적, 예술적, 신앙적인 면에서 중요성을 인정받아 교황에 의해 특전이 부여되는 곳을 말한다.  가톨릭목포성지에 들어서면 순교기념비가 있고, 준대성전 입구에는 산정동성당의 간략한 역사가 부조로 조각되어 있다. 성전 제대에는 성십자가 보목이 안치되어 있으며, 성 소화데레사와 그의 부모 마르탱 부부 성인의 유해가 모셔져, 순례자의 마음을 가다듬게 한다. 성전은 크고 높아서 웅장함이 느껴진다. 또한 성경의 장면들을 그대로 옮겨 놓은 듯한 스테인드글라스 역시 아름답다.   밖으로 나오면 예수성심상을 머리에 인 메모리얼타워가 있고, 성모칠고 묵상 길, 천사의 길, 레지오마리에 기념관과 역사박물관이 있다. 메모리얼타워의 원형 통로를 내려가면 가톨릭역사박물관으로 갈 수 있는데, 2017년 구교구청 건물을 역사박물관으로 꾸며 광주 대교구의 역사와 한국 레지오마리에의 역사를 한눈에 볼 수 있도록 하였다.   먹거리 볼거리가 풍부한 목포에 가면 가톨릭목포성지에도 꼭 들러보길 추천한다. 성지에 올라 목포시 전경도 내려다보고 신앙도 다지면 좋겠고, 아울러 목포근대역사문화공간과 오래된 성당인 경동성당과 북교동성당을 함께 찾아보면 더 풍성한 여행이 될 것이다.  주소 : 전남 목포시 노송길 35, 전화 : 061-279-4650 가볼 만한 곳 : 유달산, 갓바위, 케이블카, 고하도, 평화광장, 목포근대역사관  홍덕희 작가",2025. 5. 14. 14:14,http://v.daum.net/v/20250514141435579
"""신은 마술사 아니다""…우리가 몰랐던 교황과 가톨릭에 관한 몇 가지"," (서울=뉴스1) 권영미 기자 = 14억 신도를 이끌 가톨릭교회 수장을 뽑는 콘클라베가 7일 시작되면서 이번에는 어떤 교황이 탄생할지 세계의 눈이 쏠리고 있다. 제266대 교황인 프란치스코 교황(2013~2025년 재위)까지 교황직은 약 2000년간 지속되어 왔다. 하지만 전통과 예법을 중시하는 신앙 체계였던 탓에 일반 사람들은 여전히 가톨릭을 다소 어렵게 느끼고, 가톨릭교회와 교황 관련해 모르는 사실도 많다. 그 가운데서 궁금했던 몇 가지를 짚어본다. 현재 로마 가톨릭교회에서는 모든 사제와 수녀들에게 독신 서약을 요구하고 있다. 반면 동방 가톨릭교회나 정교회, 개신교, 성공회 등 다른 기독교 종파의 사제는 결혼해 가정을 꾸릴 수 있다. 가톨릭 초대 교황으로 알려진 베드로(시몬 베드로)는 결혼했고, 초대 교회의 대감독(대주교)도 결혼에 대한 제재를 받지 않았다. 그러나 약 4세기부터 기독교에는 사제가 혼인하지 않는 풍습이 생겼다. 이는 1123년 제1차 라테라노 공의회 때 교회법으로 규정됐다. 결혼하지 않음으로써 온전히 신과 공동체를 위해 봉사할 수 있고, 재산과 상속 문제 등에 휘말릴 가능성이 적다고 생각해서였다. 하지만 그 후 16세기 종교개혁으로 개신교가 가톨릭교회에서 떨어져 나오면서 성직자가 일반 신자들과 같은 삶을 살아야 한다는 생각이 강해지면서 개신교 성직자들은 결혼할 수 있게 됐다. 프란치스코 교황은 2019년 사제 독신제를 '주님의 선물'이라며 적극 옹호하면서도 독신주의가 ""영원한 교리가 아닌 규율""이라며, 필요에 따라 재검토될 가능성을 열어두었다.  바티칸(교황청)은 바티칸시티가 수도이자 그 자체로 국가인 도시국가다. 그래서 바티칸 시국이라고도 부른다. 바티칸 시국의 면적은 0.44㎢. 우리나라 경복궁의 약 1.3배에 해당하는 규모로, 지구에서 가장 작은 국가다. 로마시에 둘러싸인 바티칸 시국의 인구는 약 900명으로 추정되는데, 이들 대부분은 성직자, 수도자, 스위스 근위병(바티칸 성벽 출입문을 지키고 있음) 등이다. 바티칸 시국의 출생률은 사실상 '0'이다. 일반적인 국가와 달리 출생에 의해 시민권을 얻는 게 아니라 직무 수행을 통해 시민권이 부여된다. 교황은 전 세계 가톨릭의 영적 지도자일 뿐 아니라 바티칸 시국의 국가 원수다. 바티칸은 유럽연합(EU)은 물론 180개국 이상과 외교 관계에 있는데 특히 교황이 세계 정치에 미치는 영향은 막강하다. 예를 들어 요한 바오로 2세(1978~2005년 재위)는 1989년 베를린 장벽 붕괴와 동유럽 민주화 과정에서 가톨릭교회의 역할을 강조하고 자유를 지지해 공산주의 붕괴에 영향을 미쳤다. 2015년 파리 기후 협정 합의를 앞두고 프란치스코 교황은 지구를 구하기보다는 경제적 이익을 우선시하는 사람들의 '오만한 무관심'을 비판한 바 있다. 교황의 이 같은 입장 표명은 특히 글로벌 사우스(제3세계) 국가들에 특히 도움이 되었다는 평가를 받았다.  가톨릭교회는 과거에는 과학과 충돌하는 순간도 있었지만, 현대 들어서 과학적 발견을 적극적으로 받아들이고 연구를 지원하고 있다. 교황 바오로 6세(1963~1978년 재위)는 1969년 아폴로 11호의 달착륙 TV 생중계를 시청했고 바티칸 천문대의 망원경으로 직접 달 착륙 지점을 관찰했다. 이후 아폴로 11호의 우주비행사들이 바티칸을 방문했을 때, 그들에게 축복을 주며 인류의 과학적 발전을 높이 평가했다. 교황 비오 12세(1939~1958년 재위)는 1950년, 교황 요한 바오로 2세는 1996년에 각각 진화론이 신앙과 충돌하지 않는다고 밝힌 바 있다. 프란치스코 교황도 빅뱅과 진화론을 인정하는 발언을 했다. 그는 2014년에 ""우리가 창세기의 창조에 대해 읽을 때 하느님을 모든 것을 할 수 있는 요술 지팡이를 가진 마술사로 상상하는 위험에 빠져 있다""면서 ""신은 마술사가 아니다. 신은 새로운 것을 두려워하지 않으신다""며 과학의 발견과 발전을 인정했다. kym@news1.kr",2025. 5. 6. 07:00,http://v.daum.net/v/20250506070007525
[Why] 아프리카가 ‘가톨릭의 미래’로 떠오른 이유,"차기 교황을 선출하는 ‘콘클라베(추기경 비밀 회의)’가 내달 초 열릴 예정인 가운데, 차기 교황 후보로 아프리카 출신의 흑인 추기경들이 거론되고 있다. 콩고민주공화국의 프리돌린 암봉고 베숭구 추기경, 프란치스코 교황의 측근인 가나의 피터 터크슨 추기경 등이다. 가톨릭에서 그동안 ‘비주류’로 여겨졌던 아프리카가 주목 받는 이유는 무엇일까.  27일(현지 시각) 워싱턴포스트(WP)는 ‘아프리카는 프란치스코 교황의 재위 기간 동안 중요한 역할을 했고, 가톨릭 교회의 미래를 이끌 것이다’라는 제목의 기사를 통해 “아프리카 추기경들이 차기 교황을 선출하는 데 핵심적인 역할을 할 것”이라고 보도했다. 프란치스코 교황이 후임자 선출과 교회의 미래를 형성하는 데 기여할 아프리카 교회 지도자들의 위상을 높였다는 게 이유다. 프란치스코 교황은 인구학적 변화를 반영해 다양한 추기경 후보를 지명하며 아프리카 출신의 추기경 숫자를 늘려왔다. 현재 투표권을 가진 추기경 135명 중 아프리카 출신은 18명이다. 콘클라베에서 투표권을 가진 추기경단 중 아프리카 출신의 비율은 2014년 약 7%(118명 중 8명)에서 13%(135명 중 18명)로 두 배 이상 증가했다. 차기 교황은 투표권을 가진 추기경들로부터 3분의 2 이상 득표한 사람으로 선출되는데, 대륙별 추기경 구성이 중요한 변수가 될 수 있다. 아프리카 출신 추기경 수는 유럽(53명), 북미(20명), 아시아(23명) 다음으로 네 번째로 많다. 이로 인해 2000년 가톨릭 역사상 최초의 아시아 출신과 아프리카 출신 교황이 탄생할 가능성이 제기되고 있다. 더구나 아프리카 가톨릭 신자 수는 꾸준히 증가하고 있다. 바티칸에 따르면, 프란치스코 교황의 12년 재 기간 동안 아프리카의 가톨릭 신자 수는 1억 7600만 명에서 2억 8100만 명으로 약 60% 증가했다. 오늘날 전 세계 가톨릭 신자 5명 중 1명이 아프리카에 거주하고 있는 셈이다. 특히 콩고는 약 5500만 명의 세례 받은 가톨릭 신자를 보유하고 있으며, 나이지리아의 세례 신자 수도 3500만 명에 달한다. 이는 다른 대륙에서 가톨릭 신자 수가 감소하는 것과 대조적이다. 한때 전체 인구의 90% 이상이 가톨릭이었던 남미의 신자 감소세가 두드러지고 있다. 여론조사 기관인 라티노바로메트로에 따르면, 라틴 아메리카 전역에서 가톨릭 신자 비율은 2010년 70%에서 2020년 57%로 감소했다. 바티칸은 아프리카와 아시아 대륙에서만 사제 수가 증가하고 있다고 밝혔다. 나이지리아 북서부 교구의 사제 스티븐 아나에두는 “아프리카는 이제 가톨릭 교회의 희망”이라며 “과거에는 백인 서양 선교사들이 우리에게 종교를 가르쳤지만, 이제 아프리카인들이 전 세계에 복음을 전할 것”이라고 말했다. 아프리카 가톨릭 신자들의 신앙 생활도 매우 적극적이다. 조지타운대 연구에 따르면, 나이지리아 가톨릭 신자의 94%가 일주일에 최소한 한 번은 미사에 참여한다. 나이지리아에서 활동 중인 25세 작가이자 가톨릭 신자인 존스톤 크필라카는 “아프리카의 청년들이 가톨릭 교회의 미래를 적극적으로 만들어가고 있다”고 말했다. WP는 “누가 교황으로 선출되든, 아프리카는 신앙의 방향을 결정하는 데 중추적인 역할을 하게 될 것”이라며 “콘클라베에서 투표할 수 있는 135명 중 18명이 아프리카 출신으로, 현대 역사상 처음으로 아프리카 교황이 나올 수 있다는 추측이 제기되고 있다”고 전했다. 이어 “아프리카 교회는 다른 지역보다 훨씬 더 보수적”이라고 덧붙였다. - Copyright ⓒ 조선비즈 & Chosun.com -",2025. 4. 28. 15:02,http://v.daum.net/v/20250428150243252
14억 가톨릭 인구의 영적 지도자...교황의 지위와 권한은,"8일(현지시간) 선출된 제267대 교황은 전 세계 14억 가톨릭 신자들의 영적 지도자로 가톨릭 교회를 이끌게 된다. 초미니국가인 바티칸시국의 원수이자 세계 가톨릭의 본산인 이탈리아 로마 교구의 교구장이다. 교황은 예수의 제자 베드로 사도의 후계자로, 세계 주교단 단장이자 지상에서 그리스도의 대리자로 여겨진다.  교황은 약 2000년의 오랜 역사 속에서 가톨릭 신앙의 중심이자 도덕적 권위의 상징으로 역할을 해 왔다. 교황의 원어 명칭인 파파(Papa)는 아버지라는 뜻의 라틴어 '파파스'에서 유래한다. 영어로는 포프(Pope)로 부른다 그리스도 대리자이자 바티칸 시국 원수 교황의 직무는 크게 교도권, 신품권, 통치권 등 세 가지로 나뉜다. 교도권이란 신앙과 도덕에 관한 교리를 가르치는 직무다. 특히 교황이 교좌에서 신앙이나 도덕에 관한 교리를 확정적으로 선언할 때 오류가 없다는 뜻의 '무류성'을 보장받는다. 교황의 신품권은 백성을 거룩하게 하는 직무다. 이를 위해 교황은 시복·시성 등을 행한다. 또한 전 세계 신자들의 호소를 듣고, 교회법이 잘 시행되도록 특별사절을 파견하기도 한다. 통치권자로서의 교황은 입법·사법·행정의 최종 결정권자로서 교령 승인·재가·정지, 주교 임명 및 추기경 지명, 교구 설정·관리·변경, 교회 재산 관리, 공의회 소집·주재·폐회, 교회법 도입·변경·폐지 등의 폭넓은 권한을 가진다.  이탈리아 출신 교황이 가장 많아 초대 교황 성 베드로에서부터 지난달 21일 선종한 프란치스코 교황까지 총 266명이 교황을 맡았다. 국적별로는 이탈리아 출신이 210명으로 가장 많았다. 평균 재위기간은 8년, 초대 교황 베드로가 34년간 재위해 최장수 기록이다. 1590년 우르바누스 7세는 말라리아에 걸려 즉위한 지 불과 12일 만에 선종해 재위기간이 가장 짧다. 교황의 이름은 선출 후 본인이 스스로 고르는 것이 1,000년 이상 관례로 내려오고 있다. 다만 베드로는 초대 교황만 사용할 수 있다. 가장 인기 있는 교황 명칭은 요한으로 23명 교황의 선택을 받았다. 하수영 기자 ha.suyoung@joongang.co.kr",2025. 5. 9. 02:15,http://v.daum.net/v/20250509021522165
"중국 관제 가톨릭 기구, 레오 14세에 축전[교황 선출]"," [서울=뉴시스] 문예성 기자 = 중국 정부가 관리하는 가톨릭 조직이 레오 14세가 제267대 교황으로 선출된 데 대해 축하 메시지를 전했다. 9일 중국 관영 신화통신에 따르면 중국 가톨릭의 관제 기구인 '1회1단'(중국천주교애국회와 중국천주교주교단)이 전날(현지 시간 8일) 콘클라베를 통해 새 교황으로 선출된 레오 14세에게 축전을 보냈다. 다만 축전에 담긴 구체적인 내용은 공개되지 않았다. 앞서 지난달 21일 프란치스코 전임 교황이 선종한 이후 바티칸은 약 2주간의 ‘교황 공백기’를 거쳐 새 교황을 선출했다. 이 기간 동안 중국 당국은 자국 내 친정부 성향의 가톨릭 인사들을 잇따라 주교로 임명하며 가톨릭에 대한 통제 강화를 시도한 것으로 알려졌다. 실제로 상하이교구의 우젠린 부주교는 지난달 29일 해당 교구의 보좌주교로 선출됐다. 우 주교는 중국정치협상회의(정협) 위원을 지낸 대표적인 친정부 인사로 평가된다. 반면 교황청의 승인을 받은 마다친 주교는 지난 2012년 자신의 취임식에서 중국천주교애국회 탈퇴를 선언한 이후 한 수도원에서 사실상 가택연금 상태로 지내고 있는 것으로 전해졌다. 이외에도 중국 당국은 최근 리젠린 신부를 허난성 신샹교구 주교로 임명했다. 리 주교 역시 정부 방침에 동조하는 인사로, 과거 미성년자의 미사 참여를 제한하는 정책에 공개 지지를 표명한 바 있다. 같은 교구의 장웨이주 주교는 교황청에 충성을 표하고 애국회 가입을 거부해 수차례 구금된 바 있다. 월스트리트저널(WSJ)은 2명의 친정부 인사가 주교로 임명된데 대해 ""중국이 신임 교황이 중국의 권위주의 정권에 얼마나 양보할 수 있는지를 시험하고 있다고 지적했다. 중국 내 공식 통계에 따르면 가톨릭 신자는 약 600만 명이지만, 교황청과 직접 연결된 지하교회 신자는 이보다 더 많은 것으로 추정된다. 중국과 바티칸은 1951년 교황청이 대만을 승인한 이후 외교 관계를 맺지 않고 있다. 양측은 2018년 주교 임명과 관련해 잠정 합의를 체결한 바 있으며, 이후 두 차례 갱신해 협의를 이어가고 있다. ☞공감언론 뉴시스 sophis731@newsis.com",2025. 5. 9. 15:27,http://v.daum.net/v/20250509152709969
"트럼프, 교황 합성 사진 논란에 “가톨릭 신자 멜라니아는 귀엽다고 했다”"," “내 아내는 그 사진이 귀엽다고 생각했다. 멜라니아는 ‘멋지지 않아?’라고 말했다” 도널드 트럼프 미국 대통령이 5일 미국 백악관에서 열린 스포츠 관련 행사에서 자신과 교황이 합성된 사진을 올린 것에 대해 부인인 멜라니아 여사가 이렇게 말했다고 전했다. 트럼프는 아니지만 멜라니아는 가톨릭 신자다. 미국 언론 ‘뉴욕 타임스’ 등의 보도에 바탕을 두면, 트럼프 대통령은 이날 교황 합성사진에 대해 가톨릭 신자들이 불편해한다는 기자의 질문에 “그들이 농담도 모른다고? 당신이 말하는 건 가톨릭 신도들이 아니라 가짜 뉴스 미디어다. 가톨릭 신자들은 정말 좋아했다”고 말했다.  앞서 2일 트럼프 대통령은 본인이 교황 복장을 한 합성 이미지를 자신이 만든 사회관계망서비스(SNS)인 트루스소셜 계정에 올려 논란이 일었다. 프란치스코 교황의 선종 뒤 애도 기간이라 부적절한 행동이란 비판은 커졌다. 프란치스코 교황이 선종한 직후인 지난달 29일에는 차기 교황에 대한 질문에 “내가 되고 싶다”며 “그게 나의 넘버 원 선택”이라고도 말했다. 트럼프가 올린 합성 사진을 직접 만들었는지도 궁금증을 자아내는 대목이었다. 트럼프는 이날 기자들의 질문에 거듭 “나는 아무것도 하지 않았다”고 말했다. 트럼프 대통령은 “누군가 내가 교황처럼 옷을 입은 사진을 만들어 인터넷에 배포했다. 내가 한 것이 아니다”라며 “그게 어디서 왔는지 나도 모른다. 아마도 인공지능(AI) 같지만”이라고 말했다. 인터넷에 이미 유포된 사진을 자신의 SNS 계정에 올렸을 뿐이니 문제 될 것이 없다는 뜻이다. 한편 뉴욕주 가톨릭 회의 전무인 데니스 푸스트는 “교황을 희롱하거나 조롱하는 것은 절대 적절하지 않다”고 말했다고 ‘뉴욕 타임스’는 전했다. 신윤동욱 기자 syuk@hani.co.kr",2025. 5. 6. 12:05,http://v.daum.net/v/20250506120504089
