title,content,date,url
HBM 없는 AI칩 늘어난다…삼성전자 낙수효과 기대," 미국 빅테크들이 중국 수출용 인공지능(AI) 칩에서 고대역폭메모리(HBM) 대신 GDDR(그래픽 D램)을 채택하는 움직임을 보이면서, 삼성전자를 비롯한 국내 반도체 생태계 전반에 반사이익 기대감이 커지고 있다. 특히 GDDR 수요가 구조적 흐름으로 자리잡는다면, 삼성 협력사들의 실적에도 긍정적인 영향을 미칠 가능성이 크다는 분석이 나온다. 4일 업계에 따르면 GDDR7 기반의 AI 칩이 출시될 가능성이 높아지며 글로벌 메모리 수요에 일부 변화가 일고 있다. 엔비디아는 트럼프 정부의 수출 규제를 피하기 위해 저가형 AI 칩 'B40' 양산을 준비하고 있다. 이 칩은 HBM 없이 D램만으로 AI 연산 기능을 내는 중국 수출용 AI 칩이다. 업계 관계자는 ""엔비디아가 어떤 방법을 써서든 중국 AI 시장을 포기하지 않는다는 의지를 명확히 하고 있다""며 ""HBM을 넣지 않은 AI 칩이 실제 출시된다면, 이는 곧바로 GDDR 계열 메모리 수요 급증으로 이어질 수 있다""고 말했다. 이런 영향에 삼성 주요 협력사들 사이에선 낙수효과 기대감이 형성되고 있다. 삼성전자가 지난해 엔비디아향 HBM3E 퀄 테스트를 통과하지 못해 주요 장비 발주가 보류됐는데, GDDR 수요 발생 시 장비 발주가 재개될 가능성이 높기 때문이다. 삼성전자는 여전히 HBM 공급을 최선의 시나리오로 보고 있지만, 장비 기업들은 GDDR 대응에도 HBM 수준에 준하는 장비가 필요하다는 점에서 실적 회복의 주요 기회가 될 수 있다고 판단하고 있다. 장비업계 한 관계자는 ""삼성의 메모리 생산 전략 변화에 따라 빠르게 방향을 전환해야 할 가능성이 있어 미리 준비하고 있다""고 전했다. 이 같은 변화에서 수혜가 예상되는 기업으로는 원익IPS와 와이씨 등이 꼽힌다. 두 회사는 삼성전자의 주요 협력사로, 각각 원자층증착공정(ALD)와 메모리 웨이퍼 테스터를 삼성에 공급하고 있다. 그러나 이들은 지난해 AI 시장 확대로 반도체 장비 수요가 커졌음에도 수혜를 온전히 누리지 못했다. 삼성전기의 IT용 제품 공급 확대도 기대된다. 삼성전기는 GDDR7 패키징용 고사양 기판과 MLCC(적층세라믹커패시터)를 삼성전자에 공급하고 있다. 업계 관계자는 ""삼성전자 중심의 낙수효과를 기대하는 장비·소재 기업들이 많다""며 ""GDDR7 수요가 일시적이 아닌 구조적 수요로 전환된다면, 생태계 전반의 실적 개선 흐름으로 이어질 수 있다""고 말했다.박순원기자 ssun@dt.co.kr",2025. 6. 4. 16:15,http://v.daum.net/v/20250604161521240
삼성전자 주가 언제 반등하나…외인 '엇갈린 투심', 4일 삼성전자 주가가 SK하이닉스 대비 뒤처진 상승폭을 보이고 있다. 지난 한 달간 SK하이닉스를 가장 많이 사고 삼성전자를 가장 많이 팔았던 외국인은 새 정부 출범 이후 첫 거래일인 이날에도 같은 양상이다. 한국거래소에 따르면 이날 오전 10시10분 기준 삼성전자는 전 거래일 대비 950원(1.67%) 오른 5만7750원에 거래되고 있다. 주가는 지난달 28일부터 이날까지 닷새 연속으로 오름세다. 같은 시각 SK하이닉스는 1만2250원(5.9%) 오른 21만9750원에 거래 중이다. 개장 이후 한때 22만3000원까지 올랐다. SK하이닉스의 강한 상승세는 간밤 엔비디아가 인공지능(AI) 반도체 수요 호조 기대에 주가가 상승하면서 시가총액 1위에 올라선 영향으로 풀이된다. SK하이닉스는 엔비디아에 고대역폭메모리(HBM)를 공급하고 있다. 엔비디아가 시총 1위를 탈환한 것은 올 1월24일 이후 4개월여 만이다. 대신증권 홈트레이딩시스템(HTS)에 따르면 이날 오전 10시 금액 기준(잠정치) 외국인 순매도 1위 종목은 삼성전자다. 753억원 매도 우위다. 반면 SK하이닉스는 2900억원 매수 우위로 순매수 1위 종목에 이름을 올렸다. 앞서 직전 한 달간에도 외국인은 한국에서 SK하이닉스를 1조4760억원어치로 가장 많이 담았다. 이 기간 삼성전자는 1조2778억원어치로 가장 많이 팔았다. 신민경 한경닷컴 기자 radio@hankyung.com,2025. 6. 4. 10:28,http://v.daum.net/v/20250604102802556
"""삼성전자, 주가 상승 위해 HBM 선제공급·파운드리 대형 수주 필요""-DB證"," 4일 DB증권에 따르면 DS 실적에 영향을 미치는 메모리 가격은 내년 2·4분기부터 반등이 예상된다. 올해 4·4분기에서 내년 1·4분기 사이엔 고객사의 선제적 재고 비축에 따른 여파 등으로 메모리 가격의 단기 하락이 예상되지만 내년 2·4분기부터는 계절적 성수기가 도래하고, 타이트한 공급이 예상되면서 가격이 반등할 것으로 전망된다. 이에 서승연 DB증권 연구원은 ""현재 삼성전자 주가는 여전히 밸류에이션 매력도가 높다""면서도 ""추세적으로 주가가 상승하기 위해서는 주요 그래픽처리장치(GPU) 고객사향 1cnm 기반 고대역폭메모리(HBM) 선제 공급과 파운드리 대형 수주가 전제 돼야 할 것""이라고 설명했다. 한편, 올 2·4분기 삼성전자는 매출 77조3000억원, 영업이익 6조7000억원을 기록할 것으로 예측된다. 전년 대비 매출은 4% 늘고 영업이익은 36% 감소해 시장 예상에 부합할 전망이다. 삼성전자 모바일(MX)부문도 시장 예상을 상회하는 영업이익을 거둘 것으로 예상된다. 서 연구원은 ""MX부문은 올 2·4분기 신제품 출시 공백기이나 중저가 인공지능(AI) 스마트폰 출시에 따른 전년 대비 스마트폰 출하량 증가와 원가 절감 효과로 시장 예상을 상회하는 영업이익 2조8000억원을 기록할 것""이라고 봤다. 이어 ""디스플레이(SDC) 영업이익은 하반기 신제품 출시를 앞둔 북미 및 국내 고객사향 중소형 유기발광다이오드(OLED) 출하에도 불구하고 관세 영향에 따른 판가 인하 압력으로 전분기와 유사한 수준을 기록할 것""이라고 덧붙였다. #삼성전자 #반도체 soup@fnnews.com 임수빈 기자",2025. 6. 4. 06:00,http://v.daum.net/v/20250604060013731
"삼성전자 `갤럭시 Z 폴드`, 더 크고 더 얇게 돌아온다"," '갤럭시 Z 폴드'가 더욱 넓어진 화면과 얇은 두께로 돌아온다. 화면을 확대하면서도 두께를 줄여 사용성과 휴대성이 큰 폭 개선될 것으로 예상된다. 4일 팁스터(정보유출자) '온리크'에 따르면 폴드 7 두께는 펼쳤을 때 4.5㎜로 전작 5.36㎜보다 0.8㎜ 가량 얇아졌다. 메인 디스플레이는 7.6인치에서 8.2인치로, 커버 디스플레이는 6.3인치에서 6.5인치로 커질 것으로 온리크는 예상했다. 삼성전자는 갤럭시 Z 폴드와 풀립을 7월 둘째주 미국 뉴욕 언팩 행사에서 최초 공개한다. 삼성전자는 갤럭시 Z의 접고 펴는 폼팩터로 전세계의 이목을 사로잡는 데 성공했다. 그러나 접었을 때의 두께 때문에 선택을 머뭇거리는 소비자도 있던 게 사실이다. 바지주머니나 소형 핸드백에 넣기에는 아무래도 부담이 좀 있기 때문.이다 그러나 폴드 7은 접었을 때 최대 8.2㎜까지 얇아질 수도 있다는 예상이 나온다. 이에 따라 이번 제품은 두께가 10㎜미만인 역대 가장 얇은 Z 폴드 모델이 될 것으로 전망된다. 이에 더해 이번 신제품은 2억 화소의 메인 카메라를 탑재할 것으로 예상된다. 이번 카메라 스펙은 과거 '갤럭시 Z 폴드 스페셜 에디션'과 동일한 수준으로 전작은 5000만 화소의 메인 카메라 대비 대폭 업그레이드 된 수준이다. 글로벌 휴대폰 시장에는 두 번 접는 스마트폰이 등장하는 등 경쟁이 심화하고 있다. 이런 가운데 삼성전자는 이번 신제품에선 '한 번' 접는 것을 고수한 것으로 예상됐다. 이에 더해 이번에 공개하는 신제품엔 삼성전자가 자랑하는 갤럭시 인공지능(AI) 기능이 탑재된다. 사용성을 극대화한 하드웨어 개선에 더불어 소비자를 사로잡는 포인트가 될 것으로 보인다. 이런 가운데 삼성전자는 이날 뉴스룸을 통해 10초 분량의 영상을 공개했다. 영상에는 갤럭시 Z 폴드 7으로 추정되는 스마트폰을 펴고 접는 내용이 담겼다. 앞서 팁스터가 올해 삼성전자가 두 번 접는 트리폴더블 폰을 출시할 것으로 전망한 것과는 다른 모습이다. 삼성전자는 이번 신제품을 '울트라 경험을 펼치다'라는 주제로 소개하며 더욱 큰 화면, 뛰어난 카메라, 강력한 성능, 다양한 방식의 연결과 창작 도구 등을 내세웠다. 다각도로 뛰어난 신제품을 출시하고 소비자에게 울트라 경험을 전달하겠다는 구상이다. 삼성전자에 따르면 이번 갤럭시 Z 시리즈는 정밀한 하드웨어, 강력한 성능, 폼팩터에 최적화된 AI 등을 자랑한다. 갤럭시 Z 폴드 7의 경우 펼쳤을 때의 대화면은 콘텐츠 감상부터 문서 작성까지 멀티태스킹에 최적화됐다. 또한 갤럭시 AI도 폴더블 폼팩터에 최적화돼 더욱 직관적으로 개선됐다. 삼성전자는 ""올 여름 기능적 디자인과 기술의 조화를 통해 일상을 향상시킬 차세대 갤럭시를 공개하겠다""이라고 밝혔다. 김영욱기자 wook95@dt.co.kr",2025. 6. 4. 15:45,http://v.daum.net/v/20250604154533990
"""바닥 다졌다"" 삼성전자 사모으는 기관"," 3일 한국거래소에 따르면 5월 2일부터 지난 2일까지 종가 기준으로 기관은 유가증권시장에서 총 1조6114억원어치를 순매수했다. 같은 기간 외국인은 1조1350억원어치를 사들였고, 개인은 3조1585억원어치를 순매도했다. 기관의 매수세는 삼성전자를 중심으로 유입됐다. 해당 기간 삼성전자 순매수 금액은 2485억원으로 가장 컸으며, 한국전력(2121억원), SK하이닉스(1991억원)가 뒤를 이었다. 시장에서는 삼성전자의 반도체 경쟁력 회복과 저평가 매력이 크게 작용한 것으로 분석하고 있다. 신한투자증권 강진혁 연구원은 ""삼성전자는 최근 지지선을 딛고 반등을 모색하고 있지만, 기술적 반등보다는 자사주 매입과 저가 매수세 유입에 따른 수급적 반등의 성격이 강했다""며 ""다만 환율 안정과 대외 불확실성 완화 속에 외국인 수급이 유입될 경우 추가 상승 여지도 열려 있다""고 진단했다. 전문가들은 삼성전자의 실적 회복세가 더딘 가운데에서도 구조적인 재편과 기술 경쟁력 회복이 중장기 투자 매력으로 작용한 것으로 보고 있다. BNK투자증권 이민희 연구원은 최근 리포트에서 ""삼성전자는 인공지능(AI) 노출도가 낮고, 모바일과 중국 의존도가 높은 사업 구조를 보유하고 있다. 수율 개선과 함께 제조 경쟁력을 회복 중""이라며 ""내년 HBM4 등에서 경쟁력 확보 여부가 중요하다""고 말했다. 이어 ""실적 개선 속도가 기대에 못미쳐 목표주가는 기존 대비 하향한 6만9000원으로 조정하되 반도체 경쟁력 강화에 기반해 '매수' 의견을 유지한다""고 밝혔다. 유안타증권은 D램 시장 회복과 낸드의 부진이 맞물린 국면에서의 실적 변동성에 주목하고 있다. 유안타증권 백길현 연구원은 ""2025년 하반기 D램 가격은 완만한 상승세가 이어질 것으로 보인다""며 ""다만 낸드부문의 실적 기여도는 크게 감소할 전망""이라고 말했다. DB증권 서승연 연구원은 ""올해 2·4분기 삼성전자는 모바일경험(MX)부문의 공백을 디바이스솔루션(DS)이 상쇄하는 구조로 실적을 방어할 것""이라며 ""현재 주가는 12개월 예상 기준 PBR 0.9배 수준으로, 역사적 저점 수준의 밸류에이션 매력을 지닌다""고 평가했다. 시장에서는 기관의 삼성전자 집중 매수가 향후 반도체 업황의 바닥 통과 시그널이 될 수 있다는 점에 주목하고 있다. 증권사 한 관계자는 ""기관 수급에 외국인 순매수세가 본격화될 경우 코스피 전반에 미치는 상승 탄력도 확대될 수 있다는 기대감이 확산되고 있다""고 전했다. dschoi@fnnews.com 최두선 기자",2025. 6. 3. 18:55,http://v.daum.net/v/20250603185542945
요즘엔 이 동네가 분양 격전지…‘늦기 전에 사자’ 거래 활발한 경기도," 4일 한국부동산원에 따르면 올해 3월 전국 아파트 매매 거래량은 5만3460건으로 8개월 만에 최대치를 기록했다. 4월에는 5만693건을 기록했는데, 이 중 경기도의 거래량이 1만4031건으로 전국에서 가장 활발했다. 경기도 아파트값은 상승 중이다. 부동산R114에 따르면 지난 5월 경기도의 아파트 매매가는 0.16% 상승하며 지난 4월(0.04%)보다 상승폭이 커졌다. 지역별로 보면 과천시가 1.56%로 가장 많이 올랐으며, 연천군(0.63%), 성남시(0.57%), 안양시(0.48%), 용인시(0.37%), 수원시(0.27%), 광주시(0.25%), 하남시(0.17%) 순으로 상승했다. 부동산인포 관계자는 “봄 이사철, 서울 집값에 대한 부담으로 경기권에 유입된 대체 수요, 금리 인하 기대감과 맞물리며 관망세였던 수요가 실거래로 전환된 것”이라며 “전세 시장의 불안정성과 매물 부족까지 겹치면서 더 늦기 전에 집을 사려는 움직임이 거래량 증가로 이어졌다”고 분석했다. 실제 경기도 입주 물량은 줄어들고 있다. 2025~2027년 3년간 경기도 입주 예정 물량은 22만3066건으로 지난 2년 공급 물량(22만6939가구)보다 적다. 이 중 5000가구 미만인 경기 지역은 하남, 군포, 과천, 광주 등을 비롯해 총 14곳에 이른다. 이에 경기 지역에서 새롭게 분양하는 단지들에도 눈길이 쏠리고 있다.  SM스틸건설부문은 경기도 용인시 처인구에 ‘클러스터용인 경남아너스빌’을 6월 분양할 예정이다. 지하 3층~지상 29층, 13개 동, 전용면적 84·123㎡, 총 997가구로 조성된다. 단지는 삼성전자(예정)와 SK하이닉스(예정) 반도체 클러스터까지 차량으로 10분이면 이동할 수 있다. 효성중공업은 경기도 김포시 풍무동에 들어서는 ‘해링턴 플레이스 풍무’를 6월 분양할 예정이다. 이 단지는 김포 풍무 양도지구 도시개발사업 1~3BL에 있으며, 지하 3층~지상 최고 29층, 총 18개 동, 전용 59~84㎡ 총 1769가구 규모로 조성된다. 이 중 1573가구가 일반분양 물량이며, 196가구는 민간임대로 구성돼 추후 공급될 예정이다. 금호건설은 6일 오산세교2지구에서 민간참여 공공분양 아파트인 ‘오산 세교 아테라’ 견본주택을 열고 분양에 돌입할 예정이다. 경기도 오산시 벌음동 일대에 들어서며 지하 2층~지상 25층 6개 동, 전용면적 59㎡ 총 433가구 규모다. 분양가상한제가 적용돼 주변 시세보다 합리적으로 분양가가 책정돼 3억원대 초반부터 내 집 마련이 가능하다. 특별공급 비율이 75% 수준이어서 신혼부부, 생애최초 등을 통해 젊은 수요자들이 당첨될 가능성이 크다.",2025. 6. 4. 21:42,http://v.daum.net/v/20250604214200909
슬림 디자인에 울트라급 성능? 삼성전자 '갤럭시Z폴드7' 티저 공개,"삼성전자 ""울트라 경험 더 넓게 펼쳐진다""  삼성전자는 4일 공식 뉴스룸에 '울트라 경험을 펼치다'라는 제목의 게시물을 올렸다. 다음 달 차세대 폴더블폰 공개를 앞두고 주요 성능에 대해 힌트를 제시한 것이다. 여기에는 '갤럭시Z폴드7'의 실루엣이 담긴 티저 영상도 포함됐다. 영상을 살펴보면, 신제품이 슬림한 디자인을 채택했다는 점을 확인할 수 있다. 외신 등을 통해 유출된 내용에 따르면 '갤럭시Z폴드7'은 펼쳤을 때 기준 두께 3.9㎜에 8.2인치 디스플레이를 탑재했을 것으로 예상된다. 삼성전자는 '갤럭시Z폴드7'의 주요 성능에 대해서도 언급했다. 회사는 ""사용자들은 더 큰 화면, 더 뛰어난 카메라, 더 강력한 성능, 더 다양한 방식의 연결과 창작 도구 등 이 모든 경험을 한 손에 담길 원한다""며 ""이러한 소비자 기대에 꾸준히 귀 기울여 단순한 스펙과 기능의 조합을 넘어 일상의 상호작용을 새롭게 정의하는 '울트라 경험'을 제시하고자 한다""고 설명했다. 이어 ""스마트폰을 접은 상태에서 AI로 맛집을 찾아 친구에게 메시지를 전송하거나, 식당으로 이동하면서 마무리하지 못한 업무 이메일을 작성하고, 저녁 모임에선 고화질 카메라로 일행과의 즐거운 순간을 기록할 수 있다""며 ""펼친 상태에서는 콘텐츠를 감상하는 동시에 문서를 작성하는 등 최적화된 멀티태스킹이 가능해진다""고 덧붙였다. 삼성전자는 ""정밀한 하드웨어, 강력한 성능, 최적화된 AI까지, 사용자들이 울트라에 기대하는 모든 요소가 이 제품에 담겼다""며 ""이제 울트라 경험이 더 넓게 펼쳐질 준비를 마쳤다""고 강조했다. '갤럭시Z폴드7'은 다음 달 초 미국 뉴욕에서 열리는 '갤럭시 언팩'을 통해 공개될 예정이다. 삼성전자 폴더블폰 신제품이 뉴욕에서 공개되는 건 2022년 8월 '갤럭시Z폴드4' 이후 3년 만이다. '갤럭시Z폴드7'과 함께 '갤럭시Z플립7'도 공개된다. '갤럭시Z플립7' 역시 슬림한 디자인을 채택하고, 다양한 AI 기능을 장착했을 것으로 점쳐진다. rocky@tf.co.kr 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",2025. 6. 4. 15:25,http://v.daum.net/v/20250604152534194
[ET라씨로] 엔비디아 시총 1위 탈환에… SK하이닉스·삼성전자 오름세," 엔비디아가 다음 분기 실적에 대한 긍정적인 전망을 발표하면서 국내 반도체 대표주인 SK하이닉스와 삼성전자 주가가 오름세다. 4일 오후 1시 33분 기준 SK하이닉스(000660)는 전 거래일 대비 5.30% 상승한 21만 8500원에, 삼성전자(005930)는 1.32% 상승한 5만 7550원에 거래되고 있다. 엔비디아는 최근 중국 시장에 대한 H20 칩의 수출 제한이 없었다면 다음 분기 실적 전망치가 약 80억 달러 더 높았을 것이라고 밝힌 바 있다. 여기에 도널드 트럼프 미국 대통령과 시진핑 중국 국가주석이 정상 회담을 가질 예정이라는 소식이 더해지면서 엔비디아 주가가 상승 마감했다. 엔비디아는 이날 전날보다 2.8% 오른 141.22달러로 마감했다. 이에 따라 마이크로소프트(MS)를 제치고 4개월 여 만에 다시 시가총액 세계 1위에 올라서게 됐다. 서희원 기자 shw@etnews.com",2025. 6. 4. 13:38,http://v.daum.net/v/20250604133804367
"삼성전자, '울트라'급 고성능 갖춘 갤 폴드7 다음달 출시"," 삼성전자가 다음 달 초 갤럭시 S 시리즈 최상위 모델인 '울트라'급 성능을 갖춘 폴더블폰을 내놓는다. 삼성전자는 4일 뉴스룸에 올린 '울트라 경험을 펼치다'란 게시물을 통해 다음 달 출시 예정인 폴더블폰 갤럭시 Z 폴드7에 대한 일부 정보를 공개했다. 함께 게시된 영상에는 삼성 갤럭시 Z  폴드 형태의 이미지가 푸른 빛을 내며 펼쳐졌다가 다시 접히는 모습이 표현됐다. 삼성전자는 ""정밀한 하드웨어, 강력한 성능 등 사용자들이 '울트라'에 기대하는 모든 요소가 이 제품에 담겼다""고 소개했다. 삼성전자가 '울트라'를 직접 언급한 만큼 신형 폴더블폰이 대형 화면의 장점을 극대화할 수 있는 맞춤형 AI 기능을 갖췄을 것이란 분석이 나온다. 삼성전자는 ""화면을 펼치는 순간 콘텐츠 감상부터 문서 작성까지 여러 작업에 최적화한 대화면이 펼쳐진다""며 ""갤럭시 AI도 폴더블 외형(폼팩터)에 최적화됐다""고 설명했다. 이어 ""AI를 통해 메시지 송수신, 검색, 게임 등 일상적인 작업을 사용자 맞춤으로 최적화해 더 효율적일 것""이라고 덧붙였다. ""휴대성이 뛰어나다""라고도 소개했다. 삼성전자의 모바일 기기 사업을 담당하는 모바일경험(MX)사업부는 최근 폰의 두께와 무게를 줄이는 데 주력하고 있다. 업계에선 Z 폴드7을 펼쳤을 때의 두께가 3.9~4.5㎜ 수준일 것이란 관측이 나온다. 지난해 7월 나온 갤럭시 Z 폴드6(5.6㎜), 같은 해 10월에 나온 갤럭시 Z 폴드 스페셜에디션(4.9㎜)보다 9% 이상 얇아지는 것이다. 삼성전자는 다음 달 초 미국 뉴욕에서 Z 폴드·플립7 등 신제품 공개 행사(언팩)를 연다. 뉴욕에서 언팩을 진행하는 건 2022년 8월 갤럭시 Z 폴드·플립4 시리즈를 공개한 이후 3년 만이다. 황정수 기자 hjs@hankyung.com",2025. 6. 4. 14:33,http://v.daum.net/v/20250604143301851
"대만 TSMC 출신 임원, 삼성전자 美 법인 파운드리 사업부 입사"," 삼성전자가 파운드리 업계 1위인 대만 TSMC 출신 임원을 파운드리 사업부에 영입한 것으로 나타났다. 2일 업계에 따르면 마거릿 한 전 NXP반도체 글로벌 구매·조달 부문 부사장은 지난 3월부터 삼성전자 미주법인(DSA)의 파운드리 부문 총괄 부사장급 임원으로 근무 중이다. 한 신임 부사장은 국립대만대학교를 나와 대만의 반도체 업체인 윈본드에서 경력을 시작했고, TSMC에서 2000년부터 2021년까지 21년간 북미 비즈니스와 고객 대응을 이끌었다. 이후 인텔, NXP반도체 등 글로벌 반도체 기업을 거쳐, 최근 삼성전자에 입사했다. - Copyright ⓒ 조선비즈 & Chosun.com -",2025. 6. 3. 17:12,http://v.daum.net/v/20250603171239966
