title,content,date,url
"가톨릭중앙의료원, 차세대 의료정보 시스템 개발","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단 인공지능뇌과학사업단의 고태훈 교수(가톨릭대학교 의과대학 의료정보학교실)와 공동 연구팀이 개인의 건강 정보(PHR, Personal Health Record)를 더욱 안전하고 효율적으로 관리할 수 있는 새로운 시스템을 개발했다. 이번 연구는 기존 방식보다 개인정보를 더 철저히 보호하면서도 병원 간의 정보 공유는 빠르게 이루어질 수 있도록 설계된 ‘탈중앙화’ 기반의 건강정보 시스템을 제안했다는 점에서 의료정보 기술의 실질적인 기술적 대안을 제시한 성과로 평가받고 있다. 현재 우리가 병원에서 진료를 받으면, 그 기록은 각 병원의 전산시스템에 저장된다. 이처럼 건강 정보는 주로 병원이나 기관에서 관리하고 있어, 병원이 다르면 기록을 옮기기도 어렵고, 해킹 등의 보안 위협에도 상대적으로 취약하다.  고태훈 교수 연구팀은 이러한 문제를 해결하기 위해, 건강 정보를 병원이 아니라 개인이 직접 저장하고, 필요할 때만 안전하게 제공할 수 있는 새로운 시스템을 설계했다. 연구팀은 이 시스템을 ‘자기 주권형(Self-Sovereign) 건강 정보 시스템’이라고 부른다. 자기 주권형이란 말 그대로 자신의 정보를 자신이 직접 통제할 수 있는 구조를 뜻한다. 연구팀은 이 시스템을 만들기 위해 두 가지 핵심 기술을 활용했다. 하나는 개인 데이터 저장소(PDS, Personal Data Store)이고, 다른 하나는 탈중앙 신원 인증 기술(DID, Decentralized Identifier)이다. PDS는 각 개인이 자신의 건강 정보를 스마트폰이나 클라우드 저장소 등에 직접 보관할 수 있도록 한다. 병원이 아닌 개인 중심의 저장 방식으로 바뀌는 것이다. 그리고 DID 기술은 정보를 주고받을 때 신원 인증을 탈중앙화 방식으로 안전하게 처리하는 기술이다. 기존의 병원이 인증기관을 거쳐야만 정보를 확인할 수 있었다면, DID를 사용하면 개인 인증서 하나로 본인임을 증명하고, 병원 간에도 안전하게 정보를 공유할 수 있게 된다. 이 시스템은 단순히 이론적인 설계에 그치지 않고, 실제로 작동할 수 있도록 구현되었다. 사용자는 DID 기반 디지털 인증서를 통해 본인의 건강정보 접근 권한을 관리할 수 있으며, 동적으로 바뀌는 접근 키(Access Key)를 활용해 타인이 정보를 보려면 본인의 승인 없이는 접근할 수 없게 되어 있다. 또한, 정보 제공 시에는 자동으로 개인정보를 식별할 수 없게 처리하는 ‘비식별화 기술’도 함께 적용되어, 꼭 필요한 정보만 보호된 형태로 제공된다. 이러한 기술을 통해, 사용자는 자신의 건강 정보를 능동적으로 관리할 수 있고, 병원 간 협진이나 전원의 경우에도 신속하고 정확한 정보 공유가 가능해진다. 특히 만성질환자, 고령자, 다빈도 병원 이용자 등에게 큰 도움이 될 것으로 기대된다. 이번 연구를 주도한 고태훈 교수는 “디지털 헬스케어 시대를 맞이하면서, 환자가 단순한 의료의 수혜자가 아니라 의료정보의 주체가 되어야 한다는 인식이 점차 확산되고 있다”라며, “이번 연구는 이러한 변화의 흐름에 맞춰, 의료정보를 안전하고 스마트하게 관리할 수 있는 실질적인 기술적 대안을 제시했다는 점에서 의미가 있다”라고 밝혔다. 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단의 지원으로 진행된 이번 연구는 생명정보학 분야 SCIE 저널 Computational and Structural Biotechnology Journal (IF: 6.0) 1월호(Vol. 28)에 게재되었고, 단순한 기술 개발을 넘어, 미래형 의료 데이터 생태계의 방향성을 제시한다는 점에서 주목된다. 의료기관 중심의 관리에서 환자 중심의 관리로 변화하는 흐름 속에서, 고태훈 교수팀의 연구는 기술적 가능성과 실용성을 동시에 입증했다. 앞으로 이 시스템이 실제 진료 현장에 적용된다면, 환자는 자신의 건강 정보를 보다 투명하고 안전하게 활용할 수 있으며, 의료기관 간의 정보 연계도 한층 원활해질 것으로 기대된다. 이순용 (sylee@edaily.co.kr)",2025-04-24,http://v.daum.net/v/20250424113348515
"""줄기세포 활용 3D 연골 세포, 골관절염 환자에 첫 투여 성공"""," (서울=연합뉴스) 고미혜 기자 = 줄기세포를 활용해 만든 3차원(3D) 연골 세포치료제를 골관절염 환자에게 처음 투여해 안정성을 입증했다고 가톨릭대 가톨릭중앙의료원이 12일 밝혔다. 가톨릭중앙의료원 첨단세포치료사업단의 주지현 교수 연구팀은 지난달 17일과 30일 2명의 골관절염 환자에게 유도만능줄기세포(iPSC)에서 유래한 3D 연골세포를 관절강에 직접 주사했다. 환자들 모두 특별한 이상 반응 없이 시술을 잘 마쳤고, 염증이나 통증과 같은 부작용도 나타나지 않았다고 의료원은 전했다. 유도만능줄기세포는 성인의 피부나 혈액 세포처럼 이미 정해진 역할을 가진 세포를 다시 초기 상태로 되돌려 어떤 세포로든 자라날 수 있도록 만든 줄기세포다. 연구진은 이 유도만능줄기세포를 이용해 연골 세포를 만들고, 3차원 구조로 가공해 주사제 형태로 개발했다. 이 주사제를 면역세포가 잘 침투하지 못하는 관절강에 투여해 이식된 세포가 비교적 안전하게 자리 잡을 수 있게 했다. 골관절염은 연골이 닳아 관절통과 움직임 제한이 생기는 대표적 퇴행성 질환이다. 현재는 증상을 완화하는 치료법이 대부분이며 연골을 재생시키는 치료법은 매우 제한적이라고 연구진은 설명했다. 의료원 측은 ""이번 치료는 국내 첫 사례이자 세계적으로도 유례를 찾기 어려운 시도""라며 ""단순한 증상 완화를 넘어 손상된 연골 자체를 줄기세포로 대체하거나 재생시키는 방향으로 나아갔다는 점에서 의의가 크다""고 말했다. 주 교수는 ""장기적인 추적 관찰을 통해 치료 효과와 안전성을 면밀하게 입증할 계획""이라며 ""특히 면역 거부 반응 없이 치료가 가능하다는 점은 줄기세포 치료의 상용화에 있어서 매우 중요한 전환점""이라고 강조했다. mihye@yna.co.kr ▶제보는 카톡 okjebo",2025-05-12,http://v.daum.net/v/20250512103014293
"가톨릭중앙의료원, 캄보디아 의료봉사 진행","가톨릭대학교 가톨릭중앙의료원은 지난 3월 23일부터 27일까지 캄보디아 프놈펜에 위치한 '코미소 클리닉'에서 해외 의료봉사 활동을 진행했다고 4일 밝혔다. 코미소 클리닉은 천주교 한국외방선교회가 캄보디아 현지에서 운영하는 의료기관으로, 학교법인 가톨릭학원의 지원을 받아 2022년에 신축 이전했다. 이곳에서는 의료 혜택을 받기 어려운 현지 주민들에게 지속적인 의료 서비스를 제공하고 있다.  이번 해외 의료봉사는 가톨릭중앙의료원의 사회공헌 조직인 '가톨릭메디컬엔젤스(CMA)'가 주관했으며, 가톨릭중앙의료원 산하 병원의 의료진과 교직원 20명이 함께했다. 내과, 외과, 소아청소년과의 진료과목을 중심으로 총 789명의 환자가 의료 서비스를 받았다. 특히 환자 상태에 맞춘 초음파·엑스레이 검사, 간단한 외과적 시술로 현지 주민 건강 개선과 회복을 도왔다. 가톨릭중앙의료원 의료진은 현지 의료진을 대상으로 의료 검사와 판독 교육도 진행했다. 의료 사각지대에 놓인 아동·청소년들을 위해 학용품을 지원하는 나눔 활동도 함께 진행했다. 이화성 의무부총장 겸 의료원장은 “가톨릭 영성을 바탕으로 사랑과 나눔을 실천하기 위해 의료 사각지대에 있는 이들에게 실질적인 도움을 주는 데 앞장설 것”이라며 “가톨릭메디컬엔젤스를 통해 국내뿐만 아니라 해외의 어려운 이웃들에게도 선진 의료 기술과 생명 존중의 가치를 지속적으로 전파하겠다”고 말했다. 가톨릭중앙의료원의 사회공헌 전담기구인 가톨릭메디컬엔젤스는 포천의 예리고 클리닉에서 매월 외국인 주민을 대상으로 의료봉사를 실시하며, 해외 저소득층과 노숙자들을 위한 '의류 기부 캠페인'도 진행 중이다. 정용철 기자 jungyc@etnews.com",2025-04-04,http://v.daum.net/v/20250404094405565
"가톨릭중앙의료원, 산불 피해 이재민 돕기 위한 사랑나눔 실천","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원(이화성 의무부총장 겸 의료원장)이 최근 전국에 발생한 대규모 산불로 어려움을 겪고 있는 이재민을 돕기 위해 구호 성금 1천만 원을 기부했다. 이번 기부는 갑작스러운 재난으로 삶의 터전을 잃은 이재민들이 하루빨리 일상으로 돌아갈 수 있도록 돕기 위한 사회공헌활동의 일환이다. 가톨릭중앙의료원 가톨릭메디컬엔젤스(Catholic Medical Angels)는 천주교 안동교구를 통해 성금을 전달하고, 향후 피해 지역의 복구 상황에 따라 추가적인 지원을 진행할 계획이다. 가톨릭중앙의료원은 단순한 의료기관을 넘어, 사회적 책임을 실천하는 의료기관으로서 다양한 사회공헌활동을 펼쳐왔다. 특히 가톨릭메디컬엔젤스는 ‘생명존중’과 ‘인간사랑’이라는 가톨릭 정신을 바탕으로 설립된 조직으로, 자연재해와 같은 긴급 재난 상황에서 신속한 지원을 통해 도움이 필요한 이들에게 따뜻한 손길을 내밀고 있다. 이번 기부는 단순한 금전적 지원을 넘어, 힘든 시기를 함께 견디고 극복하겠다는 연대의 의미를 담고 있다. 앞으로도 가톨릭중앙의료원은 피해 지역의 복구가 완료될 때까지 지속적인 관심을 가지고 필요한 지원 방안을 모색할 예정이다. 또한, 장기적인 재난 대응체계를 구축하여 언제 어디서든 도움이 필요한 곳에 신속하게 지원할 수 있도록 할 계획이다. 가톨릭메디컬엔젤스는 이번 기부 외에도 2023년 강릉 산불 피해 지원, 2022년 울진 산불 피해 복구 지원 등 재난 대응 활동을 지속적으로 펼쳐왔다. 또한 의료 취약계층을 위한 무료 진료, 긴급 의료지원 활동, 해외 의료봉사 등을 통해 도움이 필요한 곳에 가톨릭 의료기관으로써의 역할을 다하고 있다. 이화성 의무부총장 겸 의료원장은 “이번 산불로 인해 많은 분들이 어려움을 겪고 있어 안타깝다”라며, “우리의 작은 나눔이 피해 지역 주민들에게 위로와 희망이 되기를 바라며, 앞으로도 가톨릭중앙의료원은 재난 발생 시 적극적인 지원활동을 이어갈 예정”이라고 밝혔다.  이순용 (sylee@edaily.co.kr)",2025-04-02,http://v.daum.net/v/20250402093148206
"가톨릭중앙의료원, 산불피해 이재민 위해 성금 1000만원 전달"," (서울=뉴스1) 구교운 기자 = 가톨릭중앙의료원이 산불 이재민을 돕기 위해 성금을 기부했다. 가톨릭중앙의료원은 천주교 안동교구를 통해 성금 1000만 원을 전달했다고 2일 밝혔다. 향후 피해 지역 복구 상황에 따라 추가적 지원을 진행한다는 계획이다. 가톨릭중앙의료원은 피해 지역의 복구가 완료될 때까지 지속적인 관심을 가지고 필요한 지원 방안을 모색할 예정이다. 또 장기적인 재난 대응체계를 구축해 언제 어디서든 도움이 필요한 곳에 신속하게 지원할 수 있도록 할 계획이다. 가톨릭중앙의료원은 이번 기부 외에도 지난 2023년 강릉 산불 피해 지원, 2022년 울진 산불 피해 복구 지원 등 재난 대응 활동을 지속해서 펼쳐왔다. 의료 취약계층을 위한 무료 진료, 긴급 의료지원 활동, 해외 의료봉사도 펼치고 있다. 이화성 의무부총장 겸 의료원장은 ""이번 산불로 인해 많은 분이 어려움을 겪고 있어 안타깝다""며 ""우리의 작은 나눔이 피해 지역 주민들에게 위로와 희망이 되기를 바라며 앞으로도 재난 발생 시 적극적인 지원활동을 이어갈 예정""이라고 말했다. kukoo@news1.kr",2025-04-02,http://v.daum.net/v/20250402145628186
"가톨릭중앙의료원, 교직원 가족 동반 진료봉사 펼쳐","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원(의무부총장 겸 의료원장 이화성 교수)이 최근 천주교 춘천교구에서 운영하는 무료 진료소인 ‘예리코 클리닉’과 ‘솔모루이주사목센터’에서 교직원 가족 동반 자원봉사를 진행했다. 이번 봉사활동은 가톨릭중앙의료원의 사회공헌 전담 기구인 ‘가톨릭메디컬엔젤스’를 통해 진행되었고, 가톨릭중앙의료원 및 산하 직할 병원 교직원들과 가톨릭대학교 성의교정 학생 등 17명의 봉사자가 참여했다. ‘가톨릭메디컬엔젤스’는 사회공헌활동을 통해 ‘생명존중’과 ‘인간사랑’이라는 가톨릭다움의 가치를 구현하는 부서로서 국내뿐 아니라 해외 의료지원 등 다양한 분야에서 체계적인 실행 지원, 병원별 연계를 통한 시너지를 창출하고 있다. 올해 3월까지 24회차를 맞은 포천시 진료 봉사활동을 통해 총 825명의 외국인 환자를 진료했고, 이번 봉사활동을 포함한 10회의 진료 봉사에서 9가족, 17명의 교직원 가족 봉사자가 가톨릭대학교 가톨릭중앙의료원의 사회공헌활동에 함께했다. ‘가톨릭메디컬엔젤스’는 차기 의료봉사 활동에 함께할 교직원 가족을 모집하고 있다. 포천시 솔모루 사목센터에서 진행되는 외국인 주민 대상 진료 봉사의 보조역할로, 자원봉사를 희망하는 가톨릭대학교 가톨릭중앙의료원, 가톨릭대학교 성의교정, 가톨릭대학교 의생명산업연구원 및 가톨릭대학교 정보융합진흥원 소속 교직원은 누구나 가족 단위로 신청할 수 있다. 또한 활동에 참여한 봉사자들은 서초구자원봉사센터와 연계한 1365자원봉사 포털을 통하여 봉사활동 시간(4시간)도 인증받을 수 있다. 이번 봉사활동에 참여한 가톨릭대학교 성의교정 연구지원팀 김란경 사원은 “좋은 취지의 봉사를 하는 만큼 홍보가 더 많이 되었으면 좋겠다”라며, “많은 이들이 참여하여 도움을 베푸는 뿌듯함을 느끼길 바란다”라고 말했다. 한편, 포천시는 경기도 내 가장 높은 비율의 외국인 인구를 보유하고나, 이들은 거리와 비용 등의 문제로 정기적인 검진이나 추가적인 의료 혜택을 지속적으로 받고 있지는 못하고 있다.  이순용 (sylee@edaily.co.kr)",2025-03-24,http://v.daum.net/v/20250324093505200
"뇌질환 인지기능 저하환자, 두개골 손상돼도 ‘전자약’ 치료 가능성 확인"," [헤럴드경제 = 김상수 기자] 두개골이 손상된 환자도 전자약의 일종인 ‘경두개직류자극’으로 치료할 수 있다는 연구결과가 국제학술지에 게재됐다. 13일 서울성모병원에 따르면, 가톨릭의대 재활의학과 서울성모병원 임성훈, 성빈센트병원 윤미정 교수 연구팀은 뇌 수술로 인한 두개골 손상 환자 5명과 뇌 수술을 받은 적이 없고 환자와 연령을 맞춘 대조군 5명을 비교 조사했다. MRI 검사영상을 분석해 디지털 뇌 모델을 만들고, 가상환경에서 경두개직류자극치료를 시뮬레이션하며 뇌피질에 영향을 주는 전기장 및 전류의 흐름을 분석했다. 연구 결과 치료 중 뇌피질에 의도하지 않은 자극을 방지하기 위해서 두개골 구멍인 버홀(burr hole)에서 60mm 떨어져 전극 위치를 조절하면 안전하고 효과적인 전기장 강도를 얻을 수 있다는 걸 확인했다. 경두개직류자극은 피부 표면(두피)에 부착된 양극과 음극 전극을 통해 미세한 직류를 흘려 뇌의 신경세포를 자극해 기능을 조절하는 일종의 신경조절술이다. 뇌기능 손상을 입은 환자에게 통증이 없고 안전한 방법으로 뇌의 특정 부위를 국소적으로 자극, 뇌기능을 향상시킬 수 있다. 뇌졸중, 외상성 뇌손상, 뇌종양 등 뇌질환 후 운동 기능이나 인지 기능이 저하된 환자가 치료대상이다. 스마트폰 대비 약 1/1000 수준에 불과한 전류량과 전자파 노출로 인체 위해성과 부작용 우려가 크지 않다. 다만, 두개골에 손상이 있는 환자엔 사용할 수 없는 한계가 있었다. 두개골 손상 보위로 전류 흐름이 변해 치료 목표점이 아닌 다른 부위에 영향을 미칠 우려가 있기 때문이다. 이번 연구 결과는 두개골 손상 환자에도 치료가 가능하다는 걸 확인했다는 점에서 의의가 크다. 이번 연구는 인공지능 기술 기반 뇌질환 솔루션 전문기업 뉴로핏의 김동현 박사, 김형택 석사, 미국 텍사스 대학의 생명공학 및 재활의학 교수(Yasin Y. Dhaher 박사)와의 공동연구로 진행됐다. 임성훈 교수는 “수술 후 버홀 부위 주변에는 두피가 움푹 들어가는 것으로 알려져 있는데, 실제로 환자의 MRI 영상 검사로 이러한 구조적 변화를 확인하고 반영해 분석했다”며 “향후 두개골 손상 환자에도 안전하고 효과적인 경두개직류자극 치료법 개발에 유용한 자료가 될 것”이라고 설명했다. 임 교수의 ‘뇌졸중에서 인공지능 소프트웨어를 이용한 신경조절치료’ 한국 연구재단 중견연구 일환이자, 가톨릭중앙의료원 기초의학사업추진단 인공지능·뇌과학사업단의 지원으로 텍사스 대학교의 연구진과 국제공동연구로 진행된 이번 연구결과는 의료정보 분야 권위있는 학술지(Computers in Biology and Medicine)에 최근 게재됐다. ",2025-05-13,http://v.daum.net/v/20250513101532893
"은평성모병원 신영철 총무팀장, 정부 포상 ‘산업포장’ 수상"," 근로자의 날 정부 포상은 노동의 가치를 높이고 근로자의 삶의 질 향상과 건전한 노사문화 조성에 기여한 근로자에게 수여하는 권위 있는 상이다. 신영철 팀장은 1995년 가톨릭대 성의교정 입사 이후 지난 30여 년간 서울성모병원, 여의도성모병원, 은평성모병원 등 가톨릭중앙의료원 산하 기관에서 탁월한 업무 성과를 거두며 조직 발전에 크게 기여했다. 특히, 2019년 성바오로병원에서 은평성모병원으로의 병원 이전 업무를 실무적으로 총괄하며, 큰 사고와 민원 없이 업무를 완수했다. 2020년 코로나19 초기에는 감염 예방을 위한 병원 출입 통제, CCTV를 활용한 철저한 동선 관리 등 효과적인 방역 대책을 수립하여 추가 확산을 차단했다. 또한 인사팀장 재직 시기에는 다수의 사회복지단체와 협력하여 장애인 고용률 100% 이상을 수년간 초과 달성하며 사회적 책임을 실천해 왔다. 아울러 병원의 안정적인 인력 운영과 근로자의 휴게 환경 개선, 필수 유지 업무 협정 체결 등으로 직원 권익 보호와 상생의 노사문화 구축에도 크게 공헌했다. 신영철 총무팀장은 “영광스러운 상을 받게 되어 매우 뜻깊게 생각하며 큰 책임감을 느낀다”며 “열린 소통과 신뢰를 바탕으로 모든 직원이 행복하게 근무할 수 있는 조직문화 조성에 최선을 다하겠다”고 말했다. 한편, 은평성모병원은 2019년 개원 이래 환자 중심의 의료서비스를 제공하고, 지역사회와의 상생 협력을 통해 모범적 의료기관으로 자리 잡고 있으며 앞으로도 지역사회의 건강 증진과 사회적 책임을 다하기 위해 노력할 계획이다.",2025-05-14,http://v.daum.net/v/20250514102953132
"""전자약 '경두개직류자극', 두개골 손상 환자도 치료 가능"""," [스포츠조선 장종호 기자] 전자약의 일종인 '경두개직류자극'으로 두개골이 손상된 환자도 치료할 수 있다는 연구결과가 국제학술지에 게재됐다. 신경조절치료로 사용되는 경두개직류자극(tDCS,transcranial Direct Current Stimulation)치료는 외상 및 수술 등 사유로 인해 두개골에 손상이 있는 환자는 사용할 수 없는 제한점이 있었다. 해당 치료는 두피에 전극을 부착해 전류 저항성이 높은 두개골을 통과하면서 분산되어 원하는 부위에 자극을 도달시키는 방식이나, 두개골 손상이 있는 경우 손상 부위로 전류의 흐름이 변하게 되어 치료 목표점이 아닌 다른 부위에 영향을 미칠 우려가 있었기 때문이다. 이런 가운데 가톨릭의대 재활의학과 서울성모병원 임성훈(공동교신저자), 성빈센트병원 윤미정(제1저자) 교수 연구팀은 뇌 수술로 인한 두개골 손상 환자 5명과, 뇌 수술을 받은 적이 없고 환자와 연령을 맞춘 대조군 5명을 비교 조사했다. 인공지능 기술 기반 뇌질환 솔루션 전문기업 뉴로핏의 김동현 박사(공동교신저자), 김형택 석사, 미국 텍사스 대학의 생명공학 및 재활의학 교수인 Yasin Y. Dhaher 박사와의 공동연구다. MRI 검사영상을 분석해 디지털 뇌 모델을 만들고, 가상환경에서 경두개직류자극치료를 시뮬레이션하며 뇌피질에 영향을 주는 전기장 및 전류의 흐름을 분석했다. 연구 결과 치료 중 뇌피질에 의도하지 않은 자극을 방지하기 위해서 두개골 구멍인 버홀(burr hole)에서 60㎜ 떨어져 전극 위치를 조절하면 안전하고 효과적인 전기장 강도를 얻을 수 있음을 확인했다. 경두개직류자극은 피부 표면(두피)에 부착된 양극과 음극 전극을 통해 미세한 직류를 흘려 뇌의 신경세포를 자극해 기능을 조절하는 일종의 신경조절술이다. 우선적으로는 자극 부위 근처의 신경세포 활동을 조절하지만, 서로 연결된 네트워크를 형성하는 신경세포 특성을 활용해 뇌 내부의 신경회로까지 영향을 주는 원리로 치료를 진행한다. 뇌기능 손상을 입은 환자에게 통증이 없고 안전한 방법으로 뇌의 특정 부위를 국소적으로 자극해 뇌기능을 향상시킨다. 뇌졸중, 외상성 뇌손상, 뇌종양 등 뇌질환 후 운동 기능이나 인지 기능이 저하된 환자가 치료대상이다. 이 치료법은 비침습적이고 스마트폰 대비 약 1/1000 수준에 불과한 전류량(최대 2mA)과 전자파(약 0.001W/kg) 노출로 인체 위해성과 부작용 우려가 크지 않다. 하지만 뇌출혈로 인한 혈종을 제거하기 위해 두개골에 구멍을 뚫어 혈액을 배액하는 버홀 수술 환자처럼 두개골이 손상된 환자의 경우에는 치료가 금기로 여겨져 왔다. 임성훈 교수는 ""수술 후 버홀 부위 주변에는 두피가 움푹 들어가는 것으로 알려져 있는데, 실제로 환자의 MRI 영상 검사로 이러한 구조적 변화를 확인하고 반영해 분석했다""며 ""향후 두개골 손상 환자에도 안전하고 효과적인 경두개직류자극 치료법 개발에 유용한 자료가 될 것""이라고 연구 의의를 설명했다. 임성훈 교수의 '뇌졸중에서 인공지능 소프트웨어를 이용한 신경조절치료' 한국 연구재단 중견연구 일환이자, 가톨릭중앙의료원 기초의학사업추진단 인공지능-뇌과학사업단의 지원으로 텍사스 대학교의 연구진과 국제공동연구로 진행된 이번 연구결과는 의료정보 분야 권위있는 학술지인 'Computers in Biology and Medicine'에 최근 게재됐다. 장종호 기자 bellho@sportschosun.com ",2025-05-13,http://v.daum.net/v/20250513095111771
"""나는 왜 잠이 많을까?"" 기면병이 뭐길래?","기면병은 어떤 병일까? 이름은 들어봤어도 제대로 아는 사람은 드물다. 걷다가도 픽 쓰러져 잠들어야 기면병일까? 점심 먹고 스르륵 눈이 감기는 나도 기면병일까? 미디어에서도 종종 기면병이 언급되지만, 정확한 정보를 찾기는 어렵다. 그렇기 때문에 기면병 환자들이 증상을 빨리 인지해 게으르다는 오명을 벗고 제대로 된 치료를 받기 위해서는 우선 기면병에 대한 올바른 인식이 확산되는 것이 중요하다. 기면병은 갑자기 졸음이 쏟아지는 수면발작과 심각한 낮졸림증을 특징으로 하는 희귀한 수면 질환이다. 기면병의 진단이 늦어지는 것을 막기 위해 더 많은 환자와 보호자, 의사가 기면병에 대해 아는 것이 중요하다. 이런 가운데 가톨릭대학교 성빈센트병원 정신건강의학과 홍승철 교수가 기면병에 대한 이해를 높이고, 환자와 가족이 함께 대처할 수 있는 방법을 제시한 '나는 왜 졸릴까?'를 발간했다. 지난 3년간의 집필 준비 끝에 책을 발간한 홍 교수는 ""가톨릭중앙의료원 김예영 수련의가 발간에 참여했다. 또한 책을 집필하는데 이한 한국 기면병 환우 협회 회장의 커다란 도움이 있었으며, 이성필 가톨릭대학교 명예교수, 정석훈 울산대학교 아산병원 정신건강의학과 교수, 염태영 국회의원, 이한 기면병 환우협회 회장께서 추천사를 써 주었다""고 전했다. 책을 쓰게 된 동기에 대해 홍 교수는 지난 25년간 낮졸림증으로 수면 클리닉을 찾는 수많은 기면병 환자와 낮졸림증을 호소하는 다양한 수면장애 환자를 보면서 얻은 경험과 지식을 공유하는 의미도 있지만, 사회적으로 인식이 부족한 낮졸림증 증상과 기면병에 대해 널리 알리는 것이 필요하다는 생각에 책을 쓰게 되었다고 설명했다. 낮졸림증 증상이 심하게 나타나는 대표적인 수면장애인 기면병은 10대에 주로 발병을 하고 국내에 약 2만 명 정도로 추산되지만 현재 1만 명 이하로 진단을 받은 상태로, 아직 이것이 병인지 모르고 진단받지 못한 기면병 환자분들이 전체 환자의 반 이상으로 추정되고 있어 병을 알리는 것이 진단하고 치료하는 것만큼이나 중요한 일이 되었다고 홍 교수는 덧붙였다. 책에서는 낮졸림증을 일으키는 수면장애로 기면병 외에 특발성 과다수면증, 폐쇄성 수면무호흡증, 클라인레빈 증후군 등에 대한 소개를 하고 기면병의 진단과 원인, 치료, 사회적 제도 등에 대해 자세히 기술을 한다. 환자들의 다양한 사례와 환자가 직접 작성한 수기를 책자에 실어서 환자들의 증상과 일상의 어려움을 생생하게 전달하는 것도 이 책만의 특징일 것이다. 또한 환자들이 진단과 치료를 받으면서 궁금해하는 질문들에 대한 답을 작성하는 질의응답 챕터를 통해 다양한 궁금증에 대한 해답들도 제시돼 있다. 아울러 낮졸림증이 있는 사람들에게 자기 자신의 낮졸림증의 원인을 파악할 수 있도록 도와줌은 물론, 낮졸림증을 일으키는 수면질환들에 대한 사례를 통해 증상과 치료에 대해 잘 설명해 주고 있다. 또한 기면병의 발생기전을 자세히 설명해 전체적인 수면 메커니즘을 이해할 수 있도록 도와 수면의학의 입문서로 충분한 역할을 할 것으로 기대된다. 홍 교수는 ""이 책을 통해 낮에 졸린 많은 분들이 적절한 치료를 받게 되기를 기대하고, 아직도 진단을 받지 못하고 있는 많은 기면병 환자분들 또한 빨리 진단을 받고 치료를 받게 되기를 바란다""면서 ""기면병 환자분들의 일상의 어려움이 환자수기에 생생하게 나타나 있는데, 심한 증상으로 일상생활의 어려움을 겪는 환자분들에게 사회적 지지와 이해가 함께 하기를 바란다""고 밝혔다. 한편 홍승철 교수는 1992년부터 가톨릭대학교 성빈센트병원 정신건강의학과에서 진료를 하고 있으며, 1998년 미국 스탠퍼드 의대 수면클리닉과 기면병연구센터에서 연수한 것을 계기로 기면병 연구와 치료에 힘써왔다. 2017년 아시아기면병·과수면증학회의 창립을 주도하며 초대회장을 맡았고, 2015년 세계수면학회의 국내 유치 및 개최를 이끌었으며 현재는 한국수면학회 회장, 아시아수면학회 부회장을 맡고 있다. 기면병을 비롯한 수면장애에 대해 다수의 논문을 작성하며 활발한 학술 활동을 이어오고 있다. 장종호 기자 bellho@sportschosun.com ",2025-05-12,http://v.daum.net/v/20250512173240862
