name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
SK하이닉스,182000,182900,179100,180800,-1200,-0.66%,1851551,25.04.29
SK하이닉스,183500,183900,179700,182000,-2400,-1.30%,2454440,25.04.28
SK하이닉스,182500,184900,182100,184400,6100,+3.42%,3413222,25.04.25
SK하이닉스,182800,183400,177600,178300,-2700,-1.49%,3149026,25.04.24
SK하이닉스,179100,181600,178100,181000,7200,+4.14%,3745347,25.04.23
SK하이닉스,175000,175500,173300,173800,-2800,-1.59%,2002542,25.04.22
SK하이닉스,174800,180000,174500,176600,1600,+0.91%,1819055,25.04.21
SK하이닉스,174000,175500,172800,175000,-0,0.00%,1304677,25.04.18
SK하이닉스,172100,175400,171800,175000,1000,+0.57%,2986932,25.04.17
SK하이닉스,176500,177500,173500,174000,-6600,-3.65%,2930407,25.04.16
SK하이닉스,180200,182400,179700,180600,400,+0.22%,1887663,25.04.15
SK하이닉스,182900,184400,178000,180200,-600,-0.33%,3445599,25.04.14
SK하이닉스,177800,181800,176100,180800,-2400,-1.31%,3206784,25.04.11
SK하이닉스,189700,189900,180000,183200,18200,+11.03%,7832318,25.04.10
SK하이닉스,170000,170000,162700,165000,-4500,-2.65%,5908245,25.04.09
SK하이닉스,172000,173100,168200,169500,4700,+2.85%,4947180,25.04.08
SK하이닉스,168000,172800,164800,164800,-17400,-9.55%,7842468,25.04.07
SK하이닉스,187900,189600,178400,182200,-12400,-6.37%,9169244,25.04.04
SK하이닉스,189600,194600,188200,194600,-3300,-1.67%,4156940,25.04.03
SK하이닉스,198800,201500,197300,197900,900,+0.46%,2723930,25.04.02
