title,content,date,url
"가톨릭중앙의료원, 차세대 의료정보 시스템 개발","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단 인공지능뇌과학사업단의 고태훈 교수(가톨릭대학교 의과대학 의료정보학교실)와 공동 연구팀이 개인의 건강 정보(PHR, Personal Health Record)를 더욱 안전하고 효율적으로 관리할 수 있는 새로운 시스템을 개발했다. 이번 연구는 기존 방식보다 개인정보를 더 철저히 보호하면서도 병원 간의 정보 공유는 빠르게 이루어질 수 있도록 설계된 ‘탈중앙화’ 기반의 건강정보 시스템을 제안했다는 점에서 의료정보 기술의 실질적인 기술적 대안을 제시한 성과로 평가받고 있다. 현재 우리가 병원에서 진료를 받으면, 그 기록은 각 병원의 전산시스템에 저장된다. 이처럼 건강 정보는 주로 병원이나 기관에서 관리하고 있어, 병원이 다르면 기록을 옮기기도 어렵고, 해킹 등의 보안 위협에도 상대적으로 취약하다.  고태훈 교수 연구팀은 이러한 문제를 해결하기 위해, 건강 정보를 병원이 아니라 개인이 직접 저장하고, 필요할 때만 안전하게 제공할 수 있는 새로운 시스템을 설계했다. 연구팀은 이 시스템을 ‘자기 주권형(Self-Sovereign) 건강 정보 시스템’이라고 부른다. 자기 주권형이란 말 그대로 자신의 정보를 자신이 직접 통제할 수 있는 구조를 뜻한다. 연구팀은 이 시스템을 만들기 위해 두 가지 핵심 기술을 활용했다. 하나는 개인 데이터 저장소(PDS, Personal Data Store)이고, 다른 하나는 탈중앙 신원 인증 기술(DID, Decentralized Identifier)이다. PDS는 각 개인이 자신의 건강 정보를 스마트폰이나 클라우드 저장소 등에 직접 보관할 수 있도록 한다. 병원이 아닌 개인 중심의 저장 방식으로 바뀌는 것이다. 그리고 DID 기술은 정보를 주고받을 때 신원 인증을 탈중앙화 방식으로 안전하게 처리하는 기술이다. 기존의 병원이 인증기관을 거쳐야만 정보를 확인할 수 있었다면, DID를 사용하면 개인 인증서 하나로 본인임을 증명하고, 병원 간에도 안전하게 정보를 공유할 수 있게 된다. 이 시스템은 단순히 이론적인 설계에 그치지 않고, 실제로 작동할 수 있도록 구현되었다. 사용자는 DID 기반 디지털 인증서를 통해 본인의 건강정보 접근 권한을 관리할 수 있으며, 동적으로 바뀌는 접근 키(Access Key)를 활용해 타인이 정보를 보려면 본인의 승인 없이는 접근할 수 없게 되어 있다. 또한, 정보 제공 시에는 자동으로 개인정보를 식별할 수 없게 처리하는 ‘비식별화 기술’도 함께 적용되어, 꼭 필요한 정보만 보호된 형태로 제공된다. 이러한 기술을 통해, 사용자는 자신의 건강 정보를 능동적으로 관리할 수 있고, 병원 간 협진이나 전원의 경우에도 신속하고 정확한 정보 공유가 가능해진다. 특히 만성질환자, 고령자, 다빈도 병원 이용자 등에게 큰 도움이 될 것으로 기대된다. 이번 연구를 주도한 고태훈 교수는 “디지털 헬스케어 시대를 맞이하면서, 환자가 단순한 의료의 수혜자가 아니라 의료정보의 주체가 되어야 한다는 인식이 점차 확산되고 있다”라며, “이번 연구는 이러한 변화의 흐름에 맞춰, 의료정보를 안전하고 스마트하게 관리할 수 있는 실질적인 기술적 대안을 제시했다는 점에서 의미가 있다”라고 밝혔다. 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단의 지원으로 진행된 이번 연구는 생명정보학 분야 SCIE 저널 Computational and Structural Biotechnology Journal (IF: 6.0) 1월호(Vol. 28)에 게재되었고, 단순한 기술 개발을 넘어, 미래형 의료 데이터 생태계의 방향성을 제시한다는 점에서 주목된다. 의료기관 중심의 관리에서 환자 중심의 관리로 변화하는 흐름 속에서, 고태훈 교수팀의 연구는 기술적 가능성과 실용성을 동시에 입증했다. 앞으로 이 시스템이 실제 진료 현장에 적용된다면, 환자는 자신의 건강 정보를 보다 투명하고 안전하게 활용할 수 있으며, 의료기관 간의 정보 연계도 한층 원활해질 것으로 기대된다. 이순용 (sylee@edaily.co.kr)",2025. 4. 24. 11:33,http://v.daum.net/v/20250424113348515
"가톨릭중앙의료원, 캄보디아 의료봉사 진행","가톨릭대학교 가톨릭중앙의료원은 지난 3월 23일부터 27일까지 캄보디아 프놈펜에 위치한 '코미소 클리닉'에서 해외 의료봉사 활동을 진행했다고 4일 밝혔다. 코미소 클리닉은 천주교 한국외방선교회가 캄보디아 현지에서 운영하는 의료기관으로, 학교법인 가톨릭학원의 지원을 받아 2022년에 신축 이전했다. 이곳에서는 의료 혜택을 받기 어려운 현지 주민들에게 지속적인 의료 서비스를 제공하고 있다.  이번 해외 의료봉사는 가톨릭중앙의료원의 사회공헌 조직인 '가톨릭메디컬엔젤스(CMA)'가 주관했으며, 가톨릭중앙의료원 산하 병원의 의료진과 교직원 20명이 함께했다. 내과, 외과, 소아청소년과의 진료과목을 중심으로 총 789명의 환자가 의료 서비스를 받았다. 특히 환자 상태에 맞춘 초음파·엑스레이 검사, 간단한 외과적 시술로 현지 주민 건강 개선과 회복을 도왔다. 가톨릭중앙의료원 의료진은 현지 의료진을 대상으로 의료 검사와 판독 교육도 진행했다. 의료 사각지대에 놓인 아동·청소년들을 위해 학용품을 지원하는 나눔 활동도 함께 진행했다. 이화성 의무부총장 겸 의료원장은 “가톨릭 영성을 바탕으로 사랑과 나눔을 실천하기 위해 의료 사각지대에 있는 이들에게 실질적인 도움을 주는 데 앞장설 것”이라며 “가톨릭메디컬엔젤스를 통해 국내뿐만 아니라 해외의 어려운 이웃들에게도 선진 의료 기술과 생명 존중의 가치를 지속적으로 전파하겠다”고 말했다. 가톨릭중앙의료원의 사회공헌 전담기구인 가톨릭메디컬엔젤스는 포천의 예리고 클리닉에서 매월 외국인 주민을 대상으로 의료봉사를 실시하며, 해외 저소득층과 노숙자들을 위한 '의류 기부 캠페인'도 진행 중이다. 정용철 기자 jungyc@etnews.com",2025. 4. 4. 09:44,http://v.daum.net/v/20250404094405565
"가톨릭중앙의료원, 산불 피해 이재민 돕기 위한 사랑나눔 실천","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원(이화성 의무부총장 겸 의료원장)이 최근 전국에 발생한 대규모 산불로 어려움을 겪고 있는 이재민을 돕기 위해 구호 성금 1천만 원을 기부했다. 이번 기부는 갑작스러운 재난으로 삶의 터전을 잃은 이재민들이 하루빨리 일상으로 돌아갈 수 있도록 돕기 위한 사회공헌활동의 일환이다. 가톨릭중앙의료원 가톨릭메디컬엔젤스(Catholic Medical Angels)는 천주교 안동교구를 통해 성금을 전달하고, 향후 피해 지역의 복구 상황에 따라 추가적인 지원을 진행할 계획이다. 가톨릭중앙의료원은 단순한 의료기관을 넘어, 사회적 책임을 실천하는 의료기관으로서 다양한 사회공헌활동을 펼쳐왔다. 특히 가톨릭메디컬엔젤스는 ‘생명존중’과 ‘인간사랑’이라는 가톨릭 정신을 바탕으로 설립된 조직으로, 자연재해와 같은 긴급 재난 상황에서 신속한 지원을 통해 도움이 필요한 이들에게 따뜻한 손길을 내밀고 있다. 이번 기부는 단순한 금전적 지원을 넘어, 힘든 시기를 함께 견디고 극복하겠다는 연대의 의미를 담고 있다. 앞으로도 가톨릭중앙의료원은 피해 지역의 복구가 완료될 때까지 지속적인 관심을 가지고 필요한 지원 방안을 모색할 예정이다. 또한, 장기적인 재난 대응체계를 구축하여 언제 어디서든 도움이 필요한 곳에 신속하게 지원할 수 있도록 할 계획이다. 가톨릭메디컬엔젤스는 이번 기부 외에도 2023년 강릉 산불 피해 지원, 2022년 울진 산불 피해 복구 지원 등 재난 대응 활동을 지속적으로 펼쳐왔다. 또한 의료 취약계층을 위한 무료 진료, 긴급 의료지원 활동, 해외 의료봉사 등을 통해 도움이 필요한 곳에 가톨릭 의료기관으로써의 역할을 다하고 있다. 이화성 의무부총장 겸 의료원장은 “이번 산불로 인해 많은 분들이 어려움을 겪고 있어 안타깝다”라며, “우리의 작은 나눔이 피해 지역 주민들에게 위로와 희망이 되기를 바라며, 앞으로도 가톨릭중앙의료원은 재난 발생 시 적극적인 지원활동을 이어갈 예정”이라고 밝혔다.  이순용 (sylee@edaily.co.kr)",2025. 4. 2. 09:31,http://v.daum.net/v/20250402093148206
"가톨릭중앙의료원, 교직원 가족 동반 진료봉사 펼쳐","[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원(의무부총장 겸 의료원장 이화성 교수)이 최근 천주교 춘천교구에서 운영하는 무료 진료소인 ‘예리코 클리닉’과 ‘솔모루이주사목센터’에서 교직원 가족 동반 자원봉사를 진행했다. 이번 봉사활동은 가톨릭중앙의료원의 사회공헌 전담 기구인 ‘가톨릭메디컬엔젤스’를 통해 진행되었고, 가톨릭중앙의료원 및 산하 직할 병원 교직원들과 가톨릭대학교 성의교정 학생 등 17명의 봉사자가 참여했다. ‘가톨릭메디컬엔젤스’는 사회공헌활동을 통해 ‘생명존중’과 ‘인간사랑’이라는 가톨릭다움의 가치를 구현하는 부서로서 국내뿐 아니라 해외 의료지원 등 다양한 분야에서 체계적인 실행 지원, 병원별 연계를 통한 시너지를 창출하고 있다. 올해 3월까지 24회차를 맞은 포천시 진료 봉사활동을 통해 총 825명의 외국인 환자를 진료했고, 이번 봉사활동을 포함한 10회의 진료 봉사에서 9가족, 17명의 교직원 가족 봉사자가 가톨릭대학교 가톨릭중앙의료원의 사회공헌활동에 함께했다. ‘가톨릭메디컬엔젤스’는 차기 의료봉사 활동에 함께할 교직원 가족을 모집하고 있다. 포천시 솔모루 사목센터에서 진행되는 외국인 주민 대상 진료 봉사의 보조역할로, 자원봉사를 희망하는 가톨릭대학교 가톨릭중앙의료원, 가톨릭대학교 성의교정, 가톨릭대학교 의생명산업연구원 및 가톨릭대학교 정보융합진흥원 소속 교직원은 누구나 가족 단위로 신청할 수 있다. 또한 활동에 참여한 봉사자들은 서초구자원봉사센터와 연계한 1365자원봉사 포털을 통하여 봉사활동 시간(4시간)도 인증받을 수 있다. 이번 봉사활동에 참여한 가톨릭대학교 성의교정 연구지원팀 김란경 사원은 “좋은 취지의 봉사를 하는 만큼 홍보가 더 많이 되었으면 좋겠다”라며, “많은 이들이 참여하여 도움을 베푸는 뿌듯함을 느끼길 바란다”라고 말했다. 한편, 포천시는 경기도 내 가장 높은 비율의 외국인 인구를 보유하고나, 이들은 거리와 비용 등의 문제로 정기적인 검진이나 추가적인 의료 혜택을 지속적으로 받고 있지는 못하고 있다.  이순용 (sylee@edaily.co.kr)",2025. 3. 24. 09:35,http://v.daum.net/v/20250324093505200
"가톨릭중앙의료원, 산불피해 이재민 위해 성금 1000만원 전달"," (서울=뉴스1) 구교운 기자 = 가톨릭중앙의료원이 산불 이재민을 돕기 위해 성금을 기부했다. 가톨릭중앙의료원은 천주교 안동교구를 통해 성금 1000만 원을 전달했다고 2일 밝혔다. 향후 피해 지역 복구 상황에 따라 추가적 지원을 진행한다는 계획이다. 가톨릭중앙의료원은 피해 지역의 복구가 완료될 때까지 지속적인 관심을 가지고 필요한 지원 방안을 모색할 예정이다. 또 장기적인 재난 대응체계를 구축해 언제 어디서든 도움이 필요한 곳에 신속하게 지원할 수 있도록 할 계획이다. 가톨릭중앙의료원은 이번 기부 외에도 지난 2023년 강릉 산불 피해 지원, 2022년 울진 산불 피해 복구 지원 등 재난 대응 활동을 지속해서 펼쳐왔다. 의료 취약계층을 위한 무료 진료, 긴급 의료지원 활동, 해외 의료봉사도 펼치고 있다. 이화성 의무부총장 겸 의료원장은 ""이번 산불로 인해 많은 분이 어려움을 겪고 있어 안타깝다""며 ""우리의 작은 나눔이 피해 지역 주민들에게 위로와 희망이 되기를 바라며 앞으로도 재난 발생 시 적극적인 지원활동을 이어갈 예정""이라고 말했다. kukoo@news1.kr",2025. 4. 2. 14:56,http://v.daum.net/v/20250402145628186
[수상] 2024 대한의료정보학회 정보의학학술상에 고태훈 가톨릭중앙의료원 교수," 가톨릭중앙의료원은 고태훈 가톨릭대 의대 의료정보학교실 교수가 최근 '2024 대한의료정보학회 정보의학학술상'을 수상했다고 13일 밝혔다. 정보의학학술상은 정보의학 분야 젊은 연구자들에게 주어지는 권위 있는 상으로, 창의적인 연구아이디어와 비전을 갖춘 차세대 연구자를 격려하기 위해 제정됐다. 이 상은 대한의료정보학회에서 매년 단 한 명에게 수여하고 있다. 고 교수는 총 30편의 논문을 SCI급 학술지에 발표하는 등 뛰어난 연구 성과를 보여왔다. 특히 의료 인공지능(AI)과 데이터 2차 활용 촉진을 위한 표준화 작업을 선도했다는 평가다. 그는 현재 가톨릭중앙의료원 기초의학사업추진단 인공지능뇌과학사업단에서 임상 현장에 적용 가능한 멀티모달 인공지능 연구를 진행하고 있다. 또한 다양한 국가 프로젝트에 참여하며 의료 AI, 의료 마이데이터, 초거대언어모델을 위한 데이터셋 구축 사업도 수행 중이다. 고 교수는 ""평생에 단 한 번 받을 수 있는 학술상을 받게 돼 매우 영광""이라며 더욱 열심히 연구하고 교육에 임하겠다""고 말했다. 장자원 기자 (jang@kormedi.com)",2025. 1. 13. 14:10,http://v.daum.net/v/20250113141029145
유전자가위로 ‘면역거부 반응’ 최소화···난치병 해결 실마리 찾았다," 가톨릭대 가톨릭중앙의료원은 기초의학사업추진단 첨단세포치료사업단 소속 주지현 서울성모병원 류마티스내과 교수 연구팀이 면역거부 반응을 최소화한 '저면역원성 유니버설 유도만능줄기세포'를 개발했다고 14일 밝혔다. 줄기세포는 신체의 여러 조직으로 변할 수 있는 능력을 보유한다. 특히 피부, 혈액 등의 체세포에 특정 유전자를 도입해 만든 줄기세포의 경우 인체 내 다양한 조직으로 분화할 수 있다고 해서 '유도만능줄기세포'(iPS·induced Pluripotent Stem cell) 라고 부른다. iPS는 환자의 몸에 이식하면 면역 시스템이 이를 외부물질로 인식해 공격하는 면역 거부 반응이 발생할 수 있어, 세포 치료의 가장 큰 걸림돌로 꼽혔다. 연구팀은 최신 유전자 편집 기술인 CRISPR-Cas9 유전자가위 기술을 이용해 면역 반응을 유발하는 주요 유전자를 조작했다. 체내 면역 반응을 조절하는 '인간 백혈구 항원(HLA)' 유전자인 HLA-A, HLA-B, HLA-DR 알파(DRA)를 선택적으로 제거해 면역 반응을 최소화한 것이다. 분석에 따르면 유도만능줄기세포 클론 'Clone A7'은 세포가 정상적으로 발달할 수 있는지 확인하기 위한 핵심 마커인 Oct4, Sox2, Klf4, Lin28, SSEA4, Nanog, Tra-1-60 등이 정상적으로 발현됐다. 이는 여러 세포로 변할 수 있는 능력인 다능성이 유지된다는 의미다. 연구팀이 세포의 유전자 구성이 정상적인지를 확인하는 핵형 검사를 시행한 결과 이상 소견은 발견되지 않았다. 또 인체의 모든 조직을 구성하는 세 가지 기본 층인 외배엽, 중배엽, 내배엽으로 분화할 수 있는 능력도 확인됐다. 연구팀은 면역반응을 유도하는 단백질인 인터페론 감마를 자극했을 대도 HLA-A, HLA-B, HLA-DR 단백질이 발현되지 않아 면역 회피 특성을 입증했으며, 면역 세포가 새로 생성된 iPS 세포를 공격하지 않는다는 점도 실험을 통해 검증했다. 면역 거부 반응을 줄인 iPS는 장기이식, 난치성 질환 치료 등 다양한 의료 분야에서 활용될 수 있다. 이번 연구를 계기로 세포 치료의 한계를 극복하고 맞춤형 치료 시대를 앞당길 수 있을 것으로 기대된다. 주지현 교수는 ""동종 세포 치료에서도 면역 거부 반응을 최소화할 수 있는 가능성을 확인했다""며 ""후속 연구를 통해 임상 적용 가능성을 높이는 것이 목표""라고 밝혔다. 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단의 지원으로 진행된 이번 연구에는 입셀, 가톨릭대 유도만능줄기세포 응용연구소, 성균관대 바이오헬스규제과학과 연구진이 참여했으며 국제학술지 EMM(Experimental & Molecular Medicine) 최근호에 실렸다.",2025. 4. 15. 15:46,http://v.daum.net/v/20250415154616768
저면역원성 유니버설 유도만능줄기세포 개발,"[이데일리 이순용 기자] 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단 첨단세포치료사업단의 주지현 교수(서울성모병원 류마티스내과) 연구팀이 면역 거부 반응을 최소화한 ‘저면역원성 유니버설 유도만능줄기세포(iPS 세포)’ 개발에 성공했다. 이번 연구는 ㈜YiPSCELL의 김주련 이사, 남유준 부사장이 공동 제1저자로, ㈜YiPSCELL의 전도영 연구원, 최유진 연구원, 최선주 연구원, 홍창표 이사, 김시영 연구원, 정혜린 이사, 박나래 이사, 성균관대학교 바이오헬스규제과학과의 손여원 교수가 공동 저자, 주지현 교수 및 가톨릭대학교 유도만능줄기세포 응용 연구소의 임예리 연구교수가 공동 교신저자로 참여했다. 줄기세포는 신체의 여러 조직으로 변할 수 있는 능력을 가진 세포다. 특히, 유도만능줄기세포(iPS 세포)는 피부나 혈액 등의 체세포에 특정 유전자를 도입하여 만든 줄기세포로, 인체 내 다양한 조직으로 분화할 수 있다. 그러나 환자의 몸에 이식될 경우, 면역 시스템이 이를 외부 물질로 인식하여 공격하는 ‘면역 거부 반응’이 발생할 수 있다. 이는 세포 치료가 실질적으로 활용되는 데 있어 가장 큰 걸림돌 중 하나였다.  연구팀이 개발한 유도만능줄기세포 클론 ‘Clone A7’은 다음과 같은 특징을 보였다. ▲다능성(여러 세포로 변할 수 있는 능력) 유지 : 세포가 정상적으로 발달할 수 있는지 확인하기 위한 세포의 핵심 마커(Oct4, Sox2, Klf4, Lin28, SSEA4, Nanog, Tra-1-60)가 정상적으로 발현을 확인 ▲유전자 이상 없음 : 세포의 유전자 구성이 정상적인지 확인하는 핵형 검사(karyotyping)에서 이상이 발견되지 않음 ▲삼배엽 분화 가능성 확인 : 인체의 모든 조직을 구성하는 세 가지 기본 층(외배엽, 중배엽, 내배엽)으로 분화할 수 있는 능력을 확인함 ▲면역 회피 특성 입증 : 면역 시스템이 세포를 이물질로 인식하는지를 확인하는 실험에서, 인터페론 감마(IFN-γ, 면역 반응을 유도하는 단백질) 자극에도 불구하고 HLA-A, HLA-B, HLA-DR 단백질이 발현되지 않음 ▲면역 거부 반응 최소화 (hypoimmunogenicity) 확인 : 면역 세포가 새로 생성된 iPS 세포를 공격하지 않음을 실험을 통해 검증 이번 연구 결과는 세포 치료의 한계를 극복하고, 맞춤형 치료(cell therapy) 시대를 앞당기는 중요한 성과로 평가된다. 면역 거부 반응을 줄인 유도만능줄기세포는 장기 이식, 난치성 질환 치료 등 다양한 의료 분야에서 활용할 수 있는 가능성을 보여주었다. 주지현 교수는 “이번 연구를 통해 동종 세포 치료에서도 면역 거부 반응을 최소화할 수 있는 가능성을 확인했다”라며, “향후 후속 연구를 통해 임상 적용 가능성을 높이는 것이 목표”라고 밝혔다. 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단의 지원으로 진행된 이번 연구는 2025년 3월 국제학술지 Experimental & Molecular Medicine에 ‘Generation of hypoimmunogenic universal iPS cells through HLA-type gene knockout’라는 제목으로 발표되었고, 유도만능줄기세포 기반 치료법의 실용화를 앞당길 수 있는 중요한 이정표로 평가되며, 향후 관련 연구가 더욱 활발히 진행될 것으로 기대된다. 이순용 (sylee@edaily.co.kr)",2025. 4. 14. 09:23,http://v.daum.net/v/20250414092305677
"서울성모병원, 자가면역질환 완치 도전…난치성 루푸스 세포치료법 국내 첫 임상 시작"," [헤럴드경제 = 김상수 기자] 서울성모병원이 난치성 자가면역질환 완치에 도전한다. 40년 전 국내 최초로 류마티스 진료를 시작했던 서울성모병원이 면역항암제 중 하나인 CAR-T 세포치료제를 전신성 홍반 루푸스 환자에 국내 첫 투여하는 임상연구에 돌입했다. 류마티스센터 주지현·이봉우(류마티스내과), 혈액병원 윤재호(혈액내과) 교수팀은 표준 치료에 반응하지 않아 다른 치료 수단이 없는 40대 여성 루푸스 환자에 지난 3월 CAR-T 치료제를 투여했다. 주지현 교수는 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단(단장 민창기 교수) 산하의 첨단세포치료사업단장도 역임 중이다 . 이번 연구는 보건복지부로부터 1기 인증 연구중심병원으로 선정된 서울성모병원의 중점 연구분야 중 하나인 ‘난치성 자가면역’과 ‘세포치료’ 분야의 긴밀한 협업으로 이루어 낸 결과물이다. 2009년 임신 중 전신 부종과 단백뇨가 확인, 전신성 홍반 루푸스로 진단됐던 이 환자는 출산 후 고용량 스테로이드 및 수차례 면역억제제 치료를 시행했지만 증상이 없어지지 않았고, 오히려 부작용으로 무혈성 골괴사가 발생하기도 했다. 방치할 경우 신장 손상이 가속화돼 혈액투석이 필요한 말기신부전으로 진행될 위험이 컸다. 주치의인 주지현 교수는 최근 해외에서 CAR-T 세포제의 치료 적응증이 자가면역질환으로 확대되고 있다는 의학적 근거를 바탕으로 루푸스 환자의 치료목적 임상시험용 의약품 임상시험을 식약처에서 승인받고 진행하게 됐다. 서울성모병원 혈액병원과의 긴밀한 다학제 진료도 큰 역할을 한 것으로 알려졌다. 류마티스 질환과 혈액질환은 대상 질환군이 달라 이제까지 협진이나 공동 치료 사례는 많지 않다. 그러나 혈액병원의 다양한 CAR-T 세포 치료 경험은 루푸스 환자의 CAR-T 치료 과정에서도 큰 도움이 됐다. 3월 투여 이후 지난 14일 외래진료 결과, 환자는 급성 부작용 발생 없이 일상생활 유지가 가능했으며 면역억제제를 중단해도 루푸스 관련 지표들이 호전되는 양상을 보였다. 루푸스는 대표적인 만성 자가면역질환이다. 외부에서 침입한 병원균으로부터 몸을 지키는 면역체계가 오히려 자기 자신을 공격하면서 발생한다. 피부 발진이 늑대에 물린 자국처럼 보인다고 라틴어로 늑대라는 뜻의 루푸스가 질환명이다. 발병 원인이 정확하게 밝혀지지 않았고, 증상도 다양하다. 발생 초기는 발열, 전신 쇠약감, 우울증, 극심한 피로감, 체중 감소가 나타나고, 코 위쪽을 중심으로 나비 모양의 피부 발진이 일어나거나 손이나 손목 관절염을 앓기도 한다. 루푸스 환자 중 절반은 신장 기능 저하가 발생한다. 신장 등 주요 장기 손상을 일으킨 경우 강력한 치료가 필요하다. 약제의 단독 치료보다 병합요법이 환자의 예후에 효과적이라는 연구에 따라 적극적인 면역억제제 사용이 시작되고 있다. CAR-T 세포 치료제는 환자 혈액에서 T세포(면역세포)를 채취한 뒤 암세포의 특정 항원을 인지하는 키메릭 항원 수용체가 발현될 수 있도록 유전적으로 편집을 해 다시 환자의 몸에 주입하는 면역항암제다. 현재까지 CAR-T세포 치료제는 백혈병, 림프종 등 혈액암 치료에 적용 중이다. 최근 해외에선 기존 치료에 효과를 보이지 않는 루푸스 환자에 CAR-T 치료제를 투여, 루푸스 증상이 호전됐다는 연구결과가 발표되기도 하였다. 윤 교수는 “혈액질환에서 안전성과 유효성이 확인된 CAR-T 세포 치료법으로 만성신부전으로 악화될 수 있었던 난치성 루푸스 환자를 치료할 수 있어서 의미가 크며, 앞으로도 다학제 진료 참여로 난치성 환자의 치료를 위해 최선을 다할 것”이라고 소감을 전했다. 주 교수도 “루푸스 환자 중 일부 환자는 폐, 심장, 신장, 뇌와 같은 주요 장기에 루푸스가 침범해 생명이 위험할 수 있다”며 “이번 임상을 시작으로 기존 약제에 반응하지 않아 다른 치료 방법이 없는 난치성 루푸스 환자가 완치될 수 있도록 연구를 확대해 나갈 것”이라고 밝혔다.",2025. 4. 15. 09:39,http://v.daum.net/v/20250415093924563
"서울성모병원, CAR-T 치료로 난치성 루푸스 완치 도전"," 가톨릭대 서울성모병원이 국내 최초로 키메라 항원 수용체 T 세포(CAR-T) 치료제를 전신성 홍반 루푸스 환자에 투여하는 임상시험을 시작했다고 15일 밝혔다. 이번 치료는 기존 면역억제제에 반응하지 않는 40대 여성 환자에게 지난 3월 시행됐다. 치료 후 급성 부작용 없이 루푸스 관련 지표가 호전되는 양상을 보였다. 류마티스센터 주지현·이봉우(류마티스내과), 혈액병원 윤재호(혈액내과) 교수팀은 표준 치료에 반응하지 않아 다른 치료 수단이 없는 40대 여성 루푸스 환자에 올해 3월 CAR-T 치료제를 투여했다. 주지현 교수는 가톨릭대학교 가톨릭중앙의료원 기초의학사업추진단(단장 민창기 교수) 산하의 첨단세포치료사업단장도 맡고 있다. 이번 연구는 보건복지부로부터 1기 인증 연구 중심병원으로 선정된 서울성모병원의 중점 연구 분야 중 하나인 '난치성 자가면역'과 '세포치료' 분야의 긴밀한 협업으로 이뤄낸 결과물이다. 서울성모병원은 향후 연구 중심병원 사업이 본격화되는 시점에는 이런 창의적인 치료 사례를 더 많이 도출할 계획이다. 3월 투여 이후 상태를 파악하기 위한 이달 14일 외래진료 결과, 환자는 급성 부작용 발생 없이 일상생활 유지가 가능했다. 면역억제제를 중단해도 루푸스 관련 지표들(단백뇨, 보체, 항DNA 항체 등)이 호전되는 양상을 보였다. 루푸스는 대표적인 만성 자가면역질환으로, 외부에서 침입한 병원균으로부터 몸을 지키는 면역체계가 오히려 자기 자신을 공격하면서 발생한다. 발병 원인이 정확하게 밝혀지지 않았다. 신장 등 주요 장기를 침범하면 생명이 위협받을 수 있다. CAR-T 치료제는 환자 혈액에서 T세포(면역세포)를 채취한 뒤 암세포의 특정 항원을 인지하는 키메릭 항원 수용체(CAR)가 발현될 수 있도록 유전적으로 편집을 해 다시 환자의 몸에 주입하는 면역항암제다. 백혈병, 림프종 등 혈액암 치료에 적용되고 있다. 윤재호 교수는 “혈액질환에서 안전성과 유효성이 확인된 CAR-T 세포 치료법으로 만성신부전으로 악화될 수 있었던 난치성 루푸스 환자를 치료할 수 있어서 의미가 크며, 앞으로도 다학제 진료 참여로 난치성 환자의 치료를 위해 최선을 다할 것”이라고 전했다. 주지현 교수는 “최근 면역억제제 사용으로 루푸스 환자의 10년 생존율이 90~95%까지 보고되고 있으나, 일부 환자는 폐, 심장, 신장, 뇌와 같은 주요 장기에 루푸스가 침범하여 생명이 위험할 수 있다”라며 “이번 임상을 시작으로 기존 약제에 반응하지 않아 다른 치료 방법이 없는 난치성 루푸스 환자가 완치될 수 있도록 연구를 확대해 나갈 것”이라고 포부를 밝혔다. 송혜영 기자 hybrid@etnews.com",2025. 4. 15. 10:28,http://v.daum.net/v/20250415102812036
