title,content,date,url
"포스코홀딩스, 수요 산업 부진·불확실성 가중에도 실적 개선"," 1분기 실적 연결기준 매출 17조 4370억원, 영업익 5680억원 전분기 대비 이익 개선 철강사업 원가절감, 에너지소재사업 양·음극재 공급망 다변화 등 경영개선 노력 성과 장인화 회장 취임 2년차 핵심 전략 가시화…현대차그룹, 인도 JSW그룹 전략적 제휴 포스코홀딩스가 1분기 연결기준 매출 17조 4370억원, 영업이익 5680억원, 순이익 3440억원의 실적을 발표했다. 글로벌 관세전쟁 및 경제적 불확실성에 따른 경영환경 악화 속에서도 전분기(‘24년 4분기) 대비 매출은 약 △2.1% 감소했으나 영업이익은 전분기 대비 4730억 증가해 실적이 개선되면서 영업이익이 전년 동기(‘24년 1분기) 수준을 회복했다. 철강사업은 주요 공장의 수리 증가로 생산 및 판매량이 감소했으나 판매가격 상승과 원가절감에 따른 수익성 개선으로 영업이익이 전분기 대비 34.7% 증가한 4500억원을 기록했다. 에너지소재사업의 경우 포스코퓨처엠의 하이니켈 양극재 판매가 확대됐으며 음극재도 고객사의 공급망 다변화 수요 확대에 따라 판매량이 증가했다. 또한 가동 초기 에너지소재 법인들의 수익성 개선으로 전분기 대비 영업적자 폭이 감소했다. 에너지·건축·DX·물류사업 등 인프라사업 부문에서는 포스코인터내셔널 가스전 판매 증가와 발전부문 실적 개선 등에 힘입어 영업이익은 3070억원으로 전분기 대비 181.7% 증가했다. 이날 포스코홀딩스는 최근 발표한 현대자동차그룹과의 철강 및 이차전지 분야 상호 협력 내용과 핵심 사업 투자 계획 및 저수익/비핵심자산 구조개편 성과도 설명했다. 포스코그룹은 지난해 3월 장인화 회장 취임 이후 ‘2Core+New Engine’ 전략에 따라 철강, 에너지소재, 신사업 중심으로 그룹 사업을 재편한 바 있으며, 철강사업은 고성장/고수익 시장 중심으로 현지 거점을 확보해 가는 ‘완결형 현지화 전략’을 추진하고 있다. 이를 위해 포스코그룹은 지난해 인도 최대 철강그룹인 JSW그룹과 현지 일관제철소 합작 프로젝트를 추진키로 했으며, 최근 현대자동차그룹과 철강 및 이차전지소재 등 미래 모빌리티 사업 분야에서 상호 협력을 강화한다고 발표했다. 포스코그룹은 현대자동차그룹과의 미국 제철소 공동투자를 통해 글로벌 통상환경 위기 대응과 함께 북미 철강시장의 교두보를 확보하고, 이차전지소재사업에서도 글로벌 Top 기업들과의 전략적 제휴를 강화해 나가는 등 핵심 사업분야에서 미래 성장동력을 확보한다는 방침이다. 또 포스코그룹은 저수익·비핵심자산 구조개편도 속도감 있게 실행하고 있다. 지난해부터 시작된 구조개편으로 현재까지 약 9500억원 수준의 현금을 창출했고, 올해 말까지 총 2조 1000억원의 누적 현금창출을 계획하고 있다. 이와 함께 올해 8조 8000억원 투자 계획을 밝히며, 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등 그룹 핵심사업에 대한 투자를 지속할 계획이라고 밝혔다. 포항ㅣ김명득 스포츠동아 기자 localdk@donga.com 김명득 기자",2025. 4. 24. 15:15,http://v.daum.net/v/20250424151555621
"포스코홀딩스, 불확실성 가중에도 실적 개선 이뤘다…“전략적 제휴로 미래 성장동력 확보”"," [헤럴드경제=양대근 기자] 포스코홀딩스가 1분기 연결기준 매출 17조4370억원, 영업이익 5680억원, 순이익 3440억원의 실적을 24일 발표했다. 글로벌 관세전쟁 및 경제적 불확실성에 따른 경영환경 악화 속에서도 전분기 대비 매출은 2.1% 감소했으나 영업이익은 전분기 대비 4730억 증가해 실적이 개선됐다. 영업이익은 전년 동기 수준을 회복했다. 철강사업은 주요 공장의 수리 증가로 생산 및 판매량이 감소했으나 판매가격 상승과 원가절감에 따른 수익성 개선으로 영업이익이 전분기 대비 34.7% 증가한 4500억원을 기록했다. 에너지소재사업의 경우 포스코퓨처엠의 하이니켈 양극재 판매가 확대되었으며 음극재도 고객사의 공급망 다변화 수요 확대에 따라 판매량이 증가했다. 또한 가동 초기 에너지소재 법인들의 수익성 개선으로 전분기 대비 영업적자 폭이 감소했다. 에너지·건축·DX·물류사업 등 인프라사업 부문에서는 포스코인터내셔널 가스전 판매 증가와 발전부문 실적 개선 등에 힘입어 영업이익은 3070억원으로 전분기 대비 181.7% 증가했다. 이날 포스코홀딩스는 최근 발표한 현대자동차그룹과의 철강 및 이차전지 분야 상호 협력 내용과 핵심 사업 투자 계획 및 저수익·비핵심자산 구조개편 성과도 설명했다. 포스코그룹은 지난해 3월 장인화 회장 취임 이후 ‘2Core+New Engine’ 전략에 따라 철강, 에너지소재, 신사업 중심으로 그룹 사업을 재편한 바 있으며, 철강사업은 고성장·고수익 시장 중심으로 현지 거점을 확보해 가는 ‘완결형 현지화 전략’을 추진하고 있다. 이를 위해 포스코그룹은 지난해 인도 최대 철강그룹인 JSW그룹과 현지 일관제철소 합작 프로젝트를 추진키로 했으며, 최근 현대자동차그룹과 철강 및 이차전지소재 등 미래 모빌리티 사업 분야에서 상호 협력을 강화한다고 발표했다. 포스코그룹은 현대자동차그룹과의 미국 제철소 공동투자를 통해 글로벌 통상환경 위기 대응과 함께 북미 철강시장의 교두보를 확보하고, 이차전지소재사업에서도 글로벌 톱 기업들과의 전략적 제휴를 강화해 나가는 등 핵심 사업분야에서 미래 성장동력을 확보한다는 방침이다. 또한 포스코그룹은 저수익·비핵심자산 구조개편도 속도감 있게 실행하고 있다. 지난해부터 시작된 구조개편으로 현재까지 약 9500억원 수준의 현금을 창출했고, 올해 말까지 총 2조1000억원의 누적 현금창출을 계획하고 있다. 이와 함께 올해 8조8000억원 투자 계획을 밝히며, 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등 그룹 핵심사업에 대한 투자를 지속할 계획임을 강조했다.",2025. 4. 24. 14:55,http://v.daum.net/v/20250424145504483
"포스코퓨처엠, 1분기 경영실적 흑자 전환"," 연결 기준 매출액 8454억원, 영업이익 172억원, 전분기 대비 흑자 전환 하이니켈 양극재, 음극재 공급망 다변화 수요 등 판매 증가 수익성 개선 포스코퓨처엠이 1분기 경영실적이 전분기 대비 흑자로 전환했다. 24일 포스코퓨처엠에 따르면 1분기 연결 기준 매출 8454억원, 영업이익 172억원을 기록하면서 전분기 대비 흑자로 전환했다는 것. 배터리소재 사업은 지난 분기보다 양·음극재 판매가 증가해 매출은 32.4% 상승한 5056억원을 기록했고 영업이익은 24억원 흑자 전환했다. 양극재는 판매량 증가에 따른 가동률 상승과 프리미엄 제품인 하이니켈 양극재 판매 확대로 수익성도 개선됐다. 음극재도 고객사의 공급망 다변화 수요 증가로 판매량이 늘었고, 기초소재사업은 매출 3398억원과 영업이익 148억원을 기록했다. 제철공정 수리에 따른 수요 증대로 내화물 판매가 늘었고, 라임(생석회)·화성사업은 생산운영 효율화와 콜타르 판매가격 상승으로 마진이 확대되면서 수익성을 개선시켰다. 포스코퓨처엠 관계자는 “R&D 역량 강화와 제품 포트폴리오 다양화에 힘써 온 결과”라면서 “포스코홀딩스 미래기술연구원, 포항산업과학연구원(RIST), 포스텍 등 그룹 내 연구역량과 유기적으로 연계해 엔트리 시장을 타깃으로 한 고전압 Mid-Ni, LMR, LMFP 양극재 등 신규 제품들을 개발하고 있다”고 말했다. 또 “LFP 양극재는 다수 고객사 요청이 있어 기술제휴/합작 등을 포함한 다양한 사업화 방안도 검토하고 있다”고 덧붙였다. 한편 포스코퓨처엠은 음극재에서도 저팽창 천연흑연 음극재, 고용량 실리콘탄소복합체(Si-C) 음극재 등 고부가제품 개발을 통해 글로벌 시장을 선점할 계획이다. 포항ㅣ김명득 스포츠동아 기자 localdk@donga.com 김명득 기자",2025. 4. 24. 14:26,http://v.daum.net/v/20250424142605980
"나신평 “美 관세, 국내 수출산업 저하 전망···2차전지 부담에 LG·SK·포스코 실적 둔화 우려” [투자360]"," [헤럴드경제=김민지 기자] 나이스신용평가(이하 나신평)는 9일 ‘NICE신용평가 2025 크레딧 세미나’를 여의도 한국거래소 1층 컨퍼런스홀에서 개최하고 미국의 통상정책 방향과 한국 수출산업을 분석했다. 나신평은 이날 한국 수출산업과 주요 그룹 이슈를 비롯한 건설업·증권업·리츠(REITs) 등 관련한 신용위험 전망에 대한 견해도 함께 제시했다. 최근 트럼프 미국 대통령의 관세 폭격으로 세계 증시가 크게 흔들리자 관세 직격탄에 대한 우려로 국내 수출산업에 대한 투자심리가 크게 위축돼 있다. 이와 관련해 나신평은 미국의 변화된 통상정책 방향으로 국내 주요 수출산업의 산업환경이 ‘저하될 전망’이라고 밝혔다. 관세부과 등은 업종별로 영향의 수준은 차별화되겠지만, 주요 수출기업의 수익성에 부정적 영향을 미치고 이는 투자부담을 확대하는 요인으로 작용할 것이라는 이유에서다. 박세영 기업평가본부 기업평가1실장은 “특히 자동차산업은 2024년 대미 무역수지 흑자가 414억불로 미국의 통상정책 변화에 따른 영향이 가장 큰 산업으로 분석된다”고 말했다. 현대차 그룹 기준 2024년 연간 미국 판매물량 170만 대 중 미국 공장에서 생산되는 물량이 69만대로 약 60%가 관세부과 위험에 노출돼 있으며, 2025년부터 가동되는 증설물량을 감안하더라도 중단기적인 관세영향은 불가피하다. 다만, 나신평은 현대차그룹의 우수한 수익성 수준, 높은 환율에 따른 수익성 보완효과 등을 감안할 때 신용도에 미치는 영향은 제한적일 것으로 내다봤다. 이외 2차전지와 반도체 역시 미국의 통상정책 변화가 부정적 영향을 미칠 것으로 예상되나 2차전지의 경우 주요 배터리셀기업의 공장가동이, 반도체의 경우 SK하이닉스가 공급부족 상태인 고대역폭메모리(HBM) 매출 비중이 높은 점을 이유로 관세로 인한 수익성 영향은 크지 않을 것으로 평가했다. 그러나 2차전지는 보조금 축소 현실화 시 영업실적 저하가 불가피할 것이라고 덧붙였다. 반면 트럼프 대표 수혜주로 불리는 조선산업은 신용도 측면에서도 긍정적일 것으로 전망했다. 하지만 미국 우선주의와 함께 중국 공급과잉에도 주목해야 한다. 나신평은 이와 관련한 ▷LG ▷SK ▷포스코 ▷롯데 그룹의 주요 이슈에 대해 진단했다. 최재호 기업평가본부 기업평가2실장은 “LG그룹은 전자와 통신 사업에서 안정적 이익창출이 예상되지만, 불리한 업황에 있는 2차전지·석유화학·디스플레이 사업 비중이 50%를 넘고 있어 실적 둔화에 대한 가능성이 높다”고 내다봤다. 그러면서 “계열사 가운데 LG디스플레이는 수익성이 개선되겠지만 LG화학은 석유화학사업의 부진이 장기화되면서 신용위험이 높아지고 있다”고 평가했다. SK그룹 역시 “최근 실적이 양호한 반도체, 통신, 에너지 사업이 60% 이상을 차지하고 있지만, 투자를 집중하고 있는 2차전지 부문의 산업환경이 부정적”이라고 말했다. 특히 포스코그룹의 경우 주력 사업인 철강부문이 ‘중국발(發) 공급과잉’으로 실적이 둔화되면서, 그룹 영업이익률이 ‘2008년 이후 최저 수준’으로 낮아졌다고 분석했다. 여기에 “미국의 관세부과와 유럽의 쿼터축소 등 통상환경 저하로 이익창출력 개선이 어렵고 2차전지소재 분야의 투자를 늘리면서 차입금 부담 또한 증가하고 있다”고 덧붙였다. 롯데그룹과 관련해선 적극적인 재무개선 추진에 주목했다. 최 실장은 “음식료사업을 제외한 대부분 사업이 불리한 산업환경에 노출돼 이익창출이 크게 위축됐지만 그룹의 적극적인 자세로 올해 재무부담이 다소 완화될 것”이라고 했다. 한편 증권업 내에서는 대형사과 소형사 간 규모의 경쟁이 심해지고 있다. 2009년 자본시장법 시행을 시발점으로 국내 증권업 대형화를 유도하기 위한 정책이 꾸준히 실시된 가운데 소형사는 대형사와의 경쟁이 힘들어질 것이란 전망으로 위기론도 주기적으로 반복됐다. 윤재성 금융SF평가본부 금융평가1실 수석연구원은 “최근 증권사 규모별로 실적이 차별화되면서 2024년 대형사의 순이익은 24.3% 늘어난데 비해 소형사는 47.4% 오히려 감소했다”며 “소형사의 주력 사업부문인 부동산금융 환경이 위축되면서 수익성 감소에 부정적인 영향을 미쳤다”고 봤다. 수익성 저하와 더불어 부동산PF 건전성 규제도 개편 예정인 점 또한 소형사에게는 부담요인이다. 나신평은 부동산금융을 대체할 사업부문을 찾으려는 소형사의 노력이 지속되고 있지만, 부동산금융이 담당했던 수익규모를 대체할 수 있는 사업부문의 출현은 아직 요원한 상황이라고 분석했다. 따라서 경쟁력 강화에 실패할 경우 일부 소형사를 중심으로 신용도 하방압력이 증가하거나 장기적으로 피인수합병 가능성이 높아질 전망이다. 윤 연구원은 “계열을 보유한 타 증권사와의 합병이 이루어지는 경우 계열지원 가능성을 고려한 신용도 변화가 나타날 수 있다”고 부연했다. ",2025. 4. 9. 11:04,http://v.daum.net/v/20250409110401769
"포스코홀딩스, 1분기 영업익 5680억원…전년比 소폭 감소","직전 분기 대비 영업이익 4730억원 증가수요 산업 부진·불확실성 가중 속 실적 개선세  글로벌 관세전쟁 및 경제적 불확실성에 따른 경영환경 악화로 전년 동기와 비교하면 매출은 3.4%, 영업이익은 1.7%, 당기순이익은 44.3% 감소했다. 다만 전 분기 대비 영업이익은 4730억원 증가(470.0%↑)했다. 포스코홀딩스에 따르면 철강사업은 주요 공장의 수리 증가로 생산 및 판매량이 감소했으나 판매가격 상승과 원가절감에 따른 수익성 개선으로 영업이익이 전 분기 대비 34.7% 증가한 4500억원을 기록했다. 에너지소재사업의 경우 포스코퓨처엠의 하이니켈 양극재 판매가 확대됐으며 음극재도 고객사의 공급망 다변화 수요 확대에 따라 판매량이 증가했다. 또한 가동 초기 에너지소재 법인들의 수익성 개선으로 전 분기 대비 영업적자 폭이 감소했다. 에너지·건축·DX·물류사업 등 인프라사업 부문에서는 포스코인터내셔널 가스전 판매 증가와 발전부문 실적 개선 등에 힘입어 영업이익은 3070억원으로 전 분기 대비 181.7% 증가했다. 이날 포스코홀딩스는 최근 발표한 현대자동차그룹과의 철강 및 이차전지 분야 상호 협력 내용과 핵심 사업 투자 계획 및 저수익·비핵심자산 구조개편 성과도 설명했다. 포스코그룹은 지난해 3월 장인화 회장 취임 이후 '2Core+New Engine' 전략에 따라 철강, 에너지소재, 신사업 중심으로 그룹 사업을 재편한 바 있으며, 철강사업은 고성장·고수익 시장 중심으로 현지 거점을 확보해 가는 '완결형 현지화 전략'을 추진하고 있다. 이를 위해 포스코그룹은 지난해 인도 최대 철강그룹인 JSW그룹과 현지 일관제철소 합작 프로젝트를 추진키로 했으며, 최근 현대자동차그룹과 철강 및 이차전지소재 등 미래 모빌리티 사업 분야에서 상호 협력을 강화한다고 발표했다. 포스코그룹은 현대자동차그룹과의 미국 제철소 공동투자를 통해 글로벌 통상환경 위기 대응과 함께 북미 철강시장의 교두보를 확보하고, 이차전지소재사업에서도 글로벌 톱 기업들과의 전략적 제휴를 강화해 나가는 등 핵심 사업분야에서 미래 성장동력을 확보한다는 방침이다. 또한 포스코그룹은 저수익·비핵심자산 구조개편도 속도감 있게 실행하고 있다. 지난해부터 시작된 구조개편으로 현재까지 약 9500억원 수준의 현금을 창출했고, 올해 말까지 총 2조1000억원의 누적 현금 창출을 계획하고 있다. 아울러 올해 8조8000억원 규모 투자를 계획 중이며, 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등 그룹 핵심사업에 대한 투자를 지속할 방침이다. sense83@tf.co.kr 발로 뛰는 더팩트는 24시간 여러분의 제보를 기다립니다.▶카카오톡: '더팩트제보' 검색▶이메일: jebo@tf.co.kr▶뉴스 홈페이지: http://talk.tf.co.kr/bbs/report/write",2025. 4. 24. 15:06,http://v.daum.net/v/20250424150612073
"포스코홀딩스, 1분기 영업익 5680억…철강·배터리 수익 회복(상보)","[이데일리 김은경 기자] 포스코홀딩스가 올해 1분기 철강 원가 절감과 이차전지(배터리) 소재 사업 개선에 힘입어 전분기 대비 실적이 개선됐다. 포스코홀딩스(POSCO홀딩스(005490))는 1분기 연결기준 실적으로 매출 17조4370억원, 영업이익 5680억원, 순이익 3440억원을 기록했다고 24일 밝혔다. 글로벌 관세전쟁 및 경제적 불확실성에 따른 경영환경 악화 속에서도 전분기 대비 매출은 약 2.1% 감소했으나 영업이익은 전분기 대비 4730억(470%) 증가해 실적이 개선되면서 영업이익이 전년 동기 수준을 회복했다. 전년 동기와 비교하면 매출과 영업이익이 각각 3.4%, 1.7% 감소한 수치다.  에너지소재사업은 포스코퓨처엠(003670)의 하이니켈 양극재 판매가 확대됐으며 음극재도 고객사의 공급망 다변화 수요 확대에 따라 판매량이 증가했다. 가동 초기 에너지소재 법인들의 수익성 개선으로 전분기 대비 영업적자 폭이 감소했다. 에너지·건축·디지털전환(DX)·물류사업 등 인프라사업 부문에서는 포스코인터내셔널(047050) 가스전 판매 증가와 발전부문 실적 개선 등에 힘입어 영업이익이 전분기 대비 181.7% 증가한 3700억원을 기록했다. 이날 포스코홀딩스는 최근 발표한 현대자동차그룹과의 철강·이차전지 분야 상호 협력 내용과 핵심 사업 투자 계획, 저수익·비핵심자산 구조개편 성과도 설명했다. 포스코그룹은 지난해 3월 장인화 회장 취임 이후 ‘2 코어(Core)+뉴 엔진(New Engine)’ 전략에 따라 철강, 에너지소재, 신사업 중심으로 그룹 사업을 재편했다. 철강사업은 고성장·고수익 시장 중심으로 현지 거점을 확보해 가는 ‘완결형 현지화 전략’을 추진하고 있다. 이를 위해 포스코그룹은 지난해 인도 최대 철강그룹인 JSW그룹과 현지 일관제철소 합작 프로젝트를 추진키로 했다. 최근 현대자동차그룹과는 철강·이차전지소재 등 미래 모빌리티 사업 분야에서 상호 협력을 강화한다고 발표했다. 포스코그룹은 현대자동차그룹과의 미국 제철소 공동투자를 통해 글로벌 통상환경 위기 대응과 함께 북미 철강시장의 교두보를 확보하고 이차전지소재사업에서도 글로벌 선두 기업들과 전략적 제휴를 강화해 나가는 등 핵심 사업분야에서 미래 성장동력을 확보한다는 방침이다. 포스코그룹은 저수익·비핵심자산 구조개편도 속도감 있게 실행하고 있다. 지난해부터 시작된 구조개편으로 현재까지 약 9500억원 수준의 현금을 창출했고 올해 말까지 총 2조1000억원의 누적 현금창출을 계획하고 있다. 이와 함께 올해 8조8000억원 투자 계획을 밝히며 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등 그룹 핵심사업에 대한 투자를 지속할 계획임을 강조했다. 김은경 (abcdek@edaily.co.kr)",2025. 4. 24. 14:36,http://v.daum.net/v/20250424143613532
"포스코홀딩스, 1분기 영업익 5680억 '선방'… 매출 17조","포스코홀딩스가 글로벌 관세전쟁과 경제적 불확실성에 따른 경영환경 악화 속에서도 철강과 인프라사업의 개선세에 힘입어 실적 방어에 성공했다. 포스코홀딩스는 올해 연결기준 1분기 영업이익이 5680억원으로 전년 동기 대비 1.7% 감소했다고 24일 공시했다. 매출은 17조4370억원으로 3.4% 줄었다. 다만 순이익은 3440억원으로 44.3% 줄었다. 사업 부문별로 주력 산업인 철강이 판매가격 상승과 원가절감에 따른 수익성 개선으로 영업이익이 이전 분기 대비 34.7% 증가한 4500억원을 기록하는 실적 개선을 이끌었다. 다만 주요 공장 수리 증가로 생산과 판매량은 감소했다.  에너지소재사업은 포스코퓨처엠의 하이니켈 양극재 판매가 확대됐으며, 음극재도 고객사의 공급망 다변화 수요 확대에 따라 판매량이 증가했다. 또 가동 초기 에너지소재 법인들의 수익성 개선으로 전분기 대비 영업적자 폭이 감소했다. 에너지·건축·DX·물류사업 등 인프라사업 부문에서는 포스코인터내셔널 가스전 판매 증가와 발전부문 실적 개선 등에 힘입어 영업이익은 3070억원으로 전분기 대비 181.7% 증가했다. 포스코그룹은 지난해 3월 장인화 회장 취임 이후 '2Core+New Engine' 전략에 따라 철강, 에너지소재, 신사업 중심으로 그룹 사업을 재편한 바 있다. 철강사업은 고성장·고수익 시장 중심으로 현지 거점을 확보해 가는 '완결형 현지화 전략'을 추진하고 있다. 포스코그룹은 지난해 인도 최대 철강그룹인 JSW그룹과 현지 일관제철소 합작 프로젝트를 추진키로 했으며, 최근 현대자동차그룹과 철강 및 이차전지소재 등 미래 모빌리티 사업 분야에서 상호 협력을 강화한다고 발표했다. 포스코그룹은 현대자동차그룹과의 미국 제철소 공동투자를 통해 글로벌 통상환경 위기 대응과 함께 북미 철강시장의 교두보를 확보하고, 이차전지소재사업에서도 글로벌 톱 기업들과 전략적 제휴를 강화해 나가는 등 핵심 사업분야에서 미래 성장동력을 확보한다는 방침이다. 포스코그룹은 저수익·비핵심자산 구조개편에도 속도를 내고 있다. 지난해부터 시작된 구조개편으로 현재까지 약 9500억원 수준의 현금을 창출했고, 올해 말까지 총 2조1000억원의 누적 현금창출을 계획하고 있다. 올해는 8조8000억원을 투입해 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등 그룹 핵심사업에 대한 투자를 지속할 계획이다. 조성필 기자 gatozz@asiae.co.kr",2025. 4. 24. 15:05,http://v.daum.net/v/20250424150552052
"포스코이앤씨, 신안산선 사고 비용 증가로 실적 약화 우려"," 16일 포스코이앤씨에 따르면 신안산선 복선전철 제5-2공구의 공사비 지분은 2800억원으로 내년 12월 시공계약이 종료된다. 사고 수습과 재시공에 따른 추가 공사비가 발생할 경우 실적 약화도 예상된다. 포스코이앤씨의 지난해 연결기준 매출은 9조4690억원으로 전년(10조1660억원) 대비 6.9%(6970억원) 감소했다. 영업이익도 같은 기간 2010억원에서 620억원으로 69.2% 떨어졌다.  '신안산선 복선전철(본선1구간) 민간투자사업 환경영향평가 보고서'에 따르면 환경부 등은 당시 ""대규모 지하수 유출에 따른 지반침하 등 구조물 안정성 문제와 인근 지하수 시설에 대한 영향(수위 강하)이 우려된다""고 경고했다. 감사원도 2023년 보고서에서 일부 단층 파쇄대가 존재해 지반 상태가 '매우 불량하다'고 지적했다. 사고 발생 직전 전조 증상을 간과했다는 지적도 나온다. 국회 국토교통위원회 소속 문진석(더불어민주당·충남 천안) 의원실이 입수한 보고서에 따르면 사고 발생 하루 전인 지난 10일 오후 9시50분 터널 중앙 기둥의 파손이 확인돼 작업자들이 대피했다. 광명경찰서는 이로부터 약 3시간 후인 11일 0시40분 상부도로 차선을 통제했다. 그러나 지하터널과 상부도로에서 안전진단과 보강 공사를 위한 작업은 계속 이어졌다. 사고 8시간 전인 오전 7시쯤 고용노동부는 시공사에 '작업 중지 권고'를 요청한 것으로 알려졌다. 다만 작업 중지 권고는 강제성은 없다. 전문가들은 사고 원인에 대해 조심스러운 입장을 보이고 있다. 이호 한국지하안전협회 회장은 ""해당 사업장이 '지하안전관리에 관한 특별법'에 의해 지하 안전평가를 수행하게 돼 있고 착공 후 지하 안전조사도 매달 이뤄진다""며 ""제대로 조사가 이뤄졌다면 이상 징후를 미리 발견했을 수 있다""고 분석했다. 이어 ""감리 책임자가 이상 징후를 파악하지 못했는지 등을 조사해 명확히 규명해야 한다""고 덧붙였다. 비용 증가를 막기 위해 공기에 맞춰 무리한 작업을 해야 하는 국내 건설업계의 관행도 지적된다. 전영준 한국건설산업연구원 미래산업정책연구실장은 ""일반적으로 적정 공사기간이 부족한 문제가 있지만 이번 사고의 원인이라고 볼 수는 없다""며 ""발주청은 적정 공기 산정 의무가 있으나 100% 지켜지는 경우는 많지 않아 관련 준수 여부를 검토할 필요가 있다""고 제언했다. 이화랑 기자 hrlee@mt.co.kr",2025. 4. 16. 17:20,http://v.daum.net/v/20250416172057800
"포스코홀딩스, 1Q 영업익 5680억 1.7%↓…""원가 절감 노력"""," [서울=뉴시스] 류인선 기자 = 포스코홀딩스가 1분기 연결기준 매출 17조4370억원, 영업이익 5680억원, 순이익 3440억원의 실적을 24일 발표했다. 전년 대비 매출은 3.4%, 영업이익은 1.7% 소폭 감소했다. 철강사업 영업이익은 전분기 대비 34.7% 늘어난 4500억원으로 나타났다. 주요 공장 수리 증가로 생산 및 판매량은 감소했지만, 판매가격 상승과 원가절감으로 수익성은 더 개선됐다. 에너지소재사업은 포스코퓨처엠의 하이니켈 양극재 판매가 확대되면서 전분기 대비 영업적자 폭이 감소했다. 음극재도 고객사의 공급망 다변화와 수요 확대로 판매량이 더 늘었다. 에너지·건축·디지털전환(DX)·물류사업 등 인프라사업 부문에서는 포스코인터내셔널 가스전 판매 증가와 발전부문 실적 개선에 힘입어 영업이익은 3070억원으로 전분기 대비 181.7% 증가했다. 하지만 미국의 관세 정책으로 인한 불확실성은 향후 실적 감소로 이어질 수 있다. 포스코홀딩스는 현대차그룹과 철강 및 이차전지 분야 상호 협력을 통해 이를 극복한다는 입장이다. 철강은 고성장·고수익 시장 중심으로 현지 거점을 확보하는 완결형 현지화 전략을 추진 중이다. 이미 알려진대로 미국에서는 현대차그룹의 루이지애나 제철소에 지분 투자를 결정했고, 인도에서는 JSW그룹과 현지 제철소 합작 프로젝트를 추진 중이다. 포스코그룹은 저수익·비핵심자산의 구조 개편도 실행하고 있다. 현재까지 9500억원 현금을 창출했고, 올해 말까지 2조1000억원의 누적 현금을 쌓아놓을 계획이다. 올해 투자는 8조8000억원 규모로, 광양 전기로 신설, 아르헨티나 염수 리튬 2단계, 호주 세넥스에너지 증산 등에 투자한다. ☞공감언론 뉴시스 ryu@newsis.com",2025. 4. 24. 15:08,http://v.daum.net/v/20250424150834167
“염수 2단계 상·하공정 준공 내년 1분기로 순연”-포스코홀딩스 컨콜,[이데일리 김은경 기자] “포스코아르헨티나 염수 2단계 상공정 준공 시점은 올해 3분기에서 내년 1분기로 순연됐다. 포스코리튬솔루션 염수 2단계 하공정 준공 역시 올해 3분기에서 내년 1분기로 미뤄졌다.”-24일 포스코홀딩스(POSCO홀딩스(005490)) 2025년 1분기 실적발표 컨퍼런스콜.  김은경 (abcdek@edaily.co.kr),2025. 4. 24. 15:14,http://v.daum.net/v/20250424151459557
