title,content,date,url
"SK·현대차, 실적 '선방'...2분기 관세 여파 주목","[앵커] 미국발 관세 여파로 우리 수출 주력 산업에 대한 우려가 커지고 있는 가운데 SK 하이닉스와 현대차가 일단 올해 1분기는 우수한 실적으로 마무리한 것으로 나타났습니다. 특히 SK 하이닉스는 1분기 기준 매출액과 영업이익 면에서 모두 역대 최고를 달성하는 등 어닝 서프라이즈를 기록해 이목을 끌고 있습니다. 취재기자 연결해 관련 내용 알아보겠습니다. 황혜경 기자! 먼저 SK 하이닉스 소식부터 자세히 전해주시죠. [기자] 네, SK하이닉스가 올해 1분기 잠정 매출 17조 6천억 원, 영업이익 7조 4천억 원을 기록했습니다. 모두 시장 기대치를 훌쩍 뛰어넘는 높은 수치입니다. 분기 기준으로 역대 최고 실적을 달성했던 지난해 4분기에 이어 두 번째로 높은 성과이고, 반도체 시장의 계절적 비수기로 꼽히는 1분기 기준으로는 역대 최대입니다. 특히 영업이익은 지난해 같은 기간 대비 158% 증가했고 영업이익률도 전 분기 대비 1%p 개선된 42%를 기록해 8분기 연속 개선 추세를 이어갔습니다. 이 같은 배경에는 역시 SK하이닉스의 주력 품목인 고대역폭 메모리, HBM의 판매 호조세가 있었는데요. SK하이닉스 측은 지난 1분기는 ""인공지능 개발 경쟁과 재고 축적 수요 등이 맞물리며 메모리 시장이 예상보다 빨리 개선되는 모습을 보였다""면서 ""이에 맞춰 5세대 HBM 12단 등 고부가가치 제품 판매를 확대했다""고 설명했습니다. 실적발표에 이은 콘퍼런스콜에서도 SK하이닉스 측은 올해 HBM 수요는 변함없이 전년 대비 약 2배 성장할 것으로 내다봤는데요. 직접 들어보시죠. [김우현 / SK하이닉스 부사장(CFO) : HBM의 경우 고객과 1년 전 공급물량을 합의하는 제품 특성상 올해 수요는 변함없이 전년 대비 약 2배 성장하는 것을 유지하고 있다. 현재 HBM3E 12단으로의 전환은 순조롭게 진행 중이며 2분기에는 기존 계획대로 전체 HBM3E 출하량의 절반 이상이 HBM3E 12단으로 판매될 예정입니다.] SK하이닉스는 올해 HBM 물량을 이미 모두 판매하고 현재 주력 품목인 5세대 HBM 12단 제품을 엔비디아 등에 공급하고 있는데요. 후속 제품인 6세대 HBM 12단 제품도 고객 수요에 맞춰 올해 하반기 양산을 목표로 준비하고 있는데 내년 물량 또한 올해 상반기 내에 '완판' 결정이 날 것으로 관측되고 있습니다. [앵커] 자동차의 경우 지난달부터 미국 수출에 25% 관세가 부과되고 있는데요. 그럼에도 불구하고 일단 현대자동차 1분기 실적은 양호했다고요? [기자] 네, 대미 수출 자동차에 대한 관세가 지난달 12일부터 시작된 만큼 아직 관세 여파가 본격화하지는 않은 것으로 보입니다. 현대차는 지난 1분기에 매출 44조 4,078억 원, 영업이익 3조 6,336억 원으로 지난해 같은 기간 대비 매출은 9.2%, 영업이익은 2.1% 는 것으로 잠정 집계됐다고 밝혔습니다. 특히 매출액은 1분기 기준으로는 역대 최대를 기록했는데요. 현대차는 북미 시장에서의 판매 호조와 함께 우호적인 환율 등에 힘입어 매출 상승세를 이어간 것으로 보인다고 밝혔습니다. 미국에서의 판매량은 전년 같은 기간보다 1.1% 증가한 24만 2천여 대가 판매된 것으로 집계됐는데요. 다만 전체 해외 판매는 대외 환경 악화, 불확실성 증대 등으로 인한 판매 둔화로 1.4% 감소했다고 설명했습니다. 관심은 미국에서의 호조세가 과연 2분기에도 이어질지 여부인데요. 관세로 인한 타격이 본격화하고 있는 데다 다음 달 3일부터는 자동차 부품에도 25% 관세가 더해지기 때문에 위기 요인과 변수가 더욱 많아질 전망입니다. 현대차 측에서도 앞으로 관세 등 통상 환경의 급격한 변화라든지 이에 따른 실물 경제 침체 가능성 등 때문에 경영 활동의 위험 요인이 늘어날 것으로 예측했는데요. 시장별 현지화 전략을 고도화한다든지, 과감한 혁신을 통한 미래 경쟁력을 확보해 지속적인 성장 추진력을 마련해 나가겠다고 밝혔습니다. 지금까지 YTN 황혜경입니다. YTN 황혜경 (whitepaper@ytn.co.kr) ※ '당신의 제보가 뉴스가 됩니다' [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr [저작권자(c) YTN 무단전재, 재배포 및 AI 데이터 활용 금지]",2025. 4. 24. 15:10,http://v.daum.net/v/20250424151020290
"HD현대 조선3사 실적 견인…HD한국조선해양, 1Q 영업익 436% 급증","(지디넷코리아=류은주 기자)HD현대 조선 부문 중간 지주사인 HD한국조선해양이 8분기 연속 흑자를 달성했다. HD한국조선해양은 24일 올해 1분기 연결기준 매출 6조7천717억원, 영업이익 8천592억원을 기록했다고 공시했다. 전년 동기 대비 매출은 22.8%, 영업이익은 436.3% 증가했다. 계절적 요인에 따른 조업일수 감소에도 불구하고 ▲생산성 향상 및 건조 물량 증가 ▲고선가 선박 매출 비중 확대 ▲선별 수주에 따른 수익성 개선 등으로 뚜렷한 성장세를 이어갔다.  특히 조선 부문 계열사인 HD현대중공업은 매출 3조 8천225억 원, 영업이익 4천337억 원을 기록하며 호실적을 이끌었다. HD현대삼호와 HD현대미포도 각각 매출 1조 9천664억원과 1조1천838억원, 영업이익 3천659억원과 685억원을 기록, HD한국조선해양의 실적 개선을 뒷받침했다. 선박 엔진 부문 계열사인 HD현대마린엔진은 지난해 그룹 편입 후 시너지 효과를 본격 발휘하고 있는 가운데 엔진 물량 확대, 생산 효율화 등으로 매출은 전년 동기 대비 35.3% 증가한 830억원, 영업이익은 64.4% 증가한 103억원을 기록했다. 사업 부문별로 살펴보면, 조선 부문은 전반적인 업황 호조세에 힘입어 매출과 영업이익이 전년 동기 대비 각각 21.6%, 207.2% 늘어난 5조8천451억원과 7천814억원을 기록했다. 엔진기계 부문은 친환경 규제 강화에 따른 이중연료 엔진 비중 확대, 엔진 가격 상승 및 인도 물량 증가로 전년 동기 대비 48.7% 상승한 6천672억원의 매출을 거뒀다. 영업이익은 103.3% 증가한 1천543억원을 기록했다. 해양플랜트 부문도 기존 물량에 대한 매출 인식이 확대되며 전년 동기 대비 43.8% 상승한 1천613억원의 매출과 66억원의 영업이익을 거뒀다. HD한국조선해양 관계자는 “디지털·친환경 기술 고도화, 스마트 조선소 구축, 자율운항 및 SMR, 전동화 기술 개발 등으로 미래 선박 시장을 선도해 나가겠다”며, “고부가가치 선박 위주의 선별 수주를 이어가 수익성을 더욱 강화해 나갈 것”이라고 밝혔다. 류은주 기자(riswell@zdnet.co.kr)",2025. 4. 24. 14:07,http://v.daum.net/v/20250424140725044
"HD현대일렉트릭, 역대급 실적에도 주가는 급락?…증권가 분석 엇갈려","전력기기 회사인 HD현대일렉트릭이 역대급 실적 발표에도 주가가 10% 가까이 하락했다. 증권가에서는 엇갈린 평가가 나온다. 하락폭이 과도하다는 평가와 함께 일각에선 이익률이 정점을 찍었다는 우려도 나온다.  한국거래소에 따르면 지난 22일 HD현대일렉트릭의 주가는 전날 대비 9.75% 빠진 30만1000원으로 마감했다. 시장이 의아해 한건 이날 HD현대일렉트릭이 역대급 실적을 발표했기 때문이다. HD현대일렉트릭의 연결 기준 1분기 매출액은 1조147억원으로 1년 전보다 26.7% 증가했다. 회사 분기 매출이 1조원을 넘은 것은 이번이 처음이다. 영업이익은 2182억원으로 69.4% 성장했다. 시장 컨센서스에 부합했으며 역시 사상 최고 수준이다. 영업이익률은 21.5%로 5.4%포인트 개선돼 전망치를 웃돌았다. 작년 4분기 고마진 전력기기 매출비중이 늘고, 북미향 매출 비중이 대폭 상승한 덕분이다. 수주 잔고는 13억4000만달러로 1년 전과 비교해 7.2% 줄었다. 그간 HD현대일렉트릭의 주가가 가파르게 올랐던 만큼 차익실현 매물로 추정된다. 이 점을 감안하더라도 증권가에선 낙폭이 과도하다는 의견이 나왔다. 대신증권은 '서프라이즈는 없었지만, 과도한 주가하락'이라는 제목의 종목 리포트를 발표했다. 허민호 대신증권 연구원은 ""향후 상호 관세 축소 또는 관세 부담을 100% 전가할 경우 실적 상향 조정이 가능하다""며 ""데이터센터 투자 버블, 인플레이션 감축법(IRA) 폐지에 따른 재생에너지 투자 축소, 관세 등 미국발 3종 우려를 해소하고 북미 외 지역에서 경쟁력을 확인했다""고 평가했다. 그러면서 목표가를 37만5000원에서 40만원으로 올렸다. LS증권은 '해프닝'에 불과하다고 봤다. 성종화 LS증권 연구원은 ""전일 급락은 관세 노이즈 등에 따른 2월 이후 조정 장세의 연장선이라고 보는게 더 설득력이 있다""며 ""불안정한 장세에서 심리적으로 조정의 빌미로 작용한 셈""이라고 분석했다. 성 연구원은 ""과도한 조정으로 밸류에이션 여력 재차 커졌다""며 ""트럼프발 뉴스에 따라 한두 차례 더 노이즈로 작용할 가능성은 있으나 관세 관련 조정 영향은 큰 줄기는 지나갔다고 판단한다""고 분석했다. 목표가는 48만원을 유지했다. 하나증권은 신규수주 감소를 지켜볼 필요는 있다고 봤지만, 수급 불균형이 여전하다는 측면에서 크게 우려할 부분은 아니라고 평가했다. 유재선 하나증권 연구원은 ""이번 분기 신규 수주가 전년대비 감소했지만 추세가 바뀌었다는 신호로 간주하기는 어렵다""며 ""AI 데이터센터 투자 감소에 대한 우려는 멀티플을 일시적으로 둔화시킬 수 있겠으나 실제 실적을 구성하는 송전, 발전, 배전 등 전방 시장 수요는 변화가 없다""고 밝혔다. 하나증권 역시 목표가를 기존 50만원으로 유지했다. 반면, 관세여파와 전력수요 피크아웃 전망을 바탕으로 목표가를 내려 잡은 곳도 있었다. 삼성증권은 이번 주가하락 원인을 이익률 피크아웃 우려를 지목했다. 고마진 북미 매출이 전분기 대비 2배 증가했지만 1분기 전사 영업이익률 개선 폭은 1.1%포인트에 불과하다는 지적이다. 이로 인해 향후 북미 매출 감소 시의 수익성 하락 리스크가 떠올랐다. 삼성증권은 ""비관론은 시기상조""라고 하면서도 목표주가를 50만2000원에서 47만4000원으로 하향했다. NH투자증권도 목표가를 50만원에서 44만원으로 대폭 내렸다. 전력기기 업종의 밸류에이션이 데이터센터 투자 축소, 트럼프 행정부의 상호관세 등 대외적인 우려로 1, 2월 평균 대비 15% 이상 하락했다는 설명이다. 마찬가지로 신한투자증권도 미국시장의 불확실성을 언급하며 목표가를 48만원에서 42만원으로 낮췄다. 키움증권도 48만원에서 40만원으로 내렸다. 백지현 (jihyun100@bizwatch.co.kr) ⓒ비즈니스워치의 소중한 저작물입니다. 무단전재와 재배포를 금합니다.",2025. 4. 23. 10:11,http://v.daum.net/v/20250423101103307
"'건설기계의 봄' 언제?…부동산 한파에 두산·HD현대, 1Q 실적 적신호"," 고금리와 글로벌 건설 경기 둔화가 이어지면서 건설기계 업계의 1분기 실적에도 적신호가 켜졌다. 증권가에서는 지난해 같은 기간에 비해 35~30% 가량 줄어든 실적을 예상한다. 미국의 금리 인하 가능성, 러시아-우크라이나 종전 가능성 등은 반등의 기회로 읽힌다. 18일 금융정보기업 에프앤가이드에 따르면 두산밥캣의 올해 1분기 영업이익은 2159억원으로 예상된다. 전망치대로라면 지난해 같은 기간 3260억원이 비해 33.8% 줄어든 실적을 거두게 된다. HD현대건설기계와 HD현대인프라코어의 1분기 영업이익 전망치는 각각 379억원, 688억원이다. 지난해 같은 기간에 비해 29.3%, 25.9% 감소한 수치다. 글로벌 부동산 시장 둔화와 인프라 확충 수요 감소가 지난해부터 이어지고 있어서다. 고금리 기조 장기화에 따라 건설 수요가 축소하면서 후방산업인 건설기계도 업황이 둔화했다. 한국건설기계산업협회에 따르면 지난해 건설기계 수출량은 5만6323대로 전년과 비교해 36.8% 감소했다. 전기차 캐즘(Chasm·일시적 수요 둔화)으로 리튬 등 광물 수요가 급감한 것도 건설기계 수요를 축소시켰다. 두산밥캣의 경우 주요 시장인 북미의 주택 착공이 줄어든 영향이 컸다. 미국 회사를 인수해 탄생한 두산밥캣은 북미 매출 비중이 70% 이상이다. 미국 인구조사국에 따르면 올해 1월과 2월 미국의 주택 착공 건수는 전년 동기 대비 각각 0.7%, 2.9% 감소했다. 고금리와 건설 비용 상승으로 주택 건설 시장이 위축된 결과다.  두산밥캣은 미국의 금리 인하 여부에 주목한다. 도널드 트럼프 행정부가 국가 부채 부담을 줄이려고 연방준비제도(연준)를 압박하고 있기 때문이다. 미국의 기준 금리가 내려가면 모기지(주택담보대출) 부담이 줄면서 주택 시장이 활기를 찾을 수 있다. 두산밥캣은 미국에 생산시설을 보유하고 있어 관세 부과 정책에서도 상대적으로 자유롭다는 이점도 있다. 반면 관세 영향권에 놓인 HD현대는 신흥시장에서 돌파구를 찾는다. 트럼프 대통령은 미국으로 수입되는 건설기계에 대해 중국산은 245%, 다른 국가는 10% 기본 관세를 부과했다. HD현대는 미국에 조립 시설만 보유하고 있어 관세로 인한 타격이 불가피한 상황이다. HD현대는 인도 등 신흥 시장에서의 매출 비중을 2023년 기준 44%까지 늘려왔는데 이 지역의 중요성이 더욱 커지게 됐다. 특히 HD현대는 러시아-우크라이나 종전 여부를 주시한다. HD현대의 건설기계 부문 중간지주회사 HD현대사이트솔루션은 지난해 9월 우크라이나 키이우에 지사를 설립하는 등 전쟁 종식 이후를 대비해왔다. 조영철 HD현대사이트솔루션 사장은 ""우크라이나 정부 측과 꾸준히 소통하고 있다""며 ""복구 사업이 새로운 기회를 제공하는 건 사실이지만 과도한 기대를 갖는 건 경계하면서 대응하고 있다""고 밝혔다. 김도균 기자 dkkim@mt.co.kr",2025. 4. 18. 06:11,http://v.daum.net/v/20250418061101143
"현대차, 오늘 올해 1분기 실적 발표…관세여파 주목"," (서울=연합뉴스) 김보경 기자 = 국내 완성차 1위 업체인 현대차가 미국 자동차 관세 여파 속 24일 올해 1분기 실적을 발표한다. 연합뉴스가 연합인포맥스 시스템을 이용해 최근 석 달 치 증권업계 전망을 분석한 결과 현대차의 올해 1분기 매출과 영업이익 전망치는 각각 43조4천352억원, 3조5천430억원으로 집계됐다. 이는 작년 동기 실적(매출 40조6천585억원·영업이익 3조5천574억원)보다 매출은 6.8% 증가하고, 영업이익은 0.4% 감소한 수치다. 이런 전망대로라면 현대차는 1분기 기준 역대 최대 매출을 기록하게 된다. 영업이익은 보합세를 보였지만 미국의 25% 자동차 관세 부과로 글로벌 자동차 업계가 혼란을 맞은 상황에서 선방했다는 평가다. 다만 올해 1분기 고수익 차종인 하이브리드차 판매가 크게 늘었고, 환율 상승 효과가 커 영업이익이 예상보다 많아질 수 있다는 전망도 나온다. 현대차가 올해 1분기 호실적을 기록하더라도 문제는 향후 실적이다. 현대차는 향후 몇개월간 가격 인상 없이 현지 재고로 관세에 대응할 예정이다. 아울러 장기적으로 미국 현지 생산 대수를 최대한 끌어 올릴 계획인데 재고 소진과 현지 생산 증대 사이에는 시차가 발생할 발생할 수밖에 없어 국내 생산 비중이 높은 일부 차종은 그 기간 타격이 불가피할 전망이다. 국내 2위 완성차업체이자 현대차그룹 계열사인 기아는 오는 25일 올해 1분기 실적을 발표한다. vivid@yna.co.kr ▶제보는 카톡 okjebo",2025. 4. 24. 06:31,http://v.daum.net/v/20250424063130093
석유·화학 불황에 HD현대케미칼 실적 부진 장기화 우려,"(지디넷코리아=류은주 기자)HD현대그룹의 조선·해운과 전력기기 사업은 업황 호조로 승승장구하고 있지만 화학 사업은 부진을 면치 못하고 있다. 13일 관련업계에 따르면 글로벌 경기 침체와 도널드 트럼프 대통령 관세 부과로 인한 불확실성까지 더해지며 국내 석유화학 업황은 올해도 회복이 어려울 전망이다. HD현대그룹의 대표적인 석유화학 계열사 HD현대케미칼도 경기 악화로 실적 부진을 면치 못하고 있다. HD현대케미칼은 지난 2014년 HD현대오일뱅크와 롯데케미칼이 합작해 만든 회사다. 양 사 지분율은 각각 60%, 40%로 HD현대오일뱅크가 모회사이며 롯데케미칼은 특수관계인으로 묶여 있다.  HD현대케미칼의 사업부문은 크게 정유, 혼합자일렌(MX), 중질유분해설비(HPC)로 나뉜다. 그 중 정유 부문이 전체 매출의 절반 가량을 차지하고 있다. 지난해 국제유가와 정유 제품 크랙은 중동의 지정학적 리스크 고조에 따라 일시적으로 상승했으나, 경기침체 우려로 전반적인 약세를 보였다. 벤젠과 MX 스프레드는 3분기 이후 중국 신증설에 따른 공급 증가 및 다운스트림 정기보수로 인한 수요 감소로 약세를 보였다. HPC 부문 주요 제품인 에틸렌초산비닐(EVA)은 태양광 수요 부진으로 스프레드 약세를 기록했고, 중국의 내수 침체와 역내 신증설 물량 증가로 인한 수급 불균형으로 폴리에틸렌(PE), 폴리프로필렌(PP) 제품 등 시황이 좋지 않았다. 그 결과 HD현대케미칼은 지난해 영업손실 1천502억원을 기록했다. 전년 대비 매출은 26.9% 증가했지만, 영업이익은 15억6천400만원에서 적자전환했다. 늘어난 매출은 모회사 HD현대오일뱅크와의 내부거래가 증가한 영향으로 분석된다. 사업보고서에 따르면 HD현대오일뱅크와의 내부거래로 발생한 지난해 매출은 4조4천723억원으로 2023년 3조3천324억원보다 전년대비 34% 증가했다. 재무건정성도 좋지 않다. 지난해 총 부채는 매입채무 증가로 4조3천335억원에 달한다. 부채비율도 268.99%로 전년 대비 47.22%p나 증가했다. 재무 개선을 위해 HD현대케미칼은 올해 초 회사채를 발행했으며 3천630억원의 자금을 확보했다. HD현대케미칼은 신규 사업 확장을 통해 실적 개선도 꾀하고 있다. 열분해유 처리 사업 규모를 오는 2030년까지 연 10만톤 규모로 확장할 계획이다. 지난해부터는 바이오 사업에도 진출해 폐식용유 및 대두유를 원료로 친환경 바이오 석유화학 제품을 생산하고 있다. 바이오 연료유(항공유·경유)로 포트폴리오 확장도 계획하고 있다. 다만, 지속가능항공유(SAF)시장은 아직 개화 단계로 수익성 개선으로 이어지기까지는 시간이 걸릴 것으로 보인다. 업계 관계자는 ""지금은 석유화학 업계가 전반적으로 힘든 시기를 겪는 상황""이라며 ""HD현대케미칼의 실적 반등 시점은 조금 더 지켜봐야 한다""고 말했다.  류은주 기자(riswell@zdnet.co.kr)",2025. 4. 13. 09:41,http://v.daum.net/v/20250413094137242
"[속보] 현대차, 1분기 실적 '역대 최대'...매출 44.4조 원 기록"," 현대차가 올해 1분기 매출 44조 원을 넘기면서 역대 최대 실적을 기록했다. 현대차는 2025년 1분기(1~3월) 매출은 44조4,078억 원으로 2024년 같은 기간과 비교해 9.2% 증가했다고 24일 밝혔다. 영업이익은 3조6,336억 원으로 지난해 같은 기간보다 2.1% 증가한 것으로 잠정 집계됐다. 순이익은 3조3,822억 원으로 0.2% 늘었다. 이상무 기자 allclear@hankookilbo.com",2025. 4. 24. 14:27,http://v.daum.net/v/20250424142703020
"현대차, 美 관세 적응력 시험대…오늘 1Q 실적 '매출 신기록' 예고"," (서울=뉴스1) 이동희 기자 = 현대자동차(005380)가 24일 올해 1분기 성적표를 공개한다. 원화 약세 효과 등으로 1분기 매출은 1년 만에 다시 역대 최대치를 기록할 것으로 보인다. 하지만 영업이익은 3조5000억 원대에 머물며 소폭 감소할 것으로 관측된다. 업계 관심사는 1분기 실적 콘퍼런스콜을 통해 미국 관세 여파를 어떻게 전망하느냐다. 미국은 지난 3일(현지시간)부터 외국산 자동차에 대해 25% 관세를 부과하고 있다. 현대차는 최대 시장인 미국 판매가를 약 두 달 동안 동결하겠다고 밝힌 바 있다. 24일 금융정보업체 에프엔가이드에 따르면 현대차의 올해 1분기 매출액은 43조4648억 원으로 추정된다. 이는 전년 대비 6.9% 증가하는 것으로 1분기 역대 최대 수준이다. 영업이익은 1년 전보다 0.9% 감소한 3조 5261억 원을 기록할 것으로 보인다. 증권가는 현대차의 지난 1분기 실적에 대해 견조한 판매와 우호적인 환율 영향 등으로 실적 호조를 이어갈 것이라고 전망했다. 현대차의 지난 1분기 전 세계 판매량은 99만 9626대로 전년 동기(100만 6706대) 대비 0.7% 감소했다. 박광래 신한투자증권 연구원은 ""하이브리드차 판매 증가와 환율 상승 효과 등으로 평균판매단가가 크게 올라 매출이 증가할 것""이라며 ""북미 인센티브 상승은 이익 감소에 일부 영향을 미칠 것""이라고 말했다.  시장과 업계의 관심은 2분기 이후 실적이다. 도널드 트럼프 대통령의 외국산 자동차 25% 관세 부과가 지난 3일부터 시행되고 있어서다. 관세 직격탄을 현대차가 얼마나 방어할 수 있을지가 최대 관심사다. 현대차는 이날 실적 발표와 함께 콘퍼런스콜을 진행할 계획이다. 현대차는 당장 미국 내 판매가격 인상 대신 재고를 활용해 시장 수요에 적극 대응하겠다는 목표다. 호세 무뇨스 현대차 대표이사 사장은 ""6월까지는 미국 내 판매되는 소비자가격을 인상하지 않을 것""이라며 ""가격은 시장이 조정하는 것으로 기업은 비용과 공급 등을 효율화해 소비자들에게 합리적인 가격에 최고의 제품을 제공하는 게 중요하다""고 말했다. 현재 현대차의 미국 재고는 2~3개월 수준으로 6월 이후에도 가격을 인상하지 않으면 25% 관세는 고스란히 실적에 악영향으로 돌아올 가능성이 높다. 여기에 시장 점유율 방어를 위한 인센티브 증가 역시 수익성에 부정적으로 작용할 것으로 보인다. KB증권은 최근 미국의 25% 관세 부과로 현대차의 연간 영업이익이 약 3조 4000억 원 감소할 것으로 전망했다. 현대차는 지난 3월 말 준공한 조지아주 신공장 '현대차그룹 메타플랜트 아메리카'(HMGMA) 생산력을 빠르게 끌어올려 관세 부담을 최소화할 계획이다. 일각에서는 미국의 관세 부과는 현대차의 공급망 관리 능력이 돋보일 수 있는 계기라는 분석과 함께 관세 완화 또는 철회 가능성도 조심스럽게 제기한다. 현대차그룹은 과거 코로나19 당시 차량 반도체 수급난을 빠르게 해소하며 판매 정상화와 글로벌 3위 도약 등 성과를 내기도 했다. 강성진 KB증권 연구원은 ""미국 관세 부과가 현대차의 공급망 관리 능력을 돋보이게 하는 계기가 될 수 있다""며 ""미국의 관세는 부품까지도 대상으로 하고 있어 미국 내 공급망 교란이 심각하게 일어날 가능성이 있다""고 말했다. 이어 ""현대차에도 공통적인 문제가 될 수 있으나 현대차는 코로나19 당시에도 다른 업체보다 빠르게 생산을 정상화하며 시장 점유율 상승과 대당 공헌이익 확대로 이어졌다""고 덧붙였다. yagoojoa@news1.kr",2025. 4. 24. 06:30,http://v.daum.net/v/20250424063009056
"KB증권 ""HD현대일렉트릭, 올해 실적 추정치 하향…목표가↓"""," 다만 최근 주가 하락으로 밸류에이션(평가가치) 매력이 커진 가운데 향후 트럼프 정부의 관세 영향이 제한적인 점은 긍정적이라며 투자의견은 '매수'로 유지했습니다. 정혜정 연구원은 ""HD현대일렉트릭의 올해 1분기 영업이익은 2천86억원으로 컨센서스(시장 평균 전망치)를 5% 하회할 것""이라며 ""단기간에 일부 반영되는 미국 관세 영향을 반영해 향후 이익 추정치를 소폭 낮춘다""고 밝혔습니다. 그러면서 올해 연간 영업이익 추정치를 기존 9천160억원에서 8천550억원으로 6.7% 하향했으며, 내년 추정치도 1조320억원에서 1조60억원으로 2.5% 하향 조정했습니다. 다만 ""최근 전력기기 산업에서의 가장 큰 리스크는 미국의 관세와 데이터센터 투자에 대한 속도 조절 우려였지만 회사는 이러한 리스크로 인한 영향이 상대적으로 제한적""이라며 ""이미 미국향 매출의 큰 부분을 미국 내 앨라배마 공장에서 공급하고 있어 보편 및 상호관세를 일부만 적용받게 된다""는 점을 근거로 들었습니다. 아울러 미국 시장에서의 견조한 수요도 데이터센터보다는 신재생 발전설비의 확대와 노후 설비 교체수요를 중심으로 발생하고 있어 데이터센터 투자가 다소 지연된다고 하더라도 수주 및 매출 증가세는 유지될 수 있다고 부연했습니다. 그러면서 ""미국의 관세 부과 이슈로 주가가 하락했으나 견조한 업황에는 변화가 없고 상대적으로 이슈에 대한 영향도 제한적이라는 점을 감안할 때 밸류에이션 매력이 확대되고 있다""고 설명했습니다. 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지",2025. 4. 21. 09:45,http://v.daum.net/v/20250421094506254
[그래픽] 현대차 실적 추이, (서울=연합뉴스) 김민지 기자 = 국내 1위 완성차업체인 현대차[005380]는 연결 기준 올해 1분기 매출이 전년 동기 대비 9.2% 늘어난 44조4천78억원으로 집계됐다고 24일 공시했다. 1분기 기준 역대 최대다. minfo@yna.co.kr X(트위터) @yonhap_graphics 페이스북 tuney.kr/LeYN1 ▶제보는 카톡 okjebo,2025. 4. 24. 14:18,http://v.daum.net/v/20250424141853553
