title,content,date,url
"HD현대일렉트릭, 역대급 실적에도 주가는 급락?…증권가 분석 엇갈려","전력기기 회사인 HD현대일렉트릭이 역대급 실적 발표에도 주가가 10% 가까이 하락했다. 증권가에서는 엇갈린 평가가 나온다. 하락폭이 과도하다는 평가와 함께 일각에선 이익률이 정점을 찍었다는 우려도 나온다.  한국거래소에 따르면 지난 22일 HD현대일렉트릭의 주가는 전날 대비 9.75% 빠진 30만1000원으로 마감했다. 시장이 의아해 한건 이날 HD현대일렉트릭이 역대급 실적을 발표했기 때문이다. HD현대일렉트릭의 연결 기준 1분기 매출액은 1조147억원으로 1년 전보다 26.7% 증가했다. 회사 분기 매출이 1조원을 넘은 것은 이번이 처음이다. 영업이익은 2182억원으로 69.4% 성장했다. 시장 컨센서스에 부합했으며 역시 사상 최고 수준이다. 영업이익률은 21.5%로 5.4%포인트 개선돼 전망치를 웃돌았다. 작년 4분기 고마진 전력기기 매출비중이 늘고, 북미향 매출 비중이 대폭 상승한 덕분이다. 수주 잔고는 13억4000만달러로 1년 전과 비교해 7.2% 줄었다. 그간 HD현대일렉트릭의 주가가 가파르게 올랐던 만큼 차익실현 매물로 추정된다. 이 점을 감안하더라도 증권가에선 낙폭이 과도하다는 의견이 나왔다. 대신증권은 '서프라이즈는 없었지만, 과도한 주가하락'이라는 제목의 종목 리포트를 발표했다. 허민호 대신증권 연구원은 ""향후 상호 관세 축소 또는 관세 부담을 100% 전가할 경우 실적 상향 조정이 가능하다""며 ""데이터센터 투자 버블, 인플레이션 감축법(IRA) 폐지에 따른 재생에너지 투자 축소, 관세 등 미국발 3종 우려를 해소하고 북미 외 지역에서 경쟁력을 확인했다""고 평가했다. 그러면서 목표가를 37만5000원에서 40만원으로 올렸다. LS증권은 '해프닝'에 불과하다고 봤다. 성종화 LS증권 연구원은 ""전일 급락은 관세 노이즈 등에 따른 2월 이후 조정 장세의 연장선이라고 보는게 더 설득력이 있다""며 ""불안정한 장세에서 심리적으로 조정의 빌미로 작용한 셈""이라고 분석했다. 성 연구원은 ""과도한 조정으로 밸류에이션 여력 재차 커졌다""며 ""트럼프발 뉴스에 따라 한두 차례 더 노이즈로 작용할 가능성은 있으나 관세 관련 조정 영향은 큰 줄기는 지나갔다고 판단한다""고 분석했다. 목표가는 48만원을 유지했다. 하나증권은 신규수주 감소를 지켜볼 필요는 있다고 봤지만, 수급 불균형이 여전하다는 측면에서 크게 우려할 부분은 아니라고 평가했다. 유재선 하나증권 연구원은 ""이번 분기 신규 수주가 전년대비 감소했지만 추세가 바뀌었다는 신호로 간주하기는 어렵다""며 ""AI 데이터센터 투자 감소에 대한 우려는 멀티플을 일시적으로 둔화시킬 수 있겠으나 실제 실적을 구성하는 송전, 발전, 배전 등 전방 시장 수요는 변화가 없다""고 밝혔다. 하나증권 역시 목표가를 기존 50만원으로 유지했다. 반면, 관세여파와 전력수요 피크아웃 전망을 바탕으로 목표가를 내려 잡은 곳도 있었다. 삼성증권은 이번 주가하락 원인을 이익률 피크아웃 우려를 지목했다. 고마진 북미 매출이 전분기 대비 2배 증가했지만 1분기 전사 영업이익률 개선 폭은 1.1%포인트에 불과하다는 지적이다. 이로 인해 향후 북미 매출 감소 시의 수익성 하락 리스크가 떠올랐다. 삼성증권은 ""비관론은 시기상조""라고 하면서도 목표주가를 50만2000원에서 47만4000원으로 하향했다. NH투자증권도 목표가를 50만원에서 44만원으로 대폭 내렸다. 전력기기 업종의 밸류에이션이 데이터센터 투자 축소, 트럼프 행정부의 상호관세 등 대외적인 우려로 1, 2월 평균 대비 15% 이상 하락했다는 설명이다. 마찬가지로 신한투자증권도 미국시장의 불확실성을 언급하며 목표가를 48만원에서 42만원으로 낮췄다. 키움증권도 48만원에서 40만원으로 내렸다. 백지현 (jihyun100@bizwatch.co.kr) ⓒ비즈니스워치의 소중한 저작물입니다. 무단전재와 재배포를 금합니다.",2025. 4. 23. 10:11,http://v.daum.net/v/20250423101103307
"'건설기계의 봄' 언제?…부동산 한파에 두산·HD현대, 1Q 실적 적신호"," 고금리와 글로벌 건설 경기 둔화가 이어지면서 건설기계 업계의 1분기 실적에도 적신호가 켜졌다. 증권가에서는 지난해 같은 기간에 비해 35~30% 가량 줄어든 실적을 예상한다. 미국의 금리 인하 가능성, 러시아-우크라이나 종전 가능성 등은 반등의 기회로 읽힌다. 18일 금융정보기업 에프앤가이드에 따르면 두산밥캣의 올해 1분기 영업이익은 2159억원으로 예상된다. 전망치대로라면 지난해 같은 기간 3260억원이 비해 33.8% 줄어든 실적을 거두게 된다. HD현대건설기계와 HD현대인프라코어의 1분기 영업이익 전망치는 각각 379억원, 688억원이다. 지난해 같은 기간에 비해 29.3%, 25.9% 감소한 수치다. 글로벌 부동산 시장 둔화와 인프라 확충 수요 감소가 지난해부터 이어지고 있어서다. 고금리 기조 장기화에 따라 건설 수요가 축소하면서 후방산업인 건설기계도 업황이 둔화했다. 한국건설기계산업협회에 따르면 지난해 건설기계 수출량은 5만6323대로 전년과 비교해 36.8% 감소했다. 전기차 캐즘(Chasm·일시적 수요 둔화)으로 리튬 등 광물 수요가 급감한 것도 건설기계 수요를 축소시켰다. 두산밥캣의 경우 주요 시장인 북미의 주택 착공이 줄어든 영향이 컸다. 미국 회사를 인수해 탄생한 두산밥캣은 북미 매출 비중이 70% 이상이다. 미국 인구조사국에 따르면 올해 1월과 2월 미국의 주택 착공 건수는 전년 동기 대비 각각 0.7%, 2.9% 감소했다. 고금리와 건설 비용 상승으로 주택 건설 시장이 위축된 결과다.  두산밥캣은 미국의 금리 인하 여부에 주목한다. 도널드 트럼프 행정부가 국가 부채 부담을 줄이려고 연방준비제도(연준)를 압박하고 있기 때문이다. 미국의 기준 금리가 내려가면 모기지(주택담보대출) 부담이 줄면서 주택 시장이 활기를 찾을 수 있다. 두산밥캣은 미국에 생산시설을 보유하고 있어 관세 부과 정책에서도 상대적으로 자유롭다는 이점도 있다. 반면 관세 영향권에 놓인 HD현대는 신흥시장에서 돌파구를 찾는다. 트럼프 대통령은 미국으로 수입되는 건설기계에 대해 중국산은 245%, 다른 국가는 10% 기본 관세를 부과했다. HD현대는 미국에 조립 시설만 보유하고 있어 관세로 인한 타격이 불가피한 상황이다. HD현대는 인도 등 신흥 시장에서의 매출 비중을 2023년 기준 44%까지 늘려왔는데 이 지역의 중요성이 더욱 커지게 됐다. 특히 HD현대는 러시아-우크라이나 종전 여부를 주시한다. HD현대의 건설기계 부문 중간지주회사 HD현대사이트솔루션은 지난해 9월 우크라이나 키이우에 지사를 설립하는 등 전쟁 종식 이후를 대비해왔다. 조영철 HD현대사이트솔루션 사장은 ""우크라이나 정부 측과 꾸준히 소통하고 있다""며 ""복구 사업이 새로운 기회를 제공하는 건 사실이지만 과도한 기대를 갖는 건 경계하면서 대응하고 있다""고 밝혔다. 김도균 기자 dkkim@mt.co.kr",2025. 4. 18. 06:11,http://v.daum.net/v/20250418061101143
석유·화학 불황에 HD현대케미칼 실적 부진 장기화 우려,"(지디넷코리아=류은주 기자)HD현대그룹의 조선·해운과 전력기기 사업은 업황 호조로 승승장구하고 있지만 화학 사업은 부진을 면치 못하고 있다. 13일 관련업계에 따르면 글로벌 경기 침체와 도널드 트럼프 대통령 관세 부과로 인한 불확실성까지 더해지며 국내 석유화학 업황은 올해도 회복이 어려울 전망이다. HD현대그룹의 대표적인 석유화학 계열사 HD현대케미칼도 경기 악화로 실적 부진을 면치 못하고 있다. HD현대케미칼은 지난 2014년 HD현대오일뱅크와 롯데케미칼이 합작해 만든 회사다. 양 사 지분율은 각각 60%, 40%로 HD현대오일뱅크가 모회사이며 롯데케미칼은 특수관계인으로 묶여 있다.  HD현대케미칼의 사업부문은 크게 정유, 혼합자일렌(MX), 중질유분해설비(HPC)로 나뉜다. 그 중 정유 부문이 전체 매출의 절반 가량을 차지하고 있다. 지난해 국제유가와 정유 제품 크랙은 중동의 지정학적 리스크 고조에 따라 일시적으로 상승했으나, 경기침체 우려로 전반적인 약세를 보였다. 벤젠과 MX 스프레드는 3분기 이후 중국 신증설에 따른 공급 증가 및 다운스트림 정기보수로 인한 수요 감소로 약세를 보였다. HPC 부문 주요 제품인 에틸렌초산비닐(EVA)은 태양광 수요 부진으로 스프레드 약세를 기록했고, 중국의 내수 침체와 역내 신증설 물량 증가로 인한 수급 불균형으로 폴리에틸렌(PE), 폴리프로필렌(PP) 제품 등 시황이 좋지 않았다. 그 결과 HD현대케미칼은 지난해 영업손실 1천502억원을 기록했다. 전년 대비 매출은 26.9% 증가했지만, 영업이익은 15억6천400만원에서 적자전환했다. 늘어난 매출은 모회사 HD현대오일뱅크와의 내부거래가 증가한 영향으로 분석된다. 사업보고서에 따르면 HD현대오일뱅크와의 내부거래로 발생한 지난해 매출은 4조4천723억원으로 2023년 3조3천324억원보다 전년대비 34% 증가했다. 재무건정성도 좋지 않다. 지난해 총 부채는 매입채무 증가로 4조3천335억원에 달한다. 부채비율도 268.99%로 전년 대비 47.22%p나 증가했다. 재무 개선을 위해 HD현대케미칼은 올해 초 회사채를 발행했으며 3천630억원의 자금을 확보했다. HD현대케미칼은 신규 사업 확장을 통해 실적 개선도 꾀하고 있다. 열분해유 처리 사업 규모를 오는 2030년까지 연 10만톤 규모로 확장할 계획이다. 지난해부터는 바이오 사업에도 진출해 폐식용유 및 대두유를 원료로 친환경 바이오 석유화학 제품을 생산하고 있다. 바이오 연료유(항공유·경유)로 포트폴리오 확장도 계획하고 있다. 다만, 지속가능항공유(SAF)시장은 아직 개화 단계로 수익성 개선으로 이어지기까지는 시간이 걸릴 것으로 보인다. 업계 관계자는 ""지금은 석유화학 업계가 전반적으로 힘든 시기를 겪는 상황""이라며 ""HD현대케미칼의 실적 반등 시점은 조금 더 지켜봐야 한다""고 말했다.  류은주 기자(riswell@zdnet.co.kr)",2025. 4. 13. 09:41,http://v.daum.net/v/20250413094137242
"KB증권 ""HD현대일렉트릭, 올해 실적 추정치 하향…목표가↓"""," 다만 최근 주가 하락으로 밸류에이션(평가가치) 매력이 커진 가운데 향후 트럼프 정부의 관세 영향이 제한적인 점은 긍정적이라며 투자의견은 '매수'로 유지했습니다. 정혜정 연구원은 ""HD현대일렉트릭의 올해 1분기 영업이익은 2천86억원으로 컨센서스(시장 평균 전망치)를 5% 하회할 것""이라며 ""단기간에 일부 반영되는 미국 관세 영향을 반영해 향후 이익 추정치를 소폭 낮춘다""고 밝혔습니다. 그러면서 올해 연간 영업이익 추정치를 기존 9천160억원에서 8천550억원으로 6.7% 하향했으며, 내년 추정치도 1조320억원에서 1조60억원으로 2.5% 하향 조정했습니다. 다만 ""최근 전력기기 산업에서의 가장 큰 리스크는 미국의 관세와 데이터센터 투자에 대한 속도 조절 우려였지만 회사는 이러한 리스크로 인한 영향이 상대적으로 제한적""이라며 ""이미 미국향 매출의 큰 부분을 미국 내 앨라배마 공장에서 공급하고 있어 보편 및 상호관세를 일부만 적용받게 된다""는 점을 근거로 들었습니다. 아울러 미국 시장에서의 견조한 수요도 데이터센터보다는 신재생 발전설비의 확대와 노후 설비 교체수요를 중심으로 발생하고 있어 데이터센터 투자가 다소 지연된다고 하더라도 수주 및 매출 증가세는 유지될 수 있다고 부연했습니다. 그러면서 ""미국의 관세 부과 이슈로 주가가 하락했으나 견조한 업황에는 변화가 없고 상대적으로 이슈에 대한 영향도 제한적이라는 점을 감안할 때 밸류에이션 매력이 확대되고 있다""고 설명했습니다. 저작권자 SBS미디어넷 & SBSi 무단전재-재배포 금지",2025. 4. 21. 09:45,http://v.daum.net/v/20250421094506254
"전력 호황 HD현대일렉, 1Q 실적 ‘훨훨’…분기 매출 첫 1조 돌파","(지디넷코리아=류은주 기자)HD현대 전력기기 및 에너지솔루션 계열사인 HD현대일렉트릭이 1분기 역대 최대 매출을 기록했다. HD현대일렉트릭은 22일 공시를 통해 2025년 1분기 매출 1조 147억원, 영업이익 2천182억원을 기록했다고 밝혔다. 전년 동기 대비 매출은 26.7%, 영업이익은 69.4% 늘어났다. HD현대일렉트릭의 분기 매출이 1조원을 넘긴 것은 이번이 처음이다. 매출의 경우 글로벌 전력인프라 투자 확대에 힘입어 전력기기 및 회전기기 매출이 전년 동기 대비 46.1%, 17.1% 증가했다.  영업이익률은 수익성이 양호한 북미 지역 매출 증가와 선별 수주 전략의 효과로 21.5%를 달성했다. 1분기 수주는 전분기 대비 68.8% 상승한 13억 3천500만 달러를 기록했다. 총 수주잔고는 61억 5천500만 달러로, 이는 직전 분기와 비교해 11.1% 증가한 수치다. HD현대일렉트릭 관계자는 “미국의 관세 부과 조치로 글로벌 통상환경의 불확실성이 지속되고 있으나, 북미 내 전력기기 수요는 노후 설비 교체 및 인공지능(AI) 인프라 확대 기조에 힘입어 안정적인 성장세를 이어갈 것으로 전망된다“며 ""국내외 생산 거점을 활용해 북미 시장은 물론 유럽, 아시아 등 글로벌 시장 다변화에 박차를 가할 계획이다""고 밝혔다. 류은주 기자(riswell@zdnet.co.kr)",2025. 4. 22. 14:16,http://v.daum.net/v/20250422141658330
"현대차·기아, 미국 관세 여파에도 1분기 실적 선방하나"," (서울=연합뉴스) 김보경 기자 = 국내 1, 2위 완성차업체인 현대차, 기아가 오는 24일과 25일 연이어 올해 1분기 실적을 발표한다. 두 업체는 도널드 트럼프 미국 행정부의 25% 자동차 관세 직격탄을 맞았지만, 단기적으로 가격 인상 없이 현지 재고로 대응하며 실적을 방어 중이다. 관세 장기화 시 실적 타격은 불가피하나 현대차그룹이 코로나19 당시 벌어진 반도체 수급난을 빠르게 수습한 이력이 있어 이번 관세에 따른 공급망 혼란이 기회가 될 수 있다는 전망도 나오고 있다. 23일 연합뉴스가 연합인포맥스 시스템을 이용해 증권업계의 최근 석 달 치 전망을 분석한 결과 현대차의 올해 1분기 매출과 영업이익 전망치는 각각 43조4천352억원, 3조5천430억원으로 집계됐다. 예상 영업이익률은 8.2%였다. 이는 작년 동기 실적(매출 40조6천585억원·영업이익 3조5천574억원)보다 매출은 6.8% 증가하고, 영업이익은 0.4% 감소한 수치다. 같은 그룹사인 기아의 올해 1분기 매출과 영업이익 전망치는 27조8천101억원, 3조2천287억원이었다. 영업이익률은 11.6%로 전망됐다. 기아가 작년 1분기에 매출 26조2천129억원, 영업이익 3조4천257억원을 기록한 것을 고려하면 이번 1분기 전망치는 매출은 6.1% 늘고, 영업이익은 5.8% 줄었다.  자동차 업계에서는 미국의 자동차 관세라는 대형 악재에도 현대차·기아가 현지 재고를 바탕으로 선방하고 있다는 평가가 나온다. 하지만 재고량은 2∼3개월 내 소진될 가능성이 커 관세 효과가 본격화될 시 타격이 불가피하다는 것이 업계의 중론이다. 밀어내기를 위해 현지 인센티브가 높아지는 것도 수익성에는 악영향을 미칠 전망이다. 앞서 KB증권은 미국의 25% 자동차 관세 부과로 현대차와 기아 영업이익이 각각 3조4천억원, 2조3천억원 줄 것으로 추정했다. 이에 현대차그룹은 현대차 앨라배마공장, 기아 조지아 공장, '현대차그룹 메타 플랜트 아메리카'(HMGMA)의 총생산 규모를 120만대까지 끌어올려 현지 생산으로 관세에 대응할 방침이다. 또 무차별적 자동차 관세는 결국 미국 소비자들의 부담으로 귀결될 가능성이 커 철회되거나 완화될 가능성도 존재한다. 여기에다 현대차그룹은 코로나19 자동차 반도체 수급난 당시 다른 경쟁사 대비 공급망을 빠르게 안정시키며 글로벌 완성차 3위 그룹으로 부상했던 전력이 있어 상황이 아주 비관적이지 않다는 전망도 제기된다. KB증권 강성진 연구원은 ""미국의 관세는 부품까지 대상으로 하고 있어 미국에서 심각한 공급망 교란을 야기할 수 있어 현대차그룹의 공급망 관리 능력을 돋보이게 하는 계기가 될 수 있다""며 ""현대차그룹 코로나19나 반도체 부족에 따른 공급망 교란에서 다른 업체들 대비 생산을 빠르게 정상화해 시장 점유율을 상승시킨 적이 있다""고 말했다. vivid@yna.co.kr ▶제보는 카톡 okjebo",2025. 4. 23. 06:01,http://v.daum.net/v/20250423060104834
부동산 한파에 '건설기계' 혹한기… 두산·HD현대 1분기 실적 '비상'," 17일 금융정보기업 에프앤가이드에 따르면 두산밥캣의 올해 1분기 영업이익 컨센서스(증권가 전망치)는 2159억원으로 전년 동기(3260억원) 대비 33.8% 감소할 것으로 예상된다. HD현대인프라코어와 HD현대건설기계의 영업이익은 각각 688억원, 379억원으로 전망돼 지난해 같은 기간보다 25.9%, 29.3%씩 줄어들 것으로 보인다. 건설기계 업계는 글로벌 부동산시장 부진과 둔화한 각국의 인프라 확충으로 실적이 악화했다. 코로나19 이후 공급된 유동성으로 2021년부터 호황에 접어들었으나, 고금리 기조가 장기화하고 건설 수요가 줄면서 지난해부터 수출이 급감했다. 한국건설기계산업협회에 따르면 지난해 건설기계 수출량은 5만6323대로 전년 대비 36.8% 감소했다. 두산밥캣은 주요 시장인 북미의 주택 착공이 줄면서 영업에 지장이 있었다. 미국 인구조사국에 따르면 올해 1월 미국의 주택 착공 건수는 136만6000호로 지난해 같은 기간(137만6000호)과 견줘 0.7% 감소했다. 2월은 150만1000호로 전년 동기(154만6000호)보다 2.9% 줄었다. 고금리와 건설 비용 상승으로 주택 건설 시장이 위축된 결과로, 3월 주택 착공 건수 역시 지난해에 미치지 못했을 것으로 분석된다.  현재는 수요 부진과 공급 과잉으로 리튬 가격이 내려가 중남미 등에서 광산 개발이 정체된 상태다. 한국자원정보서비스(KOMIS) 기준 지난 15일 탄산리튬 가격은 kg당 69.70위안으로 2022년 이후 최저 수준이다. 리튬 가격이 바닥을 찍었다는 평가가 나오지만 상반기까지 반등은 어려울 것으로 관측된다. 두산밥캣은 미국의 금리 인하 소식을 기다린다. 트럼프 행정부는 국가 부채 부담을 줄이기 위해 연준에 금리 인하를 압박하고 있다. 미국 기준 금리가 하락하면 모기지(주택담보대출) 부담이 줄면서 미국 주택 시장이 활기를 찾을 것으로 기대된다. 두산밥캣은 이미 미국에 생산시설을 구축한 만큼 트럼프 행정부의 관세 부과에서도 상대적으로 자유롭다. 두산밥캣은 콤팩트 장비의 대부분을 미국에서 생산 중이다. 부품의 경우에도 엔진과 유압 부품 등 10~12%를 한국에서 수입하고 있어 관세 영향이 제한적이다. HD현대인프라코어는 엔진사업으로 건설기계 부문의 부진을 상쇄하고 있다. 선진시장과 중국 향 건설기계 수요는 위축됐지만 수익성이 높은 방산과 발전기용 엔진 매출은 증가하는 추세다. 발전기용 엔진은 글로벌 데이터센터 구축에 따른 성장이 전망된다. HD현대인프라코어는 지난해 12월 1412억원 규모의 군산공장 내 엔진공장 증설을 발표했다. 증설이 완료되면 방산용 120대, 초대형(최대 3MW급) 발전기용 1250대의 추가 생산 효과가 기대된다. HD현대건설기계는 중국 창저우 공장 생산을 중단하고 옌타이법인으로 통합하며 내실을 다지고 있다. 옌타이법인으로 생산을 통합해 원가를 절감하고 생산과 판매 효율을 높인다는 방침이다. 최유빈 기자 langsam41@mt.co.kr",2025. 4. 17. 06:01,http://v.daum.net/v/20250417060125118
“북미 지역 올해도 안정적 수주 실적 기대”-HD현대일렉트릭 컨콜,"[이데일리 김은경 기자] “북미 지역은 올해도 높은 수요 바탕으로 안정적 수주 실적 기대하고 있다. 1분기 북미 매출은 3889억원으로 전분기 대비 113.9%, 전년 동기 대비 74.7% 증가했다. 전분기 이연된 전력 변압기 프로젝트 매출이 반영되며 매출과 수익성 성장에 기여했다.”-22일 HD현대일렉트릭(267260) 2025년 1분기 실적발표 컨퍼런스콜.  김은경 (abcdek@edaily.co.kr)",2025. 4. 22. 14:10,http://v.daum.net/v/20250422141048016
"현대차·기아, 1분기 또 역대급 실적…2분기 관세 해법은?"," [서울=뉴시스]이창훈 기자 = 현대차·기아가 올해 1분기에 국내외 판매 호조와 우호적인 원·달러 환율 등에 힘입어 역대급 실적을 달성할 전망이다. 문제는 현대차·기아가 2분기부터 미국 관세 부과로 직접적인 타격을 받는다는 점이다. 관세 부과에 따른 비용 증가에 영업이익 감소 규모가 1조원을 넘을 것이란 우려까지 나온다. 이에 따라 현대차·기아가 미국의 관세 부담을 어떤 식으로 돌파할 지 관심이 쏠린다. 22일 업계에 따르면 현대차·기아는 각각 24일과 25일 1분기 실적을 발표하는 가운데, 지난 1분기에도 성장세를 이어갈 전망이다. 금융정보업체 에프앤가이드에 따르면 현대차의 1분기 실적 컨센서스(증권사 3개월 추정치 평균)는 매출액 43조4705억원, 영업이익 3조5370억원이다. 이는 지난해 1분기보다 매출은 3조원 이상 증가한 수치이며, 영업이익은 유사한 규모다. 이로써 현대차의 올 1분기 실적은 역대 최대였던 지난해 1분기 매출을 또 한번 뛰어넘을 전망이다. 기아의 1분기 실적 컨센서스는 매출액 27조8115억원, 영업이익 3조2295억원으로 나타났다. 지난해와 비슷한 영업이익을 유지하는 가운데, 매출액은 1조원 넘게 증가할 수 있다. 현대차·기아가 올해 1분기에도 이처럼 성장을 이어가는 배경은 국내외 판매 호조와 우호적인 환율 영향 때문이다. 현대차의 1분기 국내외 판매량 99만9626대로, 지난해 1분기보다 0.7% 소폭 감소해 선방했다. 기아의 1분기 판매량도 77만2351대로, 1분기 기준 최다 판매량을 달성했다. 문제는 올 2분기 실적이다. 미국은 지난 3일부터 수입산 자동차에 25%의 관세를 부과하고 있다. 지난해 기준 현대차·기아가 국내서 생산해 미국에 수출한 차량은 약 101만대다. 이는 미국 전체 판매량의 57%에 달하는 규모다. 그만큼 관세 부과에 따른 비용 부담이 늘어날 수 있다. 당장 2분기에만 1조원 이상 영업이익이 감소할 것이라고 우려하는 목소리가 나온다.  이미 지난달 말 미국 조지아주에 준공한 현대차그룹 메타플랜트 아메리카(HMGMA)를 최대한 활용해 미국 생산량을 대폭 늘린다는 구상이다. HMGMA의 미국 판매량은 1월 1623대에서 3월 5335대로 3배 넘게 급증했는데, 이달에만 1만대 이상 판매고를 올릴 조짐이다. 특히 현대차그룹은 HMGMA의 연간 생산량을 30만대에서 50만대로 빠르게 늘릴 예정이다. KB증권은 HMGMA가 연간 50만대를 생산하면 현대차의 연간 영업이익이 관세 부과 이전보다 5000억원 증가할 것이라고 전망했다. 여기에 현대차그룹이 포스코그룹, 미국 제너럴모터스(GM) 등과 포괄적 협력을 꾀하는 것도 미국 생산 속도를 더 높일 수 있는 요인이다. 업계 관계자는 ""현대차그룹이 포스코그룹과 미국 제철소 구축, 전기차 소재 등에서 협력하고 GM과는 차량 개발 및 생산 등에서 힘을 합치고 있다""며 ""현대차그룹이 경쟁사와 광범위한 협력으로 미국 내 자동차 생산과 현지 부품 조달 규모를 더 빠르게 늘릴 것이다""고 말했다. ☞공감언론 뉴시스 hun88@newsis.com",2025. 4. 22. 13:32,http://v.daum.net/v/20250422133231519
"[클릭 e종목]""현대로템, 꾸준한 실적 성장…목표가↑""","메리츠증권은 18일 현대로템에 대해 꾸준한 실적 성장에 수주 기대감까지 더해지고 있다고 보고 목표주가를 기존 9만6000원에서 14만원으로 상향 조정했다. 투자의견은 '매수'를 유지했다. 이지호 메리츠증권 연구원은 ""적용 주당순자산가치(BPS) 및 적용 주가순자산비율(PBR)의 상승을 반영, 적정주가를 45.8% 상향 조정한다""면서 ""현대로템은 꾸준한 실적 성장에 더해 대규모 수주 및 추가 수출국 확보를 눈앞에 두고 있으며 동시에 유럽이 주도하는 방산업종 멀티플 상승기를 맞이하고 있다""고 설명했다. 현대로템의 올해 1분기 실적은 시장 기대치에 부합할 것으로 전망된다. 이 연구원은 ""1분기 매출액 1조2100억원, 영업이익 1889억원을 기록해 컨센서스(증권사 전망치 평균)에 부합할 것""이라며 ""안정적인 실적 성장세를 유지할 것으로 예상된다""고 말했다. 2026년까지 높은 수익성이 유지될 것이란 분석이다. 이 연구원은 ""이번 분기 폴란드향 K2 인도량은 26대로 연간 인도 목표치인 96대 달성이 무리없이 가능할 것으로 보여진다""면서 ""폴란드 2차 계약 성사 시 2026년 이후 물량 또한 확보되며 수출 공백기에 대한 우려도 없어질 것으로 예상된다. 현지 생산이 본격화되는 2026년 하반기 전까지 높은 수익성이 유지될 것""이라고 내다봤다. 추가 수출국 확보를 통한 디스카운트 해소가 기대된다. 이 연구원은 ""현대로템은 가파르게 성장하는 실적에도 불구하고 국내 방산기업 중 가장 낮은 주가수익비율(PER)을 기록하고 있는데 이는 여전히 부족한 수출국에 기인하는 것으로 보이며 점차 해소의 실마리가 관측될 것""이라며 ""폴란드 2차 계약에 이어 루마니아 계약 체결 기대감이 높고 최근 슬로바키아는 폴란드에서 제조된 K2 전차 구매 의향서를 체결하며 잠재 수주 국가에 이름을 올렸다. 이외에도 부품 국산화를 바탕으로 한 중동 진출 또한 가능하기에 중장기 수출국 다변화를 통한 멀티플 디스카운트 해소가 기대된다""고 말했다.  송화정 기자 pancake@asiae.co.kr",2025. 4. 18. 07:44,http://v.daum.net/v/20250418074427381
