title,content,date,url
"현대차, 부산시에 무공해 수소청소차 공급","  [서울=뉴시스]유희석 기자 = 현대차가 부산시의 수소청소차 전환사업에 맞춰 무공해 수소 차량을 공급한다. 현대차는 5일 부산시청 야외 주차장에서 열린 '부산광역시 수소청소차 도입 시민공개행사'에서 향후 공급 예정인 수소청소차 2종을 공개했다. 행사에는 박형준 부산시장, 신승규 현대차 에너지&수소정책담당(전무), 홍정호 현대차 부산지역본부장(상무) 등 주요 관계자들이 참석했다. 부산시 수소청소차 전환사업은 노후 경유 청소차를 무공해 수소차로 교체하는 정책이다. 대기 환경 개선과 수소 에너지 기반 순환경제 도시로의 전환을 목표로 추진된다. 부산시는 이번 사업을 통해 2028년까지 총 65대의 수소청소차를 도입할 계획이며, 현대차는 이에 맞춰 차량을 생산해 부산시 내 자치구에 순차적으로 공급할 예정이다. 이날 공개된 차량은 엑시언트 수소전기트럭을 기반으로 특장업체 에이엠특장이 제작한 '암롤트럭'과 '압축진개차' 2종이다. '암롤트럭'은 생활폐기물과 재활용품 등 다양한 폐기물을 운반하는 데 활용되며, '압축진개차'는 부피가 큰 폐기물을 압축해 수거할 수 있다. 두 차량 모두 배출가스를 발생시키지 않으며, 1회 충전으로 최대 380㎞를 주행할 수 있다. 충전 시간이 짧으면서도 긴 주행거리를 확보할 수 있다는 점이 특징이다. 엔진 소음과 진동이 적은 수소청소차는 작업자의 근무 환경 개선에도 긍정적인 효과를 낼 것으로 기대된다. 현대차는 올해 동구, 동래구, 수영구, 영도구 등 4개 자치구에 총 5대를 공급하고, 내년부터 강서구, 남구, 부산진구 등으로 공급 지역을 확대할 계획이다. 현대차 관계자는 ""수소청소차를 적기에 생산·공급해 부산시의 대기 환경 개선과 순환경제 도시 실현에 기여하겠다""고 말했다. ☞공감언론 뉴시스 heesuk@newsis.com",2025. 6. 5. 15:00,http://v.daum.net/v/20250605150009114
HD현대중공업 ‘울산태화호’ 성능 업그레이드 한다," 울산태화호는 울산시와 산업통상자원부가 발주해 지난 2022년 HD현대미포가 건조했다. HD현대중공업과 울산정보산업진흥원은 울산태화호에 탑재된 기존 '선체 구조건전성 모니터링 시스템'의 성능을 한 단계 높이는 공동연구를 수행하기로 했다. 선체 구조건전성 모니터링 시스템은 선박의 구조강도가 파도와 바람 등 해상의 상태를 버티기에 충분한지, 어느 정도의 하중을 받고 있는지 등을 실시간 측정하고 데이터를 수집·분석해 선박의 안전한 운항을 돕는다. HD현대중공업과 울산정보산업진흥원은 공동연구로 분석 알고리즘을 대폭 개선해 시스템의 신뢰도를 고도화하고, 측정 센서가 부착되지 않은 위치에서도 구조건전성이 정확히 평가될 수 있도록 다양한 실증·개선 작업을 수행할 예정이다. HD현대중공업은 ICT·데이터 분석 역량을 바탕으로 알고리즘 고도화와 시스템 개선을 주도하고, UIPA는 울산태화호의 운용 전반과 현장 적용에 대한 실증을 담당한다. 양 기관은 이를 통해 스마트 선박·자율운항 기술의 기반을 더욱 공고히 할 수 있을 것으로 기대한다. 또한 이번 공동연구를 통해 개선된 시스템은 HD현대중공업이 건조하는 '카타르 LNG운반선 프로젝트'에도 탑재될 예정이다. 류홍렬 HD현대중공업 조선사업부 기술본부장은 ""이번 공동연구를 통해 선박 구조 안전 분야의 디지털 전환을 한층 더 앞당길 수 있을 것으로 기대한다""며 ""축적된 기술력과 데이터 분석 역량을 바탕으로 더 안전하고 효율적인 선박 운항 환경을 구현하겠다""고 말했다. 장병태 울산정보산업진흥원 원장은 ""실제 운항 선박을 기반으로 기술을 실증하고 개선할 수 있다는 점에서 이번 연구는 의미가 크다""며 ""현장성과 기술성을 동시에 갖춘 연구 협력 모델로 향후 울산이 스마트 조선 분야에서 중심 역할을 하도록 지원을 아끼지 않겠다""고 말했다. 서정혜기자 sjh3783@ksilbo.co.kr",2025. 6. 5. 00:24,http://v.daum.net/v/20250605002436804
"꿈틀대는 中건설기계 시장...HD현대인프라, HD현대건설기계 올들어 판매량 30~40% 증가"," 중국 건설기계 시장이 살아날 조짐을 보이면서 HD현대인프라코어, HD현대건설기계 등 국내 건설기계 업체들이 준비태세를 갖추고 있다. 세계 최대 건설기계 시장인 중국내 판매가 늘어난다면, 중동, 미국 등을 기반으로 국내 건설기계업이 성장세를 이어갈 수있을것이란 관측이다. 6일 건설기계 업계에 따르면 올해 1~4월 중국 굴착기 전체 판매량은 4만9139대였다. 전년 동기대비 32% 늘어난 수치다. HD현대인프라코어와 HD현대건설기계의 판매량도 늘어났다. HD현대인프라코어는 '디벨론' 브랜드의 굴착기를, HD현대건설기계는 '현대' 브랜드의 굴착기를 생산하는데 각각 1177대, 966대를 판매했다. 지난해 같은 기간과 비교하면 디벨론은 47.9%, 현대는 36.1% 증가했다. 자연스레 중국 매출도 증가세다. HD현대인프라코어의 올해 1분기 중국매출은 전년동기 대비 20.8%, HD현대건설기계는 33.3% 늘어났다. 2분기 역시 유사한 수준의 성장세를 이어갈 것이란 관측이다. 그동안 중국 건설기계 시장은 부동산 경기침체로 부진을 이어왔다. 하지만 올들어 주택담보대출 금리 인하, 주택 구매 제한 완화, 세금감면 등 부동산 진흥정책을 내놓고 있고, 낡은 제품을 새것으로 교체하는 경우 자금을 지원하는 '이구환신' 등 경기부양 정책 등으로 건설기계 수요도 늘어나고 있다는 분석이다. 중국 건설기계들의 교체시점이 도래했다는 분석도 나온다. 굴착기의 교체주기는 일반적으로 약 10년이다. 부동산 시장이 가장 활황이었던 2013~2015년 구입된 건설기계의 대규모 교체가 이뤄지기 시작했다는 분석이다. HD현대인프라코어, HD현대건설기계 등은 중국 비중을 대폭 늘릴 수 있는 기회로 보고 있다. 아직 중국 부동산 시장이 얼마나 회복할지 확실하지 않지만, 점진적으로 나아질 것이란 관측이 강하다. HD현대 그룹의 중국 매출 비중은 한때 30%에 달했지만 현재는 8% 수준까지 떨어졌다. 현재 중국 시장 점유율은 4%대다. 세계 최대 시장인 중국의 회복에 발맞춰 점유율까지 늘린다면 실적 성장에 큰 역할을 할 것이란게 회사의 전망이다. HD현대인프라코어, HD현대건설기계는 마케팅늘 강화하기 위해 딜러망을 점검하고 있다. 아직 판매가 많지 않은 내몽고·신장위구르 지역 등에 대한 판매량을 집중적으로 늘리겠다는 계획이다. 성상훈 기자 uphoon@hankyung.com",2025. 6. 6. 16:20,http://v.daum.net/v/20250606162002500
"더현대 대구 x 현대홈쇼핑, ‘그랜드 뷰티&패션 페스타’ 진행"," 더현대 대구에서는 오는 12일까지 지하 1층 이벤트플라자 지하 2층 팝업스테이지에서 ‘현대홈쇼핑 그랜드 뷰티&패션 페스타’를 진행한다. 지하 1층 이벤트플라자에서는 아르마니부터 지미추 외 해외 유명 패션브랜드 50개 이상 브랜드가 참여하며, 지하 2층 팝업스테이지에서도 현대홈쇼핑 인기 뷰티 브랜드 상품들을 최초 판매가 대비 최대 90% 할인된 가격에 판매한다. 또 더현대 대구 SNS(@thehyundai_daegu) 팔로워 고객 중 오늘의 룩을 해시태그와 함께 업로드하면 5% 할인 혜택을 주는 ‘OOTD(Outfit Of The Day) 인증 이벤트’도 함께 진행한다. 더현대 대구 관계자는 “다양한 패션, 뷰티 브랜드들을 오직 더현대 대구에서 파격적인 가격에 만나볼 수 있는 좋은 기회가 될 것이라 기대한다”고 말했다. /장은희기자 jangeh@kbmaeil.com",2025. 6. 6. 14:02,http://v.daum.net/v/20250606140220978
추상화로 풀어낸 현대미술의 서사…갤러리현대 55년 인연을 반추하다 [Weekend 문화],"""이번 55주년 특별전 2부 본관에서는 한국에서 태어나 일제 강점기 일본 유학을 다녀온 세대에서 시작한다. 인생을 건 모험의 여정을 택했던 작가들의 작품까지 한국 현대 미술사에 큰 족적을 남긴 작가들의 작품을 만나볼 수 있다. 신관에서는 세계 각지를 거주지로 삼으며 현대 미술의 다양한 맥락 안에서 독자적이고 독창적인 작품 세계를 구축하는 작가들의 작품을 선보인다."" (도형태 갤러리현대 대표) 한국 현대미술의 추상화 흐름과 세대 간 미학의 확장을 조망하는 갤러리현대 개관 55주년 기념 특별전이 서울 종로구 삼청동에서 펼쳐진다. 갤러리현대는 본관과 신관 전관에서 오는 7월 6일까지 '55주년: 한국 현대미술의 서사' 전(展) 2부를 개최한다. 이번 특별전 2부는 지난 4월 열린 1부에 이어, 갤러리현대와 오랜 인연을 이어온 주요 작가들의 작품을 중심으로 소개한다. 특히 2부 전시는 1부가 조명했던 구상·반구상 중심의 전통 회화 흐름과 이어지며 본관은 한국 추상미술의 역사와 기원, 신관은 오늘의 시각 언어와 작가 지형을 종합적으로 구성했다. 본관에서는 1970년대 후반부터 현대화랑에서 개인전을 가진 추상회화 중심 작가 22인의 대표작 40여점이 전시된다. 이성자, 김창열, 이응노, 남관, 한묵 등 프랑스를 중심으로 활동한 재불 작가들과 완전한 추상 양식을 발전시킨 유영국, 김환기, 곽인식, 이우환 등의 작품이 포함된다. 이성자는 1974년 현대화랑에서 천경자에 이은 여성 작가로 개인전을 가진 바 있으며 김환기는 뉴욕 시절의 전면점화 작품을 중심으로 1977년 현대화랑 회고전을 통해 국내에 본격적으로 소개됐다. 곽인식과 이우환은 각각 한일 교류의 매개이자 모노하 및 단색화 세대의 핵심 인물로 평가된다. 추상 회화 외에도 조각·설치·문자추상·기하학적 추상 등 다양한 추상 미학의 스펙트럼이 구성되며 이들의 작업은 한국 현대미술사 내에서 추상이 어떻게 지역성과 실험성을 포괄해 왔는지를 보여준다.  또 다른 대표작 김환기의 '무제 15-VII-70 #181(1970)'는 한국 추상미술의 대표적 작품으로, 코튼에 유채로 그려진 73×36㎝ 크기의 전면 점화(點畵)다. 이 작품은 화면 전체를 촘촘하게 점으로 채우는 김환기 특유의 점화 양식이 잘 드러난다. 김환기는 점을 단순한 시각적 요소가 아닌 밤하늘의 별과 인간의 삶, 우주적 순환 등 동양적 사유와 자연에 대한 그리움을 담아 반복적으로 찍어낸 특징이 있다.  신관 전시는 1950년대생부터 1980년대생까지 작가 18인의 대표작 50여점을 통해 구상, 추상, 미디어, 사진 등 장르 확장을 보여준다. 김보희, 최민화, 박민준, 이우성, 김성윤 등의 구상 회화는 개별 서사와 형식 실험을 동시에 담아낸다. 도윤희, 정주영, 이진한은 각기 다른 추상어법으로 회화의 감각을 확장하며, 강익중, 김민정, 유근택은 한국적 정신성과 재료 미학을 현대 회화 언어로 풀어낸다. 이명호의 사진 작업은 회화성과 매체성의 경계 지점을 탐색하며, 김아영, 문경원·전준호의 미디어 작업은 글로벌 전시장에서 주목받은 최신작이 포함됐다. 이슬기(프랑스), 이강승(미국), 김 크리스틴 선(독일)은 해외 거주 한국계 작가로서 전시의 국제적 맥락을 확장한다. 이들은 각기 조각, 설치, 비평적 퍼포먼스 등을 통해 전통과 현재, 주류와 비주류의 경계를 가로지르며 작업을 이어오는 중이다. 신관 전시 대표작인 김민정의 'The Street(2024)'는 한지를 태우고 겹겹이 쌓는 과정을 반복해 불꽃에 의해 만들어진 자연스러운 선과 흔적을 남겼다. 이 과정은 명상과 수행의 행위로, 작가의 내면을 탐구하고 자연의 순환과 생명의 덧없음을 시각적으로 표현한다. 또 다른 대표작 김아영의 '모래 욕조 속에서 발견된 영국인 교사 2007.3.28(2008)'은 실제 사건을 바탕으로 한 포토 몽타주 작품인데, 작가는 이 뉴스를 단순히 재현하는 것이 아닌, 신문 기사와 실제 사건, 허구적 상상력을 결합해 새로운 시각 이미지를 창조한다.  갤러리현대 측은 ""이번 특별전 2부 전시는 갤러리현대와 오랜 인연을 이어가며 한국 근현대미술사의 역사가 된 작가들의 주요한 작품을 소개한다""며 ""갤러리현대와 한국 미술사의 지난 55년과 현재, 나아가 미래를 살펴보기 위한 전시""라고 평했다. rsunjun@fnnews.com 유선준 기자",2025. 6. 6. 04:30,http://v.daum.net/v/20250606043018001
"체면 구긴 현대차… 신형 팰리세이드, 출시 5년 된 쏘렌토에 뒤져","현대차가 올해 출시한 대형 스포츠유틸리티차량(SUV·Sports Utility Vehicle) 신형 팰리세이드의 판매량이 당초 기대치를 밑돌고 있다. 팰리세이드는 최근 전기차 판매가 부진한 상황에서 현대차의 판매 실적을 이끌 내연기관차로 꼽혔지만, 지금까지 성적은 5년 전 출시된 동급 차량인 기아의 쏘렌토보다 뒤지는 상황이다. 6일 현대차·기아에 따르면 팰리세이드는 지난달 국내 시장에서 7682대가 판매됐다. 이는 같은 기간 7734대가 팔린 쏘렌토의 기록에 못 미치는 수치다. 올 들어 5월까지 누적 판매량도 쏘렌토가 4만3206대, 팰리세이드는 2만5327대에 그쳤다.  신형 팰리세이드는 6년여 만에 출시된 2세대 완전 변경 모델이다. 가솔린과 하이브리드 모델로 출시됐고, 기존 7인승 모델에 9인승이 추가됐다. 하이브리드 모델은 현대차 최초로 차세대 2.5 터보 시스템을 탑재해 최고 출력 334마력의 주행 성능과 1회 주유 시 1000㎞ 이상의 주행 거리를 확보했다. 현대차가 올해 선보이는 신차는 팰리세이드 외에 대형 전기차 SUV인 아이오닉9과 수소차인 2세대 신형 넥쏘, 아이오닉 6 부분 변경 모델 등이다. 올해 현대차가 출시하는 유일한 내연기관 신차인 팰리세이드는 시장 규모가 한정된 대형 SUV임에도 국내 판매 실적을 끌어올릴 것으로 기대를 모았다. 지난 1월 15일 열린 신형 팰리세이드의 출시 행사에는 이동석 현대차 대표이사 사장과 문용문 금속노조 현대차지부장 등 노사 대표가 무대에 함께 오르기도 했다. 완성차 업계에서는 신형 팰리세이드의 판매가 지난 2020년 4세대 모델로 출시된 쏘렌토에 미치지 못하는 주된 이유로 높은 가격을 꼽는다. 신형 팰리세이드는 가솔린 2.5 터보 7인승 모델이 4447만~5706만원에 판매된다. 이는 같은 가솔린 2.5 터보 모델 기준으로 3605만~4291만원에 판매되는 쏘렌토에 비해 800만~1400만원 정도 비싼 가격이다. 팰리세이드의 7인승 하이브리드 모델 가격도 5068만~6326만원으로 쏘렌토 하이브리드보다 1000만원 이상 비싸다.  현대차는 신형 팰리세이드의 판매 실적이 당초 예상을 밑돌자 곤혹스러워하는 모습이다. 올해 현대차 최초의 외국인 최고경영자(CEO)로 임명된 호세 무뇨스 사장은 최근 정유석 국내사업본부 부사장을 불러 “팰리세이드가 쏘렌토와의 판매 경쟁에서 앞서나가야 한다”는 특명을 내린 것으로 전해졌다. 이에 현대차의 전국 지역 본부와 영업망에서는 최근 팰리세이드의 판촉에 집중하고 있다. 현대차 일부 영업 조직에서는 팰리세이드의 판매치를 늘리기 위해 선(先)출고에 나선 것으로 알려졌다. 선출고는 판매 실적을 올리려는 목적으로 계약되지 않은 차량을 먼저 출고해 보관하고 판매가 된 것으로 기록하는 관행이다. 현대차는 대리점에 전시돼 있던 차량에 대해서도 약 400만원을 할인해 판매하고 있다. 현대차 관계자는 “미국이 자동차에 관세를 매기면서 해외 판매가 줄어들 가능성이 커진 상황에서 신차의 부진으로 국내 판매 실적도 악화할 것이라는 위기감이 팽배한 상황”이라고 말했다. - Copyright ⓒ 조선비즈 & Chosun.com -",2025. 6. 6. 07:01,http://v.daum.net/v/20250606070133605
"[땅끝해남기] ‘4Q 압도’ 구정회농구교실, 현대모비스 제압",,2025. 6. 6. 15:26,http://v.daum.net/v/20250606152641502
"더현대 대구, 현대홈쇼핑 그랜드 뷰티&패션 페스타 진행"," [헤럴드경제(대구)=김병진 기자]더현대 대구는 오는 12일까지 지하 1층 이벤트플라자 지하 2층 팝업스테이지에서 ‘현대홈쇼핑 그랜드 뷰티&패션 페스타’를 진행한다고 4일 밝혔다. 먼저 지하 1층 이벤트플라자에서는 아르마니부터 지미추 외 해외 유명 패션브랜드 50개 이상 브랜드가 참여하며 지하 2층 팝업스테이지에서도 현대홈쇼핑 인기 뷰티 브랜드 상품들을 최초 판매가 대비 최대 90% 할인된 가격에 판매한다. 또 더현대 대구 SNS(@thehyundai_daegu) 팔로워 고객 중 오늘의 룩을 해시태그와 함께 업로드하면 5% 할인 혜택을 주는 ‘OOTD(Outfit Of The Day) 인증 이벤트’도 함께 진행한다. 더현대 대구 관계자는 “다양한 패션, 뷰티 브랜드들을 오직 더현대 대구에서 파격적인 가격에 만나볼 수 있는 좋은 기회가 될 것으로 기대한다”고 말했다. kbj7653@heraldcorp.com",2025. 6. 5. 08:13,http://v.daum.net/v/20250605081315766
"무뇨스 현대차 사장 ""불확실성 크지만 '현대 정신'으로 돌파""","[이데일리 이윤화 기자] 현대자동차 최고경영자(CEO) 호세 무뇨스 사장이 미국 ‘세마포 세계 경제 서밋’에서 ‘현대 경영철학’을 강조하며 지속 성장 의지를 강조했다. 무뇨스 사장은 2일(현지시간) 소셜네트워크서비스(SNS) 링크드인에 미국 글로벌 뉴스 플랫폼 세마포의 CEO 겸 공동 창업자 저스틴 B. 스미스와 최근 진행한 대담 내용을 공유했다. 두 사람의 대담은 지난 4월 23~25일 워싱턴D.C에서 열린 ‘세마포 세계 경제 서밋’에서 나눈 것이다.  무뇨스 사장은 내년이면 현대차그룹의 미국 진출 40주년이라며, 미국에 대한 혁신적인 투자 성과에 대해 집중적으로 설명했다. 그는 “현대차는 미국 제조업과 일자리 창출에 수십억 달러 투자를 약속했다”면서 세계경제 불확실성 속에서도 미국에 뿌리를 내리겠다는 그룹의 전략적 비전을 강조했다. 세마포는 현대차가 지난 10년 간 놀라운 변화를 보이며 전세계 9위에서 3위 자동차 제조사로 도약했다고 평가했다. 현대차·기아·제네시스 3대 주요 브랜드와 함께 물류, AI, 로봇, 모빌리티, 전동수직이착륙기(EVTOL), 원자력·엔지니어링을 포함한 에너지 인프라 산업을 아우르고 있다는 점도 짚었다. 무뇨스 사장 역시 “그룹의 연간 매출액은 액 3300억 달러 이상으로, 토요타 보다 더 크다”고 강조했다. 무뇨스 사장은 현대차그룹의 성장 요인 중 하나로 ‘빨리 빨리’에 더해 ‘미리 미리’ 문화를 결합했다는 점을 설명했다. 그는 “‘빨리 빨리’, ‘미리 미리’ 철학 덕분에 현대차는 경쟁사보다 더 빠르고 적응력 있게 불확실성을 헤쳐나갈 수 있다”며 “불안정한 대외환경 속에서도 안정적인 시장 지위를 확보할 수 있다고 믿는다”고 말했다. 이어 “모든 변화는 더 나은 성과를 내고, 고객을 유치하고, 경쟁력을 강화하고, 기본기를 강화할 수 있는 기회”라고 자신했다. 무뇨스 사장은 미국의 관세 정책 대응 역시 장기적인 관점에서 현지화 전략으로 대비하고 있다고 말했다. 그는 미국에 대한 210억 달러 투자를 언급하며 “이렇게 큰 발표를 할 때는 인센티브나 관세 뿐만 아니라 근본적인 문제(미국에 대한 장기적인 투자)에 집중하는 것”이라고 강조했다. 이어 “관세 문제를 해결하는 가장 좋은 방법은 투자를 현지화하고 미국에서 생산하는 것”이라면서 “현재 관세 상황을 잘 헤쳐나갈 수 있기를 바란다”고 덧붙였다. 이윤화 (akfdl34@edaily.co.kr)",2025. 6. 3. 15:42,http://v.daum.net/v/20250603154202150
"[땅끝해남기] 공수 모두 잘해낸 이상현, 현대모비스의 야전사령관",,2025. 6. 6. 15:35,http://v.daum.net/v/20250606153502673
