name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
SK하이닉스,179100,180000,176700,177500,-3300,-1.83%,2340909,25.04.30
SK하이닉스,182000,182900,179100,180800,-1200,-0.66%,1851551,25.04.29
SK하이닉스,183500,183900,179700,182000,-2400,-1.30%,2454440,25.04.28
SK하이닉스,182500,184900,182100,184400,6100,+3.42%,3413222,25.04.25
SK하이닉스,182800,183400,177600,178300,-2700,-1.49%,3149026,25.04.24
SK하이닉스,179100,181600,178100,181000,7200,+4.14%,3745347,25.04.23
SK하이닉스,175000,175500,173300,173800,-2800,-1.59%,2002542,25.04.22
SK하이닉스,174800,180000,174500,176600,1600,+0.91%,1819055,25.04.21
SK하이닉스,174000,175500,172800,175000,-0,0.00%,1304677,25.04.18
SK하이닉스,172100,175400,171800,175000,1000,+0.57%,2986932,25.04.17
SK하이닉스,176500,177500,173500,174000,-6600,-3.65%,2930407,25.04.16
SK하이닉스,180200,182400,179700,180600,400,+0.22%,1887663,25.04.15
SK하이닉스,182900,184400,178000,180200,-600,-0.33%,3445599,25.04.14
SK하이닉스,177800,181800,176100,180800,-2400,-1.31%,3206784,25.04.11
SK하이닉스,189700,189900,180000,183200,18200,+11.03%,7832318,25.04.10
SK하이닉스,170000,170000,162700,165000,-4500,-2.65%,5908245,25.04.09
SK하이닉스,172000,173100,168200,169500,4700,+2.85%,4947180,25.04.08
SK하이닉스,168000,172800,164800,164800,-17400,-9.55%,7842468,25.04.07
SK하이닉스,187900,189600,178400,182200,-12400,-6.37%,9169244,25.04.04
SK하이닉스,189600,194600,188200,194600,-3300,-1.67%,4156940,25.04.03
SK하이닉스,198800,201500,197300,197900,900,+0.46%,2723930,25.04.02
SK하이닉스,193600,198500,192000,197000,6300,+3.30%,2276169,25.04.01
SK하이닉스,193500,195500,190500,190700,-8600,-4.32%,3930530,25.03.31
SK하이닉스,203000,204500,198900,199300,-7700,-3.72%,2657272,25.03.28
SK하이닉스,208000,212000,206500,207000,-7000,-3.27%,2259649,25.03.27
SK하이닉스,209000,215500,208500,214000,6000,+2.88%,1947601,25.03.26
SK하이닉스,214500,215500,208000,208000,-3500,-1.65%,2104660,25.03.25
SK하이닉스,211500,214500,209500,211500,-4000,-1.86%,1609680,25.03.24
SK하이닉스,213500,219500,212000,215500,5500,+2.62%,5641409,25.03.21
SK하이닉스,207000,211000,205500,210000,4500,+2.19%,2754432,25.03.20
SK하이닉스,202000,209500,201000,205500,2500,+1.23%,3073071,25.03.19
SK하이닉스,208500,209000,201000,203000,-3000,-1.46%,2672720,25.03.18
SK하이닉스,207000,209500,203500,206000,1500,+0.73%,2557417,25.03.17
SK하이닉스,198500,206000,198500,204500,4800,+2.40%,3379970,25.03.14
SK하이닉스,202500,204500,195500,199700,800,+0.40%,3860466,25.03.13
SK하이닉스,192400,199350,189700,198900,11100,+5.91%,4034595,25.03.12
SK하이닉스,182100,189000,181300,187800,-100,-0.05%,3483720,25.03.11
SK하이닉스,187500,191500,187300,187900,-4500,-2.34%,2408989,25.03.10
SK하이닉스,191000,192800,187900,192400,-0,0.00%,2605885,25.03.07
SK하이닉스,193500,194000,190300,192400,-700,-0.36%,2513112,25.03.06
SK하이닉스,188200,194400,186600,193100,7000,+3.76%,4020638,25.03.05
SK하이닉스,184800,187500,184000,186100,-4100,-2.16%,5201205,25.03.04
SK하이닉스,191600,193000,188700,190200,-9000,-4.52%,5361558,25.02.28
SK하이닉스,204500,205000,198100,199200,-3800,-1.87%,3771318,25.02.27
SK하이닉스,199000,206000,198600,203000,2500,+1.25%,3757931,25.02.26
SK하이닉스,199800,202000,199200,200500,-4500,-2.20%,3439824,25.02.25
SK하이닉스,202500,205000,201000,205000,-4500,-2.15%,3053933,25.02.24
SK하이닉스,209500,211000,205500,209500,-2500,-1.18%,2559128,25.02.21
SK하이닉스,217000,218500,211000,212000,-6500,-2.97%,3058923,25.02.20
SK하이닉스,216000,219500,214000,218500,8500,+4.05%,3424326,25.02.19
SK하이닉스,212000,215000,207000,210000,-2000,-0.94%,1918122,25.02.18
SK하이닉스,211500,216000,211000,212000,2000,+0.95%,2483097,25.02.17
SK하이닉스,209000,212000,206500,210000,1500,+0.72%,2585476,25.02.14
SK하이닉스,198800,208500,198100,208500,9600,+4.83%,3466801,25.02.13
SK하이닉스,196500,199900,196000,198900,-800,-0.40%,2865408,25.02.12
SK하이닉스,201000,201500,198000,199700,1600,+0.81%,2453594,25.02.11
SK하이닉스,197800,203000,197000,198100,-4900,-2.41%,2747817,25.02.10
SK하이닉스,205000,206000,200500,203000,-500,-0.25%,2164433,25.02.07
SK하이닉스,202000,205000,200500,203500,4700,+2.36%,4001111,25.02.06
SK하이닉스,191900,199400,191900,198800,7700,+4.03%,4023331,25.02.05
SK하이닉스,192900,194300,190100,191100,200,+0.10%,5677608,25.02.04
SK하이닉스,191500,193200,186900,190900,-8300,-4.17%,7662670,25.02.03
SK하이닉스,197000,204500,194800,199200,-21800,-9.86%,11761867,25.01.31
SK하이닉스,220500,227000,217500,221000,1500,+0.68%,3604743,25.01.24
