name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
삼성전자,55700,56500,55600,55800,-0,0.00%,9791697,25.04.29
삼성전자,55800,55900,55500,55800,100,+0.18%,9060714,25.04.28
삼성전자,56400,56400,55600,55700,-0,0.00%,11720871,25.04.25
삼성전자,55600,55800,55200,55700,-0,0.00%,10468798,25.04.24
삼성전자,56000,56100,55500,55700,700,+1.27%,10809283,25.04.23
삼성전자,54900,55500,54700,55000,-400,-0.72%,9525072,25.04.22
삼성전자,55200,56000,55100,55400,100,+0.18%,5697449,25.04.21
삼성전자,55300,55600,54900,55300,200,+0.36%,5427591,25.04.18
삼성전자,54700,55300,54500,55100,400,+0.73%,10862183,25.04.17
삼성전자,56000,56200,54500,54700,-1900,-3.36%,14407940,25.04.16
삼성전자,56300,57100,56200,56600,400,+0.71%,8725112,25.04.15
삼성전자,56300,56700,55800,56200,1000,+1.81%,12229085,25.04.14
삼성전자,55600,55700,54800,55200,-1200,-2.13%,13920142,25.04.11
삼성전자,56600,56700,55000,56400,3400,+6.42%,22541948,25.04.10
삼성전자,53300,54300,52900,53000,-500,-0.93%,20422459,25.04.09
삼성전자,55000,55300,53300,53500,300,+0.56%,23524343,25.04.08
삼성전자,53300,54100,53100,53200,-2900,-5.17%,31973654,25.04.07
삼성전자,56200,58200,55700,56100,-1500,-2.60%,23521259,25.04.04
삼성전자,56900,57800,56900,57600,-1200,-2.04%,19231431,25.04.03
삼성전자,58800,59400,58300,58800,-0,0.00%,14318847,25.04.02
삼성전자,58700,59600,57900,58800,1000,+1.73%,13723892,25.04.01
삼성전자,59500,59700,57800,57800,-2400,-3.99%,17383426,25.03.31
삼성전자,60700,61100,60000,60200,-1600,-2.59%,16216700,25.03.28
삼성전자,60900,62000,60800,61800,400,+0.65%,20164474,25.03.27
삼성전자,59800,61400,59700,61400,1600,+2.68%,16295583,25.03.26
삼성전자,60900,61100,59500,59800,-700,-1.16%,16040496,25.03.25
삼성전자,61200,61600,60500,60500,-1200,-1.94%,13979532,25.03.24
삼성전자,60900,61700,60400,61700,1500,+2.49%,38187212,25.03.21
삼성전자,59200,60300,58500,60200,1700,+2.91%,34498066,25.03.20
삼성전자,57400,59200,57400,58500,900,+1.56%,29222212,25.03.19
삼성전자,58800,59000,57300,57600,-0,0.00%,27846786,25.03.18
삼성전자,55500,57800,55400,57600,2900,+5.30%,35092769,25.03.17
삼성전자,54500,55100,54400,54700,-0,0.00%,10737664,25.03.14
삼성전자,55800,55900,54200,54700,-200,-0.36%,23640634,25.03.13
삼성전자,53800,55300,53600,54900,1300,+2.43%,17748827,25.03.12
삼성전자,52500,54100,52500,53600,-100,-0.19%,17595860,25.03.11
삼성전자,53500,54800,53500,53700,-0,0.00%,12727498,25.03.10
삼성전자,53500,54200,53400,53700,-600,-1.10%,13354310,25.03.07
삼성전자,54100,54500,54000,54300,300,+0.56%,12058688,25.03.06
삼성전자,55100,55400,54000,54000,-500,-0.92%,16334822,25.03.05
삼성전자,53900,55000,53800,54500,-0,0.00%,17168383,25.03.04
삼성전자,55400,55700,54500,54500,-1800,-3.20%,27428730,25.02.28
삼성전자,56500,57100,56200,56300,-300,-0.53%,14391266,25.02.27
삼성전자,57000,57100,56100,56600,-600,-1.05%,17766801,25.02.26
삼성전자,56600,57800,56500,57200,-100,-0.17%,13976553,25.02.25
삼성전자,57300,57700,57200,57300,-900,-1.55%,13973625,25.02.24
삼성전자,58400,58500,57100,58200,-200,-0.34%,19152510,25.02.21
삼성전자,59100,59100,58100,58400,-300,-0.51%,21432292,25.02.20
삼성전자,57400,58900,57300,58700,1800,+3.16%,25203051,25.02.19
삼성전자,56200,57200,55900,56900,900,+1.61%,21448540,25.02.18
삼성전자,56100,56500,55700,56000,-0,0.00%,11817185,25.02.17
삼성전자,56000,57300,56000,56000,200,+0.36%,23797478,25.02.14
삼성전자,56100,56400,55600,55800,-0,0.00%,22177842,25.02.13
삼성전자,55100,55900,54500,55800,100,+0.18%,20816184,25.02.12
삼성전자,55500,56300,55000,55700,100,+0.18%,24092713,25.02.11
삼성전자,53000,55900,52900,55600,1900,+3.54%,27316461,25.02.10
삼성전자,53900,54200,53600,53700,-300,-0.56%,14291536,25.02.07
삼성전자,53400,54000,53200,54000,1100,+2.08%,16015578,25.02.06
삼성전자,53600,53800,52800,52900,200,+0.38%,15738825,25.02.05
삼성전자,51600,53600,51500,52700,1700,+3.33%,26887261,25.02.04
삼성전자,51100,51400,50800,51000,-1400,-2.67%,31937922,25.02.03
삼성전자,52200,53000,51700,52400,-1300,-2.42%,41783511,25.01.31
삼성전자,53600,53800,53200,53700,-0,0.00%,11370834,25.01.24
삼성전자,53700,54100,53500,53700,-600,-1.10%,14737342,25.01.23
삼성전자,53400,54400,53100,54300,800,+1.50%,18152315,25.01.22
삼성전자,53700,54300,53300,53500,100,+0.19%,13416272,25.01.21
삼성전자,53600,53900,53300,53400,-300,-0.56%,11640023,25.01.20
삼성전자,53800,54100,53200,53700,-600,-1.10%,18631398,25.01.17
삼성전자,54200,55000,54100,54300,600,+1.12%,18394006,25.01.16
삼성전자,54100,54700,53500,53700,-200,-0.37%,18484556,25.01.15
삼성전자,54200,54600,53700,53900,-200,-0.37%,17168328,25.01.14
삼성전자,54600,55000,54100,54100,-1200,-2.17%,16273167,25.01.13
삼성전자,56100,56500,55200,55300,-800,-1.43%,15833663,25.01.10
삼성전자,57600,57700,56100,56100,-1200,-2.09%,24327529,25.01.09
삼성전자,54800,57500,54700,57300,1900,+3.43%,26164599,25.01.08
삼성전자,56800,57300,55400,55400,-500,-0.89%,16920498,25.01.07
삼성전자,54400,56200,54300,55900,1500,+2.76%,18846031,25.01.06
삼성전자,52800,55100,52800,54400,1000,+1.87%,19100201,25.01.03
삼성전자,52700,53600,52300,53400,200,+0.38%,16514468,25.01.02
삼성전자,53300,54000,53100,53200,-500,-0.93%,12380047,24.12.30
삼성전자,53500,54100,53200,53700,100,+0.19%,10633556,24.12.27
삼성전자,54500,54600,53500,53600,-800,-1.47%,10386792,24.12.26
삼성전자,53700,54500,53600,54400,900,+1.68%,11533046,24.12.24
삼성전자,53400,54000,53300,53500,500,+0.94%,13554338,24.12.23
삼성전자,52700,53100,51900,53000,-100,-0.19%,24075320,24.12.20
삼성전자,53500,53800,53100,53100,-1800,-3.28%,22059118,24.12.19
삼성전자,54100,55400,54000,54900,700,+1.29%,13524710,24.12.18
삼성전자,54700,55200,54000,54200,-1400,-2.52%,20065259,24.12.17
삼성전자,56300,56600,55200,55600,-500,-0.89%,15186898,24.12.16
삼성전자,55800,56300,55500,56100,200,+0.36%,15775390,24.12.13
삼성전자,54000,56500,53900,55900,1900,+3.52%,32284198,24.12.12
삼성전자,53600,54200,53400,54000,-0,0.00%,14275973,24.12.11
삼성전자,54500,54500,53700,54000,600,+1.12%,20522999,24.12.10
삼성전자,53500,54600,53200,53400,-700,-1.29%,26069064,24.12.09
삼성전자,53900,54400,52700,54100,400,+0.74%,22783991,24.12.06
삼성전자,53200,54400,53200,53700,600,+1.13%,23232103,24.12.05
삼성전자,52000,53400,52000,53100,-500,-0.93%,28642527,24.12.04
삼성전자,53100,54400,53100,53600,-0,0.00%,23040983,24.12.03
삼성전자,54300,54400,53100,53600,-600,-1.11%,21787579,24.12.02
삼성전자,55100,55300,53800,54200,-1300,-2.34%,23783018,24.11.29
삼성전자,56000,56400,55200,55500,-800,-1.42%,19690484,24.11.28
삼성전자,57700,57800,56000,56300,-2000,-3.43%,21619261,24.11.27
삼성전자,57900,58900,57500,58300,400,+0.69%,22705345,24.11.26
삼성전자,57400,57900,56700,57900,1900,+3.39%,33838640,24.11.25
삼성전자,56000,56700,55900,56000,-400,-0.71%,15089281,24.11.22
삼성전자,54900,56900,54700,56400,1100,+1.99%,18946010,24.11.21
삼성전자,56100,56500,54800,55300,-1000,-1.78%,20687061,24.11.20
삼성전자,56500,57500,55900,56300,-400,-0.71%,31386227,24.11.19
삼성전자,57000,57500,55900,56700,3200,+5.98%,47603747,24.11.18
삼성전자,50300,54200,50300,53500,3600,+7.21%,43704578,24.11.15
