name,open_price,high_price,low_price,close_price,price_change,change_rate,trading_volume,date
포스코퓨처엠,113600,114500,109000,111000,-3500,-3.06%,330113,25.05.16
포스코퓨처엠,114000,116000,112500,114500,-800,-0.69%,226773,25.05.15
포스코퓨처엠,112900,115500,110700,115300,-4800,-4.00%,705064,25.05.14
포스코퓨처엠,123500,123800,117500,120100,-3100,-2.52%,575895,25.05.13
포스코퓨처엠,121100,123900,119300,123200,2700,+2.24%,278087,25.05.12
포스코퓨처엠,126700,126900,120000,120500,-6000,-4.74%,378372,25.05.09
포스코퓨처엠,122500,129500,122200,126500,3800,+3.10%,457233,25.05.08
포스코퓨처엠,126500,126900,120900,122700,-2200,-1.76%,250501,25.05.07
포스코퓨처엠,124400,125500,121600,124900,-0,0.00%,166513,25.05.02
포스코퓨처엠,130600,130600,124300,124900,-5200,-4.00%,310304,25.04.30
포스코퓨처엠,131400,132700,128300,130100,-100,-0.08%,229725,25.04.29
포스코퓨처엠,129900,133400,129400,130200,1400,+1.09%,213294,25.04.28
포스코퓨처엠,130800,131300,126900,128800,-1400,-1.08%,306920,25.04.25
포스코퓨처엠,134500,135500,130100,130200,-2600,-1.96%,246096,25.04.24
포스코퓨처엠,127300,132900,127000,132800,8300,+6.67%,288469,25.04.23
포스코퓨처엠,124400,128000,123300,124500,100,+0.08%,123737,25.04.22
포스코퓨처엠,126700,128300,124400,124400,-2200,-1.74%,88819,25.04.21
포스코퓨처엠,125800,127200,124400,126600,1200,+0.96%,110576,25.04.18
포스코퓨처엠,123600,126600,123000,125400,600,+0.48%,161644,25.04.17
포스코퓨처엠,129900,131800,123900,124800,-4400,-3.41%,177805,25.04.16
포스코퓨처엠,131200,131200,128000,129200,-700,-0.54%,159829,25.04.15
포스코퓨처엠,131200,134600,129700,129900,-400,-0.31%,227931,25.04.14
포스코퓨처엠,134300,135300,129100,130300,-7300,-5.31%,282848,25.04.11
포스코퓨처엠,130500,137600,126100,137600,16100,+13.25%,767278,25.04.10
포스코퓨처엠,115700,124200,115700,121500,3100,+2.62%,461385,25.04.09
포스코퓨처엠,118300,121700,116300,118400,3300,+2.87%,252293,25.04.08
포스코퓨처엠,117000,120900,115000,115100,-6600,-5.42%,264409,25.04.07
포스코퓨처엠,113200,122000,112900,121700,6200,+5.37%,521355,25.04.04
포스코퓨처엠,108000,117400,108000,115500,1000,+0.87%,394847,25.04.03
포스코퓨처엠,120200,120300,113600,114500,-4700,-3.94%,301975,25.04.02
포스코퓨처엠,120300,121700,118100,119200,-1100,-0.91%,301594,25.04.01
포스코퓨처엠,124200,125000,118700,120300,-8200,-6.38%,605955,25.03.31
포스코퓨처엠,135000,135400,127700,128500,-6600,-4.89%,266310,25.03.28
포스코퓨처엠,136600,137500,134700,135100,-3400,-2.45%,141057,25.03.27
포스코퓨처엠,136800,141900,135600,138500,2800,+2.06%,261877,25.03.26
포스코퓨처엠,138800,142300,135500,135700,-800,-0.59%,261769,25.03.25
포스코퓨처엠,138400,139200,135700,136500,-1200,-0.87%,159282,25.03.24
포스코퓨처엠,142400,142900,135000,137700,-5800,-4.04%,483549,25.03.21
포스코퓨처엠,144900,147400,142300,143500,1300,+0.91%,362888,25.03.20
포스코퓨처엠,136900,146200,136200,142200,4700,+3.42%,419532,25.03.19
포스코퓨처엠,136500,141900,136500,137500,1600,+1.18%,254390,25.03.18
포스코퓨처엠,137900,139300,135000,135900,-1500,-1.09%,249707,25.03.17
포스코퓨처엠,140900,142400,135000,137400,-3500,-2.48%,351973,25.03.14
포스코퓨처엠,147100,148200,139800,140900,-4500,-3.09%,504164,25.03.13
포스코퓨처엠,145300,148000,143000,145400,2200,+1.54%,385295,25.03.12
포스코퓨처엠,141300,146800,140900,143200,-4300,-2.92%,343101,25.03.11
포스코퓨처엠,142200,149800,138500,147500,6200,+4.39%,547728,25.03.10
포스코퓨처엠,133700,144000,132500,141300,5700,+4.20%,509086,25.03.07
포스코퓨처엠,135600,142300,133900,135600,1200,+0.89%,444017,25.03.06
포스코퓨처엠,131200,135900,130600,134400,4000,+3.07%,391459,25.03.05
포스코퓨처엠,138700,138700,129300,130400,-10900,-7.71%,546368,25.03.04
포스코퓨처엠,144800,145300,137100,141300,-6100,-4.14%,455091,25.02.28
